src,dest,conv_bind_weight
18,1241,0.4262956
18,1242,0.25719047
18,1243,0.062683515
18,1822,0.30628598
19,1241,5.0101324e-05
19,1242,0.03081443
19,1243,0.0625311
19,1822,0.38665557
20,23,0.2727481
20,177,0.19719413
20,798,0.07989728
20,1158,0.12391588
20,1160,0.1632063
20,1161,0.3709442
20,1162,0.1633959
20,1163,0.16975716
20,1165,0.11954538
20,1261,0.2214827
20,1765,0.0001585804
20,1766,0.055862233
20,1767,9.019193e-05
20,1769,0.19519961
20,1772,0.36741716
21,1766,0.00010158249
21,1767,0.017648859
22,1766,0.012854375
22,1767,0.016322639
23,1766,0.49336183
23,1767,0.16528554
24,1766,0.15722282
24,1767,0.0044198786
25,1292,0.01708774
25,1293,0.10586679
25,1294,0.42507312
25,1295,0.015295104
26,1516,0.31007168
26,1517,0.13008305
26,1518,0.08220947
28,1516,0.00016384837
28,1517,0.00014515438
28,1518,0.26856545
29,1516,0.24840897
29,1517,0.012591263
29,1518,0.031131936
30,1516,0.4698684
30,1517,0.11661011
30,1518,0.1346013
31,1516,0.23435032
31,1517,0.073823705
31,1518,0.0021158247
32,1516,0.10655101
32,1517,0.15699518
32,1518,0.21667093
33,1516,0.035492085
33,1517,0.020539032
33,1518,0.09842904
34,1516,0.07561232
34,1517,0.10603349
34,1518,5.6208715e-05
35,1516,0.24630797
35,1517,4.5893157e-05
35,1518,0.17506266
36,37,0.08707524
36,43,0.428314
36,52,0.07350031
36,497,0.26173002
36,499,0.08596072
36,652,0.028884597
36,698,0.19289568
36,703,0.06170277
36,832,5.0101324e-05
36,834,0.045964435
36,1089,0.37231672
36,1182,0.22130352
36,1301,5.0101324e-05
36,1553,5.0101324e-05
36,1945,0.26281214
36,1973,0.19086944
37,715,0.13637489
39,40,0.0009581084
39,41,0.00032586616
40,223,0.2589197
40,1462,4.7885987e-05
40,1821,0.24815115
41,223,0.33774742
41,1462,6.255738e-05
41,1821,0.0968259
42,709,0.43027583
42,710,0.060575075
42,711,0.0071345977
43,712,0.15776427
43,714,0.028973537
43,715,0.000126002
44,712,0.14950092
44,714,0.13884176
44,715,0.0001603724
45,709,0.05571089
45,710,0.47499532
45,711,0.3032469
46,704,0.028653994
46,705,0.32124695
46,706,0.11421634
46,707,0.06316973
46,708,0.110385485
46,714,0.17680182
46,1512,0.0023155643
46,1513,0.1236009
46,1514,0.04781784
46,1515,0.10051814
46,1519,0.40175384
46,1520,0.0182812
46,1521,0.0076415287
46,1941,0.13243286
47,704,0.1126895
47,705,0.098697886
47,706,0.15809457
47,707,0.09840276
47,708,0.37228078
47,714,0.11497131
47,1941,0.021367818
48,704,0.12917462
48,705,0.16658287
48,706,0.14610595
48,707,0.23880221
48,708,0.11022744
48,714,5.0101324e-05
48,1941,5.0101324e-05
49,704,0.46888626
49,705,0.36617497
49,706,5.0101324e-05
