Drug,drug_num
2METHOXYESTRADIOL,2017
7HYDROXYSTAUROSPORINE,2018
ABEXINOSTAT,2019
ABIRATERONE,2020
ACEMETACIN,2021
ACETAMINOPHEN,2022
ACETYLCYSTEINE,2023
ACITRETIN,2024
ADAPALENE,2025
ADENOSINE,2026
ADL5859,2027
AFATINIB,2028
ALFUZOSIN,2029
ALMOTRIPTAN,2030
ALPROSTADIL,2031
AMANTADINE,2032
AMBRISENTAN,2033
AMILORIDE,2034
AMINOCAPROIC ACID,2035
AMIODARONE,2036
AMISULPRIDE,2037
AMLEXANOX,2038
AMOXAPINE,2039
AMUVATINIB,2040
ANAGRELIDE,2041
ANDROGRAPHOLIDE,2042
ANIRACETAM,2043
APREPITANT,2044
ARECOLINE,2045
ARGATROBAN,2046
ARIPIPRAZOLE,2047
ARSENIC TRIOXIDE,2048
ARTENIMOL,2049
ASENAPINE,2050
AT7519,2051
ATROPINE,2052
AURANOFIN,2053
AV412,2054
AXITINIB,2055
AZATHIOPRINE,2056
AZD8330,2057
AZELASTINE,2058
BAFILOMYCIN A1,2059
BALSALAZIDE,2060
BARDOXOLONE METHYL,2061
BARICITINIB,2062
BAZEDOXIFENE,2063
BELINOSTAT,2064
BERBERINE,2065
BETAXOLOL,2066
BETHANECHOL,2067
BEXAROTENE,2068
BIMATOPROST,2069
BIPERIDEN,2070
BISOPROLOL,2071
BOSUTINIB,2072
BUFEXAMAC,2073
BUMETANIDE,2074
CABOZANTINIB,2075
CAFFEINE,2076
CANERTINIB,2077
CARVEDILOL,2078
CEDIRANIB,2079
CELECOXIB,2080
CERULENIN,2081
CETIRIZINE,2082
CHLOROQUINE,2083
CICLOPIROX,2084
CILOMILAST,2085
CILOSTAZOL,2086
CINACALCET,2087
CIPROFIBRATE,2088
CISPLATIN,2089
CITALOPRAM,2090
CLADRIBINE,2091
CLINOFIBRATE,2092
CLOFIBRATE,2093
CLOMIPRAMINE,2094
CLONIDINE,2095
CLOZAPINE,2096
COBIMETINIB,2097
CONIVAPTAN,2098
COPANLISIB,2099
CRIZOTINIB,2100
CURCUMIN,2101
CVT6883,2102
