Drug A,Drug B,Cell Line Name,Score
DASATINIB,FULVESTRANT,NCI-H460,-2.55
VANDETANIB,VEMURAFENIB,COLO 205,-15.01
VEMURAFENIB,DASATINIB,MCF-7,-0.44
DASATINIB,MITOTANE,UACC-62,2.07
VEMURAFENIB,DASATINIB,SK-MEL-2,-6.13
VEMURAFENIB,VANDETANIB,Caki-1,-0.71
VEMURAFENIB,DASATINIB,Hs 578T,-22.22
VEMURAFENIB,VANDETANIB,786-O,0.89
DASATINIB,MITOTANE,MCF-7,-5.27
MITOTANE,FULVESTRANT,U-251MG,-1.31
DASATINIB,FULVESTRANT,OVCAR-3,-6.76
DASATINIB,MITOTANE,U-251MG,2.36
VANDETANIB,DASATINIB,OVCAR-8,4.48
DASATINIB,FULVESTRANT,HCC2998,-1.25
VANDETANIB,MITOTANE,MOLT-4,10.51
VEMURAFENIB,DASATINIB,SK-OV-3,-4.87
VEMURAFENIB,MITOTANE,SK-MEL-5,-2.62
VANDETANIB,VEMURAFENIB,SF539,-0.77
VEMURAFENIB,FULVESTRANT,SK-MEL-5,-2.42
DASATINIB,MITOTANE,Hs 578T,-93.36
VANDETANIB,FULVESTRANT,MCF-7,6.12
VANDETANIB,MITOTANE,LOX-IMVI,-1.73
DASATINIB,FULVESTRANT,Caki-1,-42.93
VANDETANIB,DASATINIB,OVCAR-4,-3.68
VEMURAFENIB,MITOTANE,SK-MEL-28,-22.05
VEMURAFENIB,VANDETANIB,CCRF-CEM,-24.91
VEMURAFENIB,FULVESTRANT,RPMI-8226,11.35
VANDETANIB,VEMURAFENIB,NCI-H522,-31.05
VEMURAFENIB,DASATINIB,SR,-4.09
MITOTANE,FULVESTRANT,OVCAR-3,-2.71
VANDETANIB,MITOTANE,Caki-1,-18.41
VANDETANIB,FULVESTRANT,PC-3,-5.22
VEMURAFENIB,VEMURAFENIB,786-O,-0.5
VANDETANIB,DASATINIB,T-47D,3.42
VEMURAFENIB,MITOTANE,TK-10,-8.61
MITOTANE,FULVESTRANT,PC-3,-2.86
VEMURAFENIB,MITOTANE,SK-OV-3,5.46
VANDETANIB,VEMURAFENIB,SK-MEL-2,2.24
VEMURAFENIB,VEMURAFENIB,Hs 578T,-3.54
VANDETANIB,FULVESTRANT,OVCAR-5,-0.29
VEMURAFENIB,VANDETANIB,MDA-MB-231,-19.97
MITOTANE,FULVESTRANT,HCT 116,-6.78
VEMURAFENIB,MITOTANE,MCF-7,2.55
DASATINIB,MITOTANE,UO-31,-32.56
DASATINIB,MITOTANE,PC-3,-14.03
VEMURAFENIB,VEMURAFENIB,SF268,-4.53
VANDETANIB,VEMURAFENIB,NCI-H322M,-26.26
VANDETANIB,MITOTANE,SNB-75,-17.64
VANDETANIB,FULVESTRANT,DU145,3.34
DASATINIB,FULVESTRANT,SK-OV-3,-30.87
VANDETANIB,VEMURAFENIB,BT-549,4.93
VEMURAFENIB,VANDETANIB,EKVX,-6.67
VEMURAFENIB,FULVESTRANT,OVCAR-4,3.51
VEMURAFENIB,MITOTANE,SF295,-0.71
VANDETANIB,FULVESTRANT,SN12C,-1.44
VEMURAFENIB,DASATINIB,MMAc-SF,-0.117
VEMURAFENIB,VANDETANIB,NCI-H23,-38.09
VANDETANIB,FULVESTRANT,OVCAR-4,2.38
MITOTANE,FULVESTRANT,OVCAR-5,-2.95
VEMURAFENIB,VANDETANIB,SK-MEL-28,-11.42
VEMURAFENIB,DASATINIB,SF268,-0.09
VEMURAFENIB,DASATINIB,IGROV-1,19.55
DASATINIB,MITOTANE,786-O,-6.76
VANDETANIB,VEMURAFENIB,HOP-62,-23.0
VEMURAFENIB,VANDETANIB,SK-MEL-5,-14.24
DASATINIB,FULVESTRANT,COLO 205,1.01
VANDETANIB,VEMURAFENIB,HCT 116,-21.93
VEMURAFENIB,DASATINIB,CCRF-CEM,-0.06
VANDETANIB,MITOTANE,NCI-H23,-10.41
VEMURAFENIB,VEMURAFENIB,SR,-12.3
VEMURAFENIB,MITOTANE,BT-549,2.0
MITOTANE,FULVESTRANT,ACHN,0.71
DASATINIB,FULVESTRANT,M14,1.26
DASATINIB,FULVESTRANT,TK-10,-14.92
VEMURAFENIB,FULVESTRANT,MOLT-4,6.86
VEMURAFENIB,FULVESTRANT,MDA-MB-231,-4.41
VEMURAFENIB,FULVESTRANT,DU145,-8.85
VANDETANIB,MITOTANE,SF539,-4.28
VANDETANIB,MITOTANE,U-251MG,-4.28
VEMURAFENIB,MITOTANE,OVCAR-4,3.1
DASATINIB,FULVESTRANT,OVCAR-4,-4.93
VEMURAFENIB,DASATINIB,NCI-H23,-26.41
VEMURAFENIB,DASATINIB,EKVX,-7.13
VEMURAFENIB,FULVESTRANT,K-562,-36.68
VEMURAFENIB,DASATINIB,COLO 205,-3.54
VANDETANIB,MITOTANE,NCI-H522,-9.01
VANDETANIB,DASATINIB,K-562,10.16
VEMURAFENIB,FULVESTRANT,IGROV-1,0.63
MITOTANE,FULVESTRANT,RXF 393L,-3.93
VANDETANIB,DASATINIB,SF268,3.07
VANDETANIB,VEMURAFENIB,SN12C,-12.34
VANDETANIB,DASATINIB,SN12C,0.35
VEMURAFENIB,VEMURAFENIB,NCI-H522,2.54
VEMURAFENIB,VEMURAFENIB,OVCAR-8,3.48
VANDETANIB,VEMURAFENIB,SF295,2.56
VEMURAFENIB,DASATINIB,MDA-MB-231,-22.92
VEMURAFENIB,VEMURAFENIB,SK-MEL-28,-0.33
VEMURAFENIB,MITOTANE,LOX-IMVI,-4.21
VANDETANIB,DASATINIB,EKVX,5.04
VANDETANIB,DASATINIB,MCF-7,-3.26
DASATINIB,FULVESTRANT,UACC-62,-8.65
VANDETANIB,MITOTANE,HOP-62,-23.95
VEMURAFENIB,MITOTANE,MOLT-4,7.9
VANDETANIB,FULVESTRANT,SF539,1.95
VEMURAFENIB,FULVESTRANT,SF295,-2.37
VANDETANIB,VEMURAFENIB,MOLT-4,10.51
VEMURAFENIB,VANDETANIB,PC-3,-9.9
VANDETANIB,VEMURAFENIB,RPMI-8226,-1.7
VEMURAFENIB,DASATINIB,NCI-H226,6.63
VEMURAFENIB,VEMURAFENIB,SF295,4.95
MITOTANE,FULVESTRANT,SK-MEL-2,0.23
VEMURAFENIB,VEMURAFENIB,MCF-7,-0.8
VEMURAFENIB,VEMURAFENIB,RPMI-8226,2.43
VEMURAFENIB,VEMURAFENIB,MOLT-4,13.45
VEMURAFENIB,VANDETANIB,SK-OV-3,-12.44
