Score,Pred Score
-6.27,-5.979727745056152
0.82,-15.762828826904297
-57.05,-23.235294342041016
-11.7,-7.929309844970703
-1.21,-12.174650192260742
-47.93,-7.927341938018799
-3.21,-6.578113555908203
-2.84,-3.822434425354004
7.02,-2.669358253479004
10.1,-0.26308155059814453
-6.79,-11.747163772583008
-1.82,-0.2816457748413086
-9.92,-4.579204559326172
-2.22,-8.571624755859375
-7.19,-3.661607265472412
-29.44,-3.8424744606018066
-0.66,-1.1952104568481445
-9.62,-5.377375602722168
0.82,-4.246545314788818
4.92,-11.960065841674805
-33.024,-15.551876068115234
3.605,-6.246814250946045
-1.35,-4.6367011070251465
5.5325,-11.166486740112305
5.08,-2.014636516571045
-46.51,-14.041985511779785
0.25,-7.8239264488220215
-10.51,-5.58681583404541
10.03,-2.0617871284484863
-10.24,-5.851362228393555
0.13,-6.534273147583008
-7.48,-8.538847923278809
-12.14,-4.634376049041748
3.97,-4.6865692138671875
-5.22,-5.237771034240723
5.18,-6.829781532287598
17.47,-3.9508724212646484
4.22,-10.883752822875977
-13.59,-3.3301095962524414
-1.54,-5.518557548522949
-13.03,-5.3666181564331055
2.04,-8.72039794921875
-4.94,-28.378692626953125
-6.16,-5.226818084716797
-3.29,-7.640488624572754
-9.68,-25.352916717529297
-5.05,-9.60108470916748
-3.42,-4.902824401855469
1.42,-7.90989875793457
3.53,-8.58669376373291
-5.82,-9.246103286743164
-3.24,-10.700798034667969
-32.79,-4.987918853759766
-6.0,-3.6187973022460938
-3.9,-8.65717887878418
2.09,-6.735593795776367
7.79,-7.191152572631836
-0.12,-4.23906135559082
-7.85,-8.768836975097656
-10.25,-4.016598224639893
-21.54,-15.065078735351562
9.17,-6.642142295837402
-0.36,1.6450037956237793
6.4025,-3.6813173294067383
-8.65,11.88442611694336
-7.42,-2.4028778076171875
-1.08,-1.3366789817810059
-2.55,0.8948202133178711
-4.59,-4.929379463195801
11.27,-3.481311798095703
-6.42,0.9581794738769531
-8.67,-0.8480124473571777
-13.75,-4.008131504058838
11.71,-3.0407590866088867
2.95,-1.9793806076049805
4.39,2.2880783081054688
0.83,-0.27486228942871094
-45.58,-3.6050758361816406
1.17,-2.2457189559936523
0.62,4.3443803787231445
-2.39,-6.028347015380859
6.48,-8.067549705505371
0.14,-0.8412747383117676
-9.37,-1.922067642211914
-9.59,-0.9199209213256836
-7.05,-0.34819984436035156
-0.89,-5.465956687927246
-8.1975,-5.503373622894287
-3.09,2.270991325378418
-5.66,-4.151950836181641
-12.65,-17.42365264892578
0.54,0.3654165267944336
-11.88,-20.872583389282227
-73.53,-7.150467872619629
-16.06,2.846205711364746
-12.07,-8.312141418457031
-0.12,-1.1131396293640137
-14.68,-0.21662044525146484
14.03,-4.169825553894043
-30.92,-0.6806221008300781
-5.41,-2.06626033782959
4.5225,3.729548454284668
-10.25,-0.528289794921875
-3.09,-0.7022371292114258
-6.2,1.0453400611877441
-5.5,-6.934957504272461
-45.68,2.474073886871338
-1.47,-1.0362629890441895
-8.56,-3.529015064239502
-5.0,-4.546772003173828
5.15,-7.380163192749023
-3.7,-0.2550487518310547
-1.06,-1.0962672233581543
-3.59,-0.1563730239868164
5.13,-14.295843124389648
-3.2,-1.7068514823913574
-2.09,0.7272224426269531
-24.72,-3.619065761566162
-32.123,-11.697418212890625
6.49,-3.857147216796875
-2.34,1.546858310699463
-37.47,-12.850325584411621
-8.12,-10.060200691223145
-6.57,-17.17409896850586
-11.9,-12.138262748718262
-0.85,1.0891075134277344
-4.34,1.5617403984069824
7.54,-3.2921695709228516
-2.34,-6.346207618713379
-0.66,-3.4728808403015137
-1.91,-9.381901741027832
-36.38,-4.108727931976318
-2.52,-3.1379189491271973
-3.12,-12.199943542480469
-3.18,-10.988030433654785
-1.13,-4.867209434509277
-4.61,-8.504858016967773
-1.32,-22.402976989746094
3.5,-8.232330322265625
8.41,-14.290111541748047
-22.798,-29.433706283569336
-31.28,-14.55373477935791
-1.43,-5.775640964508057
-13.38,-6.651018142700195
-11.28,-5.6734843254089355
2.04,-2.1259384155273438
-39.875,-10.00804615020752
4.26,-7.004140377044678
1.13,-10.954794883728027
-29.32,-34.714481353759766
8.7,-10.809295654296875
9.52,-15.344673156738281
6.24,-0.5692043304443359
6.06,-7.590760231018066
-6.43,-5.776740074157715
0.17,-3.9530158042907715
-5.47,-11.219207763671875
-26.235,-22.1856689453125
3.27,-6.028853893280029
6.07,-4.529691219329834
-0.52,-3.157261848449707
-3.89,-2.225142478942871
-4.86,-5.205223560333252
0.29,-7.340839862823486
-4.57,-13.053045272827148
-67.77,-22.280712127685547
1.1716666666666669,-14.019932746887207
-18.372,-2.4480113983154297
-13.09,-6.23448371887207
-12.53,-25.090787887573242
-35.42,-9.901351928710938
-2.09,-9.877021789550781
-51.42,-13.469468116760254
-26.11,-9.703524589538574
8.81,-6.447196006774902
-18.99,-11.218308448791504
6.87,-5.8443603515625
-35.13,-6.612205982208252
3.5,-7.310056686401367
-26.79,-5.7914042472839355
-69.43,-32.592918395996094
-10.85,-8.896562576293945
-28.24,-6.734935283660889
8.59,-13.544682502746582
24.097,-10.82560920715332
-3.32,-3.8824715614318848
-4.1475,-5.480552673339844
-6.13,-14.66301155090332
-6.98,-11.734594345092773
1.67,-10.807297706604004
1.11,-5.238533973693848
1.91,-10.878211975097656
-2.36,-15.416000366210938
-6.29,-0.20142412185668945
-1.82,-6.8570709228515625
-31.23,-2.7140350341796875
-55.3475,-8.654921531677246
-3.73,-1.3834495544433594
-4.39,-4.931422710418701
-9.8,0.3052845001220703
-2.56,-4.90793514251709
-7.79,-7.0929718017578125
3.12,-7.147118091583252
-35.65,-21.61508560180664
6.44,-5.280763626098633
-10.88,-14.200135231018066
2.34,-7.085247993469238
-1.66,-10.455606460571289
5.34,-2.271503448486328
2.12,-0.9595928192138672
-41.42,-15.357094764709473
-45.26,-3.2993955612182617
-5.05,-6.357269287109375
-30.8075,-8.515405654907227
-31.816,-4.139101982116699
16.37,-10.106603622436523
-10.72,-7.794007778167725
-0.17,0.13849830627441406
-2.05,-3.3573241233825684
-8.55,-3.8969430923461914
-4.74,1.1917171478271484
-2.78,-2.5028882026672363
-51.42,-3.683023452758789
-6.82,-6.944165229797363
-2.97,1.5771193504333496
-5.61,-1.3566579818725586
-0.3,1.0922737121582031
-1.41,-4.67751407623291
