Score,Pred Score
-6.27,-7.256959915161133
0.82,-11.929756164550781
-57.05,-35.068016052246094
-11.7,-7.324149131774902
-1.21,-1.6531996726989746
-47.93,-9.9447660446167
-3.21,-0.8138481378555298
-2.84,-4.679439544677734
7.02,-1.0019104480743408
10.1,-1.2642426490783691
-6.79,-12.318405151367188
-1.82,-1.9797730445861816
-9.92,-9.520505905151367
-2.22,-9.967491149902344
-7.19,-2.45247483253479
-29.44,-7.392430782318115
-0.66,-4.451079368591309
-9.62,-8.007759094238281
0.82,-4.457682132720947
4.92,-13.632003784179688
-33.024,-17.16977310180664
3.605,-4.880025386810303
-1.35,-2.7956295013427734
5.5325,-15.793251037597656
5.08,-0.7556338310241699
-46.51,-16.666555404663086
0.25,-4.599095344543457
-10.51,-6.276839733123779
10.03,-5.6374897956848145
-10.24,-10.837667465209961
0.13,-9.743706703186035
-7.48,-8.277844429016113
-12.14,-3.4004056453704834
3.97,-2.4236068725585938
-5.22,-5.166982650756836
5.18,-6.706783294677734
17.47,-2.391547679901123
4.22,-15.965513229370117
-13.59,-6.788304328918457
-1.54,-3.910238742828369
-13.03,-4.890811920166016
2.04,-3.973297119140625
-4.94,-37.7856330871582
-6.16,-2.3219285011291504
-3.29,1.8346314430236816
-9.68,-30.248004913330078
-5.05,-8.17981243133545
-3.42,-10.085708618164062
1.42,-9.102224349975586
3.53,-11.832639694213867
-5.82,-9.737823486328125
-3.24,-7.023013114929199
-32.79,-9.652626037597656
-6.0,-1.9291067123413086
-3.9,-7.984869956970215
2.09,-9.513016700744629
7.79,-8.887873649597168
-0.12,-5.9213457107543945
-7.85,-13.588044166564941
-10.25,-2.3636116981506348
-21.54,-26.046541213989258
9.17,-5.416075706481934
-0.36,0.3615870475769043
6.4025,-3.661905288696289
-8.65,-2.0111184120178223
-7.42,-9.122916221618652
-1.08,-6.737988471984863
-2.55,-5.76566219329834
-4.59,-5.9745588302612305
11.27,-9.701533317565918
-6.42,-4.073700904846191
-8.67,-4.6606125831604
-13.75,-12.412742614746094
11.71,-7.830653190612793
2.95,-1.6876072883605957
4.39,-1.6160573959350586
0.83,-3.8380706310272217
-45.58,-10.22873306274414
1.17,-3.1887733936309814
0.62,-4.407283782958984
-2.39,-4.605154991149902
6.48,-3.972227096557617
0.14,-3.259124994277954
-9.37,-8.364501953125
-9.59,-7.948001861572266
-7.05,-8.907051086425781
-0.89,-11.817168235778809
-8.1975,-17.199420928955078
-3.09,-1.2460284233093262
-5.66,-6.310256004333496
-12.65,-33.63230895996094
0.54,-3.3834643363952637
-11.88,-38.86453628540039
-73.53,-4.531427383422852
-16.06,-4.033222198486328
-12.07,-8.664573669433594
-0.12,-4.160295486450195
-14.68,0.9275922775268555
14.03,-10.468849182128906
-30.92,-9.372649192810059
-5.41,-4.113012790679932
4.5225,-4.335906982421875
-10.25,-3.917994260787964
-3.09,-2.2920994758605957
-6.2,-3.3624353408813477
-5.5,-14.043254852294922
-45.68,-1.6956253051757812
-1.47,-3.457012176513672
-8.56,-7.073338508605957
-5.0,-12.721731185913086
5.15,-15.16737174987793
-3.7,-4.2236833572387695
-1.06,-3.041072368621826
-3.59,-0.46297478675842285
5.13,-23.805660247802734
-3.2,-5.632227420806885
-2.09,-3.1650867462158203
-24.72,-10.477949142456055
-32.123,-15.160261154174805
6.49,2.00931453704834
-2.34,-5.132021903991699
-37.47,-35.14921569824219
-8.12,-6.01339864730835
-6.57,-23.221759796142578
-11.9,-12.576997756958008
-0.85,-2.71761417388916
-4.34,-6.749627590179443
7.54,-8.979089736938477
-2.34,-4.987977027893066
-0.66,-3.4664149284362793
-1.91,-6.8655686378479
-36.38,-3.560089588165283
-2.52,-4.436665058135986
-3.12,-11.723031044006348
-3.18,-15.09044075012207
-1.13,-6.03278112411499
-4.61,-9.720633506774902
-1.32,-21.714914321899414
3.5,-5.065504550933838
8.41,-13.657560348510742
-22.798,-17.196807861328125
-31.28,-10.948467254638672
-1.43,0.6267962455749512
-13.38,0.727746844291687
-11.28,-3.9512734413146973
2.04,-2.2173006534576416
-39.875,-10.964069366455078
4.26,-12.095315933227539
1.13,-10.308931350708008
-29.32,-33.31385803222656
8.7,-12.186805725097656
9.52,-11.756580352783203
6.24,4.89315128326416
6.06,-5.193302154541016
-6.43,-5.549693584442139
0.17,-4.183013439178467
-5.47,-11.645305633544922
-26.235,-20.386537551879883
3.27,-9.546449661254883
6.07,-2.7733659744262695
-0.52,-2.800507068634033
-3.89,-2.5364246368408203
-4.86,-3.730039119720459
0.29,-4.0336127281188965
-4.57,-7.838273525238037
-67.77,-25.889171600341797
1.1716666666666669,-21.72207260131836
