Score,Pred Score
-17.9,-11.674262046813965
-2.55,-15.175252914428711
5.08,-5.081130027770996
-28.831,-13.222274780273438
-8.91,-10.269412994384766
5.265000000000001,-3.8139209747314453
-4.16,-6.690935134887695
7.09,-4.686898231506348
0.23,-7.458157539367676
-38.75,-10.736543655395508
-11.07,-7.504791259765625
1.5,-12.440410614013672
-0.52,-12.270637512207031
-4.68,-8.799797058105469
-8.22,-7.989251136779785
2.5925,-3.6742753982543945
-2.96,-10.972359657287598
-80.0,-15.877091407775879
-75.32,-19.76108169555664
-68.78,-12.587361335754395
-4.41,-7.251511573791504
1.12,-2.815479278564453
-2.14,-3.7182998657226562
-0.87,-3.3579368591308594
-0.66,-7.922331809997559
-15.01,-8.742780685424805
-12.23,-7.442907333374023
-11.38,-13.993111610412598
17.43,-10.150449752807617
5.28,-7.427585601806641
-0.44,-8.541254997253418
-12.0,-20.95186996459961
-1.45,-5.598058700561523
-1.36,-8.376964569091797
1.5,-16.252532958984375
14.15,-9.14263916015625
2.07,-9.990680694580078
-1.56,-9.115283966064453
4.23,-7.511656761169434
-30.18,-9.807662963867188
-11.16,-14.903717041015625
-17.64,-13.811344146728516
-49.14,-8.309773445129395
0.68,-4.919939041137695
-1.42,-9.44552230834961
-9.74,-14.69970703125
-6.13,-10.370304107666016
-0.71,-7.805123329162598
-22.22,-9.826384544372559
-3.86,-8.016464233398438
-9.15,-0.36209678649902344
-2.08,-10.167825698852539
-3.89,-2.883533477783203
-13.09,-15.855950355529785
-6.415,-6.7447357177734375
-0.72,-7.512805938720703
6.02,-1.9366207122802734
-40.89,-5.478050231933594
4.4,-8.115117073059082
-6.57,-3.002490997314453
5.02,-8.467010498046875
-2.75,3.2457637786865234
-12.23,-3.899472236633301
-28.07,-10.701911926269531
-17.98,1.647181510925293
-2.85,-11.585925102233887
-10.24,-12.284862518310547
-4.1,-17.376266479492188
-2.89,-13.577125549316406
-2.4,-13.098146438598633
-0.22,-13.419447898864746
-15.04,-9.363286018371582
-9.84,-14.044208526611328
-1.33,-16.79768180847168
-22.79,-20.48581314086914
4.61,-9.124892234802246
-17.51,-14.890449523925781
4.87,-16.189651489257812
-21.94,-20.993404388427734
-3.25,2.714740753173828
-33.48,-13.01522445678711
-3.3,-15.550541877746582
7.74,-14.095184326171875
3.41,-11.303390502929688
2.67,-16.817964553833008
7.22,-10.94865894317627
-12.15,-14.112071990966797
-2.07,-14.197402954101562
3.96,-14.429647445678711
-52.23,-33.69735336303711
-2.86,-16.372577667236328
-5.23,-13.113866806030273
-12.18,-15.516105651855469
1.93,-19.266965866088867
0.89,-12.537158966064453
-20.56,-20.135520935058594
-1.62,-15.772939682006836
-0.5,-12.452762603759766
-8.48,-12.848904609680176
2.71,-11.116313934326172
-8.64,-6.7872161865234375
