Drug A,Drug B,Cell Line Name,Score,Pred Score
ROMIDEPSIN,MITOTANE,SR,-61.34,-46.84929656982422
IMATINIB,DOCETAXEL,BT-549,8.94,-11.870575904846191
VISMODEGIB,CELECOXIB,NCI-H322M,-1.47,-1.1112756729125977
LUMACAFTOR,RUXOLITINIB,L-1236,-4.731,-19.83368873596192
VISMODEGIB,TRETINOIN,UO-31,11.0,-4.5204362869262695
DOCETAXEL,MITOTANE,MDA-MB-231,0.49,-4.128998756408691
SORAFENIB,MITOTANE,A-498,6.78,0.2886791229248047
PACLITAXEL,THALIDOMIDE,UACC-257,-64.7,-19.48175048828125
VISMODEGIB,MITOTANE,KM12,6.93,-2.7393016815185547
RUXOLITINIB,DASATINIB,HT-29,-16.1,-0.5972881317138672
SUNITINIB,MITOTANE,OVCAR-5,-1.97,-4.8902740478515625
THALIDOMIDE,ARSENIC TRIOXIDE,HT-29,-17.5,-22.83073234558105
VEMURAFENIB,ROMIDEPSIN,HOP-92,-74.98,-44.84770965576172
VISMODEGIB,LAPATINIB,NCI-H23,-2.97,-1.100968360900879
AXITINIB,DASATINIB,OVCAR-4,-5.3,-1.0485210418701172
PACLITAXEL,SUNITINIB,A-427,4.19,-3.922333240509033
VISMODEGIB,AXITINIB,SK-OV-3,5.46,-2.430391311645508
CRIZOTINIB,PACLITAXEL,T-47D,-4.99,-9.75876808166504
VISMODEGIB,AXITINIB,HT-29,-1.43,-2.646357536315918
CELECOXIB,IMATINIB,Caki-1,-13.62,-6.157477378845215
MITOTANE,ARSENIC TRIOXIDE,NCI-H226,-28.16,-24.453872680664062
VEMURAFENIB,ABIRATERONE,HOP-62,-3.77,-3.638296127319336
SUNITINIB,SORAFENIB,NCI-H2122,-11.535,-4.716274261474609
NILOTINIB,DOCETAXEL,SF295,-4.12,-11.026972770690918
DASATINIB,SUNITINIB,OVCAR-5,0.0,-4.044281005859375
VANDETANIB,PACLITAXEL,SN12C,-1.67,-8.96214771270752
SUNITINIB,LAPATINIB,SK-MES-1,8.0725,-5.663699150085449
THALIDOMIDE,ARSENIC TRIOXIDE,NCI-H226,-20.45,-23.19816970825196
ABIRATERONE,CELECOXIB,IGROV-1,3.32,-3.1092538833618164
RALOXIFENE,AXITINIB,IGROV-1,-0.18,-2.38557767868042
RUXOLITINIB,SUNITINIB,OVCAR-5,-3.06,-2.724555969238281
MEGESTROL ACETATE,ARSENIC TRIOXIDE,HT-29,-57.29,-14.50894260406494
CRIZOTINIB,ROMIDEPSIN,SF268,-11.48,-28.35245704650879
VANDETANIB,FULVESTRANT,NCI-H322M,-8.71,-1.1256237030029297
VEMURAFENIB,VEMURAFENIB,CCRF-CEM,3.63,-1.0877532958984375
DASATINIB,MITOTANE,BT-549,-0.48,-10.878698348999023
AXITINIB,DOCETAXEL,COLO 205,-27.58,-8.843238830566406
VISMODEGIB,LENALIDOMIDE,HT-29,-15.27,-3.306398391723633
VISMODEGIB,CELECOXIB,OVCAR-3,-7.28,-0.7597231864929199
VISMODEGIB,SUNITINIB,SNB-75,-1.89,-4.320055961608887
ABIRATERONE,DOCETAXEL,TK-10,10.19,-12.27342700958252
LENALIDOMIDE,CRIZOTINIB,UO-31,-1.75,-10.427677154541016
RALOXIFENE,IMATINIB,SK-MEL-2,-3.04,-2.6934304237365723
IMATINIB,DOCETAXEL,A-498,10.94,-10.605170249938965
VANDETANIB,AXITINIB,SF539,4.86,-2.855297088623047
RALOXIFENE,PACLITAXEL,A-498,-19.21,-24.837684631347656
LEVOSIMENDAN,RUXOLITINIB,L-1236,-38.72,-19.498931884765625
RALOXIFENE,THALIDOMIDE,T-47D,-0.96,-0.7329511642456055
VEMURAFENIB,CELECOXIB,786-O,3.67,-5.276608467102051
NILOTINIB,FULVESTRANT,MDA-MB-468,-0.26,0.2447485923767089
ABIRATERONE,VISMODEGIB,SF268,-35.44,-6.865554332733154
AXITINIB,VISMODEGIB,SK-MEL-2,-1.68,-4.265867233276367
SUNITINIB,FULVESTRANT,HCC2998,-1.55,-0.0095434188842773
LENALIDOMIDE,CRIZOTINIB,HCT 116,-24.94,-20.86442947387696
VANDETANIB,SORAFENIB,A-498,-10.84,-10.704717636108398
GEFITINIB,MITOTANE,UACC-62,-7.39,-6.84941291809082
GEFITINIB,MITOTANE,SK-OV-3,-15.25,-4.269343852996826
CRIZOTINIB,PACLITAXEL,HCC2998,-2.18,-11.320592880249023
TRETINOIN,SORAFENIB,DU145,10.58,-6.132916450500488
AXITINIB,FULVESTRANT,SK-MEL-5,-5.35,-3.822270393371582
ABIRATERONE,DOCETAXEL,SNB-75,-13.15,-13.185383796691896
CELECOXIB,LAPATINIB,SK-OV-3,-33.91,-4.601474761962891
AXITINIB,SUNITINIB,BT-549,-0.81,-4.887619018554688
NILOTINIB,DOCETAXEL,SK-OV-3,-0.25,-8.339387893676758
PACLITAXEL,LAPATINIB,HCT 15,3.12,-5.2806077003479
RUXOLITINIB,TRETINOIN,NCI-H460,-4.86,-1.5890860557556152
PACLITAXEL,LAPATINIB,PC-3,4.24,6.69565486907959
AXITINIB,DOCETAXEL,NCI-H322M,-18.72,-10.575823783874512
AXITINIB,SUNITINIB,Caki-1,-1.63,-4.663742065429688
LENALIDOMIDE,DASATINIB,SF539,0.71,-11.64703369140625
MEGESTROL ACETATE,THALIDOMIDE,SR,3.43,-16.629976272583008
VISMODEGIB,CELECOXIB,T-47D,6.11,-0.3751096725463867
IMATINIB,PACLITAXEL,SF539,-16.36,-14.550454139709473
GEFITINIB,VEMURAFENIB,RPMI-8226,-3.38,-6.585057258605957
VEMURAFENIB,ROMIDEPSIN,UACC-62,-9.11,-45.12168884277344
GEFITINIB,CRIZOTINIB,TK-10,-1.43,-5.716079711914063
GEFITINIB,FULVESTRANT,SN12C,-1.79,2.540976524353028
LENALIDOMIDE,MEGESTROL ACETATE,ACHN,-2.39,-8.531872749328613
VISMODEGIB,LENALIDOMIDE,MOLT-4,-28.59,-5.05352783203125
VANDETANIB,LAPATINIB,NCI-H460,8.27,-2.50128173828125
RALOXIFENE,PACLITAXEL,A-549,-40.27,-25.98572158813477
SORAFENIB,MITOTANE,SF539,5.53,-1.3080577850341797
NILOTINIB,SUNITINIB,SN12C,-15.83,-2.650484085083008
THALIDOMIDE,ARSENIC TRIOXIDE,OVCAR-3,-39.23,-24.375465393066406
LAPATINIB,SORAFENIB,SR,-3.3,-4.095183372497559
VISMODEGIB,DOCETAXEL,OVCAR-5,6.13,-4.489001274108887
LENALIDOMIDE,DASATINIB,OVCAR-4,-7.73,-10.666973114013672
VEMURAFENIB,ARSENIC TRIOXIDE,RXF 393L,5.47,-8.999849319458008
LENALIDOMIDE,LAPATINIB,OVCAR-3,-25.37,-5.412325382232666
BARDOXOLONE METHYL,AV412,TC-71,-3.304,-11.81482982635498
THALIDOMIDE,ARSENIC TRIOXIDE,BT-549,-15.44,-22.25281524658203
LENALIDOMIDE,PACLITAXEL,MDA-MB-468,-33.52,-25.517013549804688
VEMURAFENIB,CRIZOTINIB,DU145,-30.84,-9.913722038269045
AXITINIB,ABIRATERONE,OVCAR-8,-1.35,-2.0188446044921875
ABIRATERONE,CRIZOTINIB,NCI-H226,-3.11,-9.936111450195312
MITOTANE,FULVESTRANT,MDA-MB-468,3.46,-3.338922500610352
VANDETANIB,RALOXIFENE,HCT 15,10.53,1.173871994018555
NILOTINIB,FULVESTRANT,NCI-H226,0.32,-0.7471342086791992
VANDETANIB,ABIRATERONE,M14,-2.55,-1.2734012603759766
AXITINIB,LENALIDOMIDE,OVCAR-3,-7.4,-11.286251068115234
IMATINIB,ARSENIC TRIOXIDE,NCI-H322M,-0.22,-13.743459701538086
LAPATINIB,SORAFENIB,SK-MEL-2,-7.21,-5.26289176940918
VANDETANIB,FULVESTRANT,SR,5.18,-6.960198879241943
IMATINIB,ROMIDEPSIN,BT-549,-80.89,-41.823707580566406
RUXOLITINIB,RALOXIFENE,MDA-MB-468,5.73,2.450345993041992
ABIRATERONE,FULVESTRANT,HCT 15,-2.6,-1.5486936569213867
CELECOXIB,NILOTINIB,HOP-62,8.92,-1.6990022659301758
CRIZOTINIB,DASATINIB,LOX-IMVI,-2.06,-4.51978874206543
CRIZOTINIB,VISMODEGIB,SW620,-64.69,-10.49207592010498
VANDETANIB,LENALIDOMIDE,COLO 205,-13.61,-12.708584785461426
AXITINIB,LAPATINIB,DU145,-8.5,-6.96774959564209
PACLITAXEL,LAPATINIB,NCI-H520,-3.2325,1.444324970245361
SORAFENIB,THALIDOMIDE,T-47D,-5.56,-2.036931037902832
LAPATINIB,FULVESTRANT,NCI-H23,-1.33,-2.722731590270996
RALOXIFENE,CRIZOTINIB,SW620,-11.84,-15.146799087524414
RUXOLITINIB,FULVESTRANT,COLO 205,-7.17,1.2624831199645996
ROMIDEPSIN,LAPATINIB,SN12C,-2.9,-20.564453125
ABIRATERONE,ARSENIC TRIOXIDE,LOX-IMVI,12.34,-8.000709533691406
NILOTINIB,SUNITINIB,KM12,-10.11,-3.305606842041016
VISMODEGIB,DOCETAXEL,OVCAR-8,10.68,-7.855320453643799
DASATINIB,MITOTANE,UACC-257,-43.56,-7.774116516113281
VEMURAFENIB,LAPATINIB,SF539,3.24,-7.603442668914795
RALOXIFENE,FULVESTRANT,HCC2998,-0.24,-1.6950187683105469
NILOTINIB,ROMIDEPSIN,SF539,-29.02,-50.08544921875
VEMURAFENIB,SUNITINIB,HOP-62,-1.21,-2.501952171325684
RUXOLITINIB,AXITINIB,SK-OV-3,1.41,-5.965886116027832
MEGESTROL ACETATE,DASATINIB,M14,-11.24,-10.69115924835205
AXITINIB,VISMODEGIB,COLO 205,-5.24,-4.044499397277832
CELECOXIB,DOCETAXEL,UO-31,1.41,-9.309236526489258
VISMODEGIB,NILOTINIB,NCI-H23,-0.4,-2.019493103027344
ABIRATERONE,VISMODEGIB,SF295,-2.32,-5.56080961227417
ABIRATERONE,THALIDOMIDE,HT-29,-34.89,-2.8201584815979004
RUXOLITINIB,LENALIDOMIDE,SN12C,-0.75,-6.422069549560547
CRIZOTINIB,VANDETANIB,T-47D,-1.83,-2.9390010833740234
VISMODEGIB,NILOTINIB,MCF-7,5.14,-1.82735538482666
RALOXIFENE,SORAFENIB,SF268,-6.51,-4.9091901779174805
ROMIDEPSIN,SUNITINIB,SF295,-51.14,-42.71929931640625
TRETINOIN,SUNITINIB,HCT 116,-4.52,-4.56523323059082
CRIZOTINIB,ROMIDEPSIN,RXF 393L,-51.0,-15.394880294799805
VANDETANIB,SORAFENIB,NCI-H226,-8.03,-8.069770812988281
MEGESTROL ACETATE,IMATINIB,U-251MG,1.72,-10.678871154785156
METFORMIN,ERLOTINIB,A-427,-27.567500000000003,-24.569355010986328
VISMODEGIB,PACLITAXEL,LOX-IMVI,26.13,-5.141703605651856
VANDETANIB,CELECOXIB,SF295,-3.56,-7.868000507354736
VANDETANIB,CRIZOTINIB,EKVX,-0.82,-4.277494430541992
AXITINIB,TRETINOIN,SF268,-39.01,1.195033073425293
RALOXIFENE,ABIRATERONE,MCF-7,2.63,4.056451797485352
RUXOLITINIB,VANDETANIB,SK-MEL-28,1.49,-8.902597427368164
