Score,Pred Score
-6.27,-4.303013801574707
0.82,-6.530243873596191
-57.05,-42.77173614501953
-11.7,-9.037374496459961
-1.21,-4.52998161315918
-47.93,-13.112866401672363
-3.21,-7.27905797958374
-2.84,-5.59340763092041
7.02,0.5715122222900391
10.1,-5.5209150314331055
-6.79,-14.266862869262695
-1.82,-6.376415252685547
-9.92,-6.91658353805542
-2.22,-5.667788505554199
-7.19,-3.932732582092285
-29.44,-5.8547444343566895
-0.66,-5.931773662567139
-9.62,-6.624464988708496
0.82,-3.625519037246704
4.92,-4.908470153808594
-33.024,-20.642127990722656
3.605,-3.671560287475586
-1.35,-5.741085052490234
5.5325,-7.117033004760742
5.08,-7.074157238006592
-46.51,-8.715353012084961
0.25,-12.80671215057373
-10.51,-6.034832954406738
10.03,-8.391380310058594
-10.24,-9.22400188446045
0.13,-4.687057971954346
-7.48,-5.637969493865967
-12.14,-3.7423055171966553
3.97,-3.9341611862182617
-5.22,-4.814438819885254
5.18,-2.395352840423584
17.47,-9.199118614196777
4.22,-7.599242210388184
-13.59,-5.202852249145508
-1.54,-7.833145618438721
-13.03,-4.230051040649414
2.04,-5.877001762390137
-4.94,-19.064071655273438
-6.16,-2.0440802574157715
-3.29,-5.084628105163574
-9.68,-23.683778762817383
-5.05,-9.386563301086426
-3.42,-19.91197395324707
1.42,-7.0001044273376465
3.53,-7.478524684906006
-5.82,-7.33531379699707
-3.24,-6.73975944519043
-32.79,-15.881516456604004
-6.0,-7.2822089195251465
-3.9,-6.078935146331787
2.09,-11.95141315460205
7.79,-6.082346439361572
-0.12,-6.187690258026123
-7.85,-9.694047927856445
-10.25,-6.620487213134766
-21.54,-24.273521423339844
9.17,-3.959282875061035
-0.36,-6.90567684173584
6.4025,-2.189425468444824
-8.65,-3.25118350982666
-7.42,-6.97355318069458
-1.08,-1.7483657598495483
-2.55,-5.61679220199585
-4.59,-4.967692852020264
11.27,-10.99319076538086
-6.42,-4.358161926269531
-8.67,-0.7206935882568359
-13.75,-9.335372924804688
11.71,-8.753046035766602
2.95,-7.733757019042969
4.39,-3.50966477394104
0.83,-4.822989463806152
-45.58,-7.378173828125
1.17,-4.549322128295898
0.62,-4.714385509490967
-2.39,-7.366933822631836
6.48,-3.246260404586792
0.14,-2.0275192260742188
-9.37,-5.474137306213379
-9.59,-5.842176914215088
-7.05,-5.494662761688232
-0.89,-23.01796531677246
-8.1975,-6.601303577423096
-3.09,-8.901674270629883
-5.66,-4.941807746887207
-12.65,-38.90102005004883
0.54,-16.048091888427734
-11.88,-27.694602966308594
-73.53,-7.48068380355835
-16.06,-4.636678695678711
-12.07,-11.47562026977539
-0.12,-6.280151844024658
-14.68,-4.330972671508789
14.03,-7.724597454071045
-30.92,-4.95179557800293
-5.41,-1.8236595392227173
4.5225,-2.6746301651000977
-10.25,-5.905482769012451
-3.09,-5.237049102783203
-6.2,-3.2837650775909424
-5.5,-13.818753242492676
-45.68,-6.597482681274414
-1.47,-4.083575248718262
-8.56,-2.2537124156951904
-5.0,-14.182217597961426
5.15,-11.601758003234863
-3.7,-7.22047758102417
-1.06,-6.785281181335449
-3.59,-7.691763877868652
5.13,-25.097164154052734
-3.2,-7.483351230621338
-2.09,-5.325564384460449
-24.72,-6.780989646911621
