Score,Pred Score
-17.9,-5.290399074554443
-2.55,-5.221530437469482
5.08,-5.31781530380249
-28.831,-16.069448471069336
-8.91,-5.228678226470947
5.265000000000001,-5.450425148010254
-4.16,-5.21131706237793
7.09,-3.801774024963379
0.23,-5.197579860687256
-38.75,-10.623018264770508
-11.07,-5.228832244873047
1.5,-5.810888767242432
-0.52,-5.227232933044434
-4.68,-5.216215133666992
-8.22,-10.193669319152832
2.5925,-5.450517177581787
-2.96,-5.346234321594238
-80.0,-28.380111694335938
-75.32,-31.747859954833984
-68.78,-10.05142879486084
-4.41,-10.407055854797363
1.12,-5.228840351104736
-2.14,-3.7324490547180176
-0.87,-5.229376792907715
-0.66,-3.7966363430023193
-15.01,-11.418606758117676
-12.23,-10.774084091186523
-11.38,-10.282876014709473
17.43,-10.198932647705078
5.28,-5.193445205688477
-0.44,-5.458522796630859
-12.0,-12.077112197875977
-1.45,-3.9418575763702393
-1.36,-5.205779075622559
1.5,-5.202526569366455
14.15,-7.522736549377441
2.07,-5.151189804077148
-1.56,-3.4530892372131348
4.23,-4.7452263832092285
-30.18,-5.228249549865723
-11.16,-16.097984313964844
-17.64,-5.197035312652588
-49.14,-12.162142753601074
0.68,-5.228575706481934
-1.42,-5.228902339935303
-9.74,-5.2072858810424805
-6.13,-5.240232944488525
-0.71,-5.318342208862305
-22.22,-5.255090236663818
-3.86,-5.228878021240234
-9.15,-4.395270824432373
-2.08,-10.382148742675781
-3.89,-5.227237224578857
-13.09,-24.332393646240234
-6.415,-7.690842628479004
-0.72,-4.995092391967773
6.02,-4.796204090118408
-40.89,-2.1702816486358643
4.4,-4.53437614440918
-6.57,-2.736006259918213
5.02,-10.338518142700195
-2.75,-7.337313175201416
-12.23,-2.3557350635528564
-28.07,-17.295082092285156
-17.98,-5.228531360626221
-2.85,-5.2241010665893555
-10.24,-5.228816509246826
-4.1,-9.032466888427734
-2.89,-5.2257466316223145
-2.4,-5.191405296325684
-0.22,-5.228855609893799
-15.04,-5.330003261566162
-9.84,-5.228915691375732
-1.33,-3.038125514984131
-22.79,-16.09805679321289
4.61,-9.455986976623535
-17.51,-5.295825004577637
4.87,-5.870354175567627
-21.94,-33.331871032714844
-3.25,-5.172563076019287
-33.48,-8.291428565979004
-3.3,-10.188350677490234
7.74,-9.364524841308594
3.41,-7.538600444793701
2.67,-10.415596008300781
7.22,-8.262908935546875
-12.15,-6.652716159820557
-2.07,-7.921864032745361
3.96,-4.632073402404785
-52.23,-30.622661590576172
-2.86,-5.228832244873047
-5.23,-5.708298683166504
-12.18,-5.22829532623291
1.93,-11.376445770263672
0.89,-5.238115310668945
-20.56,-12.198077201843262
-1.62,-5.228837013244629
-0.5,-4.806230545043945
-8.48,-5.214728355407715
2.71,-2.8054046630859375
-8.64,-5.806491374969482
-0.45,-10.449039459228516
-5.57,-3.2672722339630127
5.3175,-6.309959411621094
-0.69,-3.8955328464508057
-10.1525,-12.84947395324707
-1.23,-5.23312520980835
0.33,-5.229269027709961
8.86,-6.758902549743652
-3.94,-5.22905158996582
-39.28,-10.296358108520508
-1.31,-6.458778381347656
-26.687,-16.097991943359375
-0.85,-5.218264579772949
-34.47,-5.229223251342773
3.02,-4.128549575805664
2.31,-8.12784481048584
-69.8,-35.866310119628906
-23.8,-25.284021377563477
-9.0,-3.74594783782959
-59.28,-44.32726287841797
-28.42,-10.928472518920898
1.46,-5.041149139404297
5.34,-5.2675461769104
-7.86,-5.228845119476318
-5.27,-5.385684013366699
-8.07,-33.51460647583008
-2.84,-6.1592488288879395
-5.62,-5.431734561920166
-3.22,-5.228780746459961
-3.21,-5.774752140045166
-9.78,-5.227467060089111
-3.65,-5.214481830596924
-4.96,-8.725523948669434
-3.56,-10.370141983032227
5.8525,-12.455117225646973
-5.68,-5.228885650634766
-2.28,-5.1517333984375
11.24,-2.4971935749053955
-21.4,-10.798379898071289
-2.49,-4.029577255249023
-1.62,-5.221067905426025
6.78,-3.506594181060791
8.68,-10.760568618774414
-30.96,-10.682543754577637
-1.34,-5.228837013244629
-8.28,-5.22927188873291
-4.08,-10.22252368927002
-5.46,-5.2241129875183105
2.58,-9.903074264526367
6.64,-5.792698860168457
3.48,-5.229011535644531
-2.96,-5.226685523986816
-8.75,-6.221977710723877
-5.39,-3.5843706130981445
-1.52,-4.995168685913086
-0.12,-11.038960456848145
3.65,-5.223241806030273
-0.0375,-5.450991630554199
2.96,-10.840458869934082
-20.12,-5.22672176361084
-23.7,-7.581601619720459
1.18,-5.229005813598633
-24.14,-5.430520534515381
-34.15,-5.726909637451172
-13.7,-4.031105041503906
-11.77,-5.506526947021484
-8.82,-5.228426456451416
1.89,-5.209291934967041
-19.94,-8.67131233215332
-5.71,-5.228829860687256
-77.95,-5.212154388427734
-1.06,-3.225175380706787
15.42,-3.7948367595672607
1.83,-10.171140670776367
-40.69,-36.45965576171875
1.12,-10.095067977905273
-52.72,-30.123992919921875
-9.74,-10.224675178527832
4.62,-4.4588823318481445
4.75,-5.22849702835083
0.65,-2.765155792236328
-1.31,-4.910012245178223
12.36,-10.42246150970459
-34.78,-5.2177228927612305
-12.59,-5.227841377258301
-0.41,-3.8602418899536133
1.45,-6.9443039894104
-4.98,-5.2288384437561035
-24.35,-11.126774787902832
-41.38,-5.225508689880371
10.04,-5.2349138259887695
-0.2525000000000001,-14.519893646240234
1.58,-6.858879566192627
14.47,-8.45956802368164
-31.08,-10.823835372924805
-12.83,-5.22883939743042
-10.7625,-5.228840351104736
-2.63,-5.228837013244629
-72.75,-44.05475616455078
2.77,-5.17086124420166
-10.26,-5.22883415222168
-60.18,-32.27153778076172
3.66,-5.222623825073242
-18.54,-5.222965240478516
-4.47,-5.22884464263916
-5.4,-5.228812217712402
-5.73,-3.9930014610290527
-9.27,-5.112133979797363
-0.29,-5.145212173461914
0.64,-8.021352767944336
2.21,-9.769244194030762
10.81,-10.823634147644043
-3.83,-9.3013334274292
-3.05,-5.2202558517456055
-12.39,-4.630064010620117
-0.74,-5.097527503967285
-0.68,-2.981456756591797
-1.31,-5.2011542320251465
3.04,-5.227393627166748
2.39,-8.137252807617188
-2.84,-5.228840351104736
4.13,-5.985413551330566
-4.2,-6.701055526733398
-6.76,-5.225148677825928
-5.85,-5.05098295211792
-4.55,-5.156033515930176
-3.53,-6.404224395751953
-0.93,-5.230090618133545
8.9,-5.228860378265381
5.79,-9.369145393371582
-4.67,-5.20739221572876
11.04,-9.548149108886719
1.19,-4.179416179656982
1.98,-2.867845058441162
-16.42,-5.226728916168213
-0.08,-5.231823921203613
-6.68,-10.002761840820312
2.69,-6.776695251464844
-44.79,-10.270025253295898
-13.57,-5.145076751708984
-37.89,-22.58932113647461
2.34,-3.213606119155884
2.47,-10.329451560974121
-10.36,-11.642152786254883
4.44,-2.331944465637207
-0.16,-4.169571399688721
-0.788,-4.051876068115234
3.73,-2.839650869369507
-8.8,-3.9828290939331055
3.34,-5.228823661804199
-6.3,-4.6902689933776855
-7.41,-5.209112644195557
0.72,-5.234184265136719
-13.76,-9.892067909240723
-6.96,-5.232933044433594
-21.66,-22.365402221679688
6.725,-7.416632652282715
2.54,-5.228928565979004
-34.6,-10.209633827209473
2.9,-6.089662551879883
-0.62,-5.228961944580078
-30.07,-10.797825813293457
-6.8,-4.74896240234375
2.27,-5.220090866088867
8.51,-5.215661525726318
-24.67,-5.221231460571289
2.07,-4.536891937255859
-23.44,-4.820065498352051
-58.83,-23.983882904052734
-46.06,-5.192582607269287
-1.98,-5.191315174102783
-19.52,-5.222803592681885
-2.98,-11.746950149536133
-18.93,-27.093379974365234
-9.89,-5.140954494476318
-3.25,-5.228840351104736
-2.73,-4.182059288024902
-0.26,-4.215169429779053
6.795,-7.399356842041016
21.09,-10.79315185546875
-26.633,-16.070552825927734
-3.46,-6.644294261932373
-1.58,-5.228819370269775
2.36,-5.175909042358398
-3.73,-4.373550891876221
-25.66,-4.170927047729492
-6.49,-3.274567127227783
-5.15,-4.569380760192871
-5.56,-10.549344062805176
-55.85,-10.774083137512207
-3.01,-2.7626895904541016
-0.4,-5.228485107421875
-3.32,-5.229796409606934
1.12,-10.195030212402344
-44.44,-5.216822624206543
-5.74,-5.216233730316162
-0.12,-5.228837013244629
0.14,-3.9835362434387207
-0.86,-4.045271873474121
-2.57,-9.990033149719238
-17.02,-5.2288923263549805
-7.05,-5.228550434112549
3.77,-5.2026848793029785
-4.28,-10.805429458618164
9.17,-3.955880641937256
-0.38,-3.8368241786956787
-9.68,-5.490024566650391
-3.08,-4.018240451812744
-64.02,-34.9557991027832
-3.36,-5.228422164916992
-28.29,-4.69319486618042
-3.2,-5.228837490081787
3.36,-3.1952130794525146
5.99,-5.423946380615234
9.35,-7.906062126159668
-1.57,-11.069764137268066
-17.85,-5.227390289306641
-3.05,-26.027389526367188
1.04,-4.901608467102051
1.2175,-5.228423595428467
0.47,-6.9656453132629395
-1.89,-5.2291259765625
-7.17,-5.2285661697387695
-0.9,-5.242287635803223
-3.03,-5.255151271820068
-5.75,-13.24765396118164
-1.77,-5.147678375244141
-0.72,-9.963296890258789
2.97,-4.734718322753906
-5.67,-4.403419494628906
-0.28,-5.228840351104736
-3.69,-10.86142635345459
0.27,-5.228919982910156
-31.11,-5.163190841674805
-38.56,-10.259136199951172
-0.89,-6.737650394439697
2.45,-4.075675964355469
-11.24,-1.4944167137145996
-0.12,-5.202834129333496
4.48,-5.228877067565918
7.92,-10.340078353881836
6.43,-5.213444709777832
1.9275,-5.401075839996338
-5.77,-4.203096866607666
-5.1,-5.209717273712158
-3.84,-5.08914852142334
-6.89,-9.063523292541504
-9.99,-10.49874496459961
-28.75,-6.4412007331848145
-9.51,-5.228879928588867
-58.6,-10.148978233337402
-2.73,-5.383125305175781
-8.57,-5.227902889251709
-0.5,-5.23008918762207
