Score,Pred Score
-6.27,-3.385573148727417
0.82,-6.014860153198242
-57.05,-22.44554328918457
-11.7,-6.005538463592529
-1.21,-6.013641834259033
-47.93,-5.103931427001953
-3.21,-6.224088668823242
-2.84,-3.8774843215942383
7.02,-6.019403457641602
10.1,-6.014171123504639
-6.79,-10.169458389282227
-1.82,-9.495393753051758
-9.92,-6.432572364807129
-2.22,-17.882492065429688
-7.19,-10.022273063659668
-29.44,-6.011629581451416
-0.66,-6.013147830963135
-9.62,-6.735243320465088
0.82,-5.417727470397949
4.92,-6.012111186981201
-33.024,-18.600704193115234
3.605,-5.404689788818359
-1.35,-3.8116254806518555
5.5325,-14.275065422058105
5.08,-4.89268684387207
-46.51,-18.05592918395996
0.25,-5.8206024169921875
-10.51,-4.688963413238525
10.03,-3.73321795463562
-10.24,-6.726607322692871
0.13,-5.935102462768555
-7.48,-4.756985187530518
-12.14,-6.054734706878662
3.97,-4.9969401359558105
-5.22,-6.013733863830566
5.18,-6.013684272766113
17.47,-3.4432108402252197
4.22,-21.602218627929688
-13.59,-5.986327171325684
-1.54,-5.002849102020264
-13.03,-5.948854446411133
2.04,-6.008907318115234
-4.94,-30.11267852783203
-6.16,-6.564331531524658
-3.29,-3.6248292922973633
-9.68,-28.230112075805664
-5.05,-6.327354431152344
-3.42,-6.014788627624512
1.42,-5.418239116668701
3.53,-6.23764705657959
-5.82,-6.029824256896973
-3.24,-5.993636608123779
-32.79,-10.149378776550293
-6.0,-5.509581089019775
-3.9,-6.088377952575684
2.09,-5.545565128326416
7.79,-7.771029472351074
-0.12,-4.994848728179932
-7.85,-4.727041721343994
-10.25,-4.349571704864502
-21.54,-26.557464599609375
9.17,-5.481937408447266
-0.36,-5.998661994934082
6.4025,-6.545996189117432
-8.65,-5.718085289001465
-7.42,-3.8736085891723633
-1.08,-5.906132221221924
-2.55,-5.71806001663208
-4.59,-5.718085289001465
11.27,-6.817654609680176
-6.42,-5.181925296783447
-8.67,-5.719259262084961
-13.75,-10.129522323608398
11.71,-6.562424659729004
2.95,-4.883902549743652
4.39,-5.970402717590332
0.83,-6.3464274406433105
-45.58,-6.214650630950928
1.17,-5.448429107666016
0.62,-4.463487148284912
-2.39,-6.058557987213135
6.48,-5.718085289001465
0.14,-5.187926292419434
-9.37,-5.718088150024414
-9.59,-7.695406913757324
-7.05,-5.7473225593566895
-0.89,-6.432586669921875
-8.1975,-12.978195190429688
-3.09,-5.718143463134766
-5.66,-4.9936299324035645
-12.65,-20.779712677001953
0.54,-7.151493072509766
-11.88,-16.66448974609375
-73.53,-5.723786354064941
-16.06,-5.857540130615234
-12.07,-4.332386016845703
-0.12,-4.597254753112793
-14.68,-5.6795454025268555
14.03,-5.17704439163208
-30.92,-4.089456558227539
-5.41,-5.682586193084717
4.5225,-4.543083190917969
-10.25,-5.77229118347168
-3.09,-5.711457252502441
-6.2,-3.9308695793151855
-5.5,-6.7267351150512695
-45.68,-4.242978096008301
-1.47,-4.525403022766113
-8.56,-3.82106876373291
-5.0,-10.094944953918457
5.15,-5.142728805541992
-3.7,-5.161459922790527
-1.06,-4.879946231842041
-3.59,-6.072859764099121
5.13,-21.340286254882812
-3.2,-5.202730178833008
-2.09,-5.718110084533691
-24.72,-6.1907572746276855
-32.123,-17.235063552856445
6.49,-5.585209846496582
-2.34,-4.146346569061279
-37.47,-14.798891067504883
-8.12,-3.841337203979492
-6.57,-20.49659538269043
-11.9,-17.10394287109375
-0.85,-4.752221584320068
-4.34,-6.033715724945068
7.54,-5.708072662353516
-2.34,-5.783713340759277
-0.66,-13.445211410522461
-1.91,-3.9007694721221924
-36.38,-5.788570404052734
-2.52,-5.846304416656494
-3.12,-5.8520073890686035
-3.18,-5.787246227264404
-1.13,-6.188958168029785
-4.61,-4.831620693206787
-1.32,-21.455032348632812
3.5,-5.740591049194336
8.41,-6.45285177230835
-22.798,-17.68294906616211
-31.28,-4.9430060386657715
-1.43,-3.823047161102295
-13.38,-5.787733554840088
-11.28,-5.7908124923706055
2.04,-5.789663791656494
-39.875,-14.192632675170898
4.26,-8.593497276306152
1.13,-8.035637855529785
-29.32,-17.669004440307617
8.7,-6.534478187561035
9.52,-6.515181064605713
6.24,-5.788108825683594
6.06,-5.787897109985352
-6.43,-5.797204494476318
0.17,-3.828810214996338
-5.47,-9.579156875610352
-26.235,-16.46580696105957
3.27,-5.788182258605957
6.07,-4.252323627471924
-0.52,-5.664248466491699
-3.89,-5.786696910858154
-4.86,-5.2425947189331055
0.29,-5.787824630737305
-4.57,-6.403070449829102
-67.77,-18.21943473815918
1.1716666666666669,-5.802895545959473
-18.372,-5.595602512359619
-13.09,-3.7670860290527344
-12.53,-21.55139923095703
-35.42,-4.751891136169434
-2.09,-6.182535648345947
-51.42,-6.474786758422852
-26.11,-4.507300853729248
8.81,-5.018950462341309
-18.99,-6.503547191619873
6.87,-4.974776744842529
-35.13,-5.769776344299316
3.5,-3.4597532749176025
-26.79,-5.787174224853516
-69.43,-26.452117919921875
-10.85,-6.147040843963623
-28.24,-11.427803039550781
8.59,-6.409506797790527
24.097,-6.645839691162109
-3.32,-4.389623641967773
-4.1475,-5.808206081390381
-6.13,-5.78222131729126
-6.98,-7.4047346115112305
1.67,-5.788168430328369
1.11,-5.772127151489258
1.91,-6.449687480926514
-2.36,-6.341681480407715
-6.29,-5.859215259552002
-1.82,-5.805591583251953
-31.23,-4.964391231536865
-55.3475,-10.594837188720703
-3.73,-5.857919216156006
-4.39,-5.8573079109191895
-9.8,-6.053662300109863
-2.56,-7.239592552185059
-7.79,-18.521047592163086
3.12,-5.858473777770996
-35.65,-30.182575225830078
6.44,-6.238753795623779
-10.88,-18.01004409790039
2.34,-5.859205722808838
-1.66,-5.856873512268066
5.34,-16.126861572265625
2.12,-5.854736328125
-41.42,-25.021987915039062
-45.26,-6.499697208404541
-5.05,-6.2075700759887695
-30.8075,-4.48710823059082
-31.816,-20.201702117919922
16.37,-6.118653774261475
-10.72,-15.860382080078125
-0.17,-5.862572193145752
-2.05,-4.789838790893555
-8.55,-15.88786792755127
-4.74,-5.86016845703125
-2.78,-6.197901725769043
-51.42,-6.450743675231934
-6.82,-7.8777313232421875
-2.97,-5.865654945373535
-5.61,-5.059634208679199
-0.3,-6.36774206161499
-1.41,-4.74061393737793
1.38,-5.854588031768799
2.71,-5.931138515472412
1.07,-7.540372371673584
-3.11,-5.092781066894531
11.76,-4.679929733276367
-0.03,-5.87530517578125
6.78,-5.853696823120117
-15.81,-6.265381336212158
0.12,-4.859257221221924
-39.27,-18.84799575805664
0.81,-6.134716510772705
-30.45,-4.361676216125488
0.62,-5.866114139556885
-2.23,-6.007035732269287
-18.13,-5.93703031539917
-25.95,-4.575389862060547
-7.765000000000001,-4.303859233856201
-26.61,-9.36913776397705
0.56,-3.2388970851898193
2.87,-5.867337703704834
-7.63,-5.080667495727539
-28.83,-4.590301036834717
-7.83,-6.043569564819336
-7.22,-6.764441013336182
1.75,-6.400150299072266
-6.41,-27.87271499633789
4.07,-5.818397045135498
2.49,-5.859226226806641
4.02,-6.002087593078613
-8.99,-6.041749954223633
-0.68,-6.327890872955322
-4.07,-9.373743057250977
-2.0,-6.032535552978516
-2.34,-17.628435134887695
-0.97,-5.636037826538086
-12.259,-6.129690170288086
-0.95,-6.63841438293457
-4.32,-6.010280609130859
1.5,-6.05302095413208
-1.11,-6.035776138305664
-116.62,-18.888614654541016
2.86,-15.23607349395752
-5.37,-6.152156829833984
-2.05,-6.0346360206604
-36.99,-6.017703056335449
-3.57,-6.067007064819336
4.85,-7.69301700592041
-10.13,-5.603846073150635
1.45,-6.0300421714782715
