Score,Pred Score
-20.23,-12.262038230895996
-14.31,-2.951099157333374
6.23,-10.110639572143555
-4.65,-8.677989959716797
0.55,-4.934800148010254
0.37,-5.657235622406006
26.61,-7.82520866394043
-65.94,-11.597290992736816
-25.43,-13.209818840026855
4.75,-4.519004821777344
-27.52,-10.879870414733887
-2.69,-3.0575623512268066
-6.27,-2.96635103225708
7.65,-5.595503330230713
-0.72,-5.117856502532959
-4.04,-2.2934436798095703
4.26,-0.5957061052322388
-1.03,-4.404731273651123
-6.33,-9.182287216186523
-78.37,-12.262042045593262
-25.822,-12.295047760009766
2.56,-3.99304461479187
-2.03,-4.234007835388184
2.11,-4.31097412109375
-5.19,-13.165518760681152
-51.926,-7.520342826843262
-12.05,-3.700584888458252
-0.73,-6.285732269287109
0.9159999999999998,-4.719803333282471
0.23,-8.977482795715332
-0.36,-3.494257926940918
-7.27,-4.309679985046387
-0.745,-7.964902400970459
-69.07,-24.329320907592773
-1.17,-2.9245522022247314
-25.94,-2.578751564025879
0.84,-4.992909908294678
0.97,-10.894837379455566
0.77,-0.9870930314064026
-4.68,-4.093203067779541
-7.7,-3.6523399353027344
-9.15,-2.1763691902160645
6.17,-7.928389549255371
0.11,-4.070466995239258
-3.0,-4.334097862243652
-0.94,-5.640567302703857
-5.07,-5.961102485656738
-6.5,-8.346142768859863
-4.75,-8.675751686096191
3.25,-8.617822647094727
-5.53,-4.328937530517578
13.77,-5.2450456619262695
-59.79,-8.46369457244873
-5.91,-3.795215368270874
1.08,-6.668463706970215
-67.5,-3.109971046447754
8.1,-4.693053722381592
-2.97,-3.643772602081299
-21.57,-32.80454635620117
-10.61,-3.1159534454345703
3.71,-10.669200897216797
-9.17,-5.9951171875
-2.35,-4.675207138061523
-0.59,-7.552328586578369
-4.1,-0.516425371170044
-30.21,-2.950620651245117
-9.75,-25.422330856323242
-4.52,-11.517053604125977
-9.65,-9.050569534301758
-17.93,-11.005440711975098
-41.64,-9.25313663482666
-33.59,-5.5408854484558105
-16.61,-10.596639633178711
-44.75,-6.064851760864258
-39.94,-4.6990485191345215
1.57,-4.995514869689941
-16.84,-6.711376667022705
-0.6,-4.585818767547607
-2.93,-6.811612129211426
-50.04,-10.44975471496582
-38.37,-4.406249523162842
-15.88,-5.668051242828369
-18.99,-11.39979076385498
0.94,-5.205933570861816
-20.76,-28.81954002380371
-2.95,-4.485163688659668
4.43,-7.5840959548950195
-0.95,-3.497122049331665
1.1025,-1.0201773643493652
8.29,-11.363824844360352
-16.79,-3.1136770248413086
-0.17,-5.306836128234863
-30.15,-25.84396743774414
-41.99,-12.119466781616211
-47.22,-13.309998512268066
-0.54,-24.784194946289062
-60.26,-5.0717573165893555
-25.67,-10.338007926940918
-3.57,-4.100742340087891
1.65,-1.7344443798065186
-1.02,-4.239372730255127
-39.82,-10.084657669067383
-3.38,-2.642404556274414
-2.24,-2.9802496433258057
-16.19,-4.884993553161621
-15.23,-4.243337631225586
-1.69,-3.4418530464172363
-18.56,-4.493521690368652
2.24,-4.715780258178711
-71.78,-4.1949076652526855
-29.37,-36.516334533691406
0.47,-4.777529716491699
-2.91,-5.740053176879883
2.1,-5.20500373840332
-68.38,-9.274407386779785
-20.9,-13.753580093383789
-11.4625,-0.5160471200942993
-4.66,-12.795796394348145
2.32,-4.487176418304443
-15.33,-10.661972045898438
-10.5,-4.246801376342773
3.26,-0.616751492023468
-1.48,-4.844132900238037
0.0224999999999999,-7.313643455505371
-3.77,-4.4930267333984375
-3.7,-4.8435211181640625
-24.27,-3.4681267738342285
-6.74,-2.5539040565490723
-20.431,-17.698274612426758
0.16,-6.876909255981445
0.7,-7.287786483764648
-52.13,-24.58333969116211
-2.67,-7.211134433746338
-2.2,-4.3643879890441895
0.46,-3.8204751014709473
-0.87,-6.321298599243164
-4.04,-4.813712120056152
1.59,-2.795290231704712
-3.41,-3.9858005046844482
1.65,-5.279884338378906
-92.9,-2.7873501777648926
-11.51,-4.115658760070801
1.64,-7.920797348022461
-4.77,-8.506439208984375
2.8175,-0.8723994493484497
1.23,-5.457611083984375
2.61,-8.980036735534668
-0.27,-3.866474151611328
-7.24,-4.3194355964660645
11.44,-5.337821006774902
-3.87,-2.652223587036133
-6.53,-23.45151710510254
-2.94,-2.7567813396453857
-12.06,-5.3357062339782715
-4.37,-2.9598264694213867
20.12,-0.9489719271659851
-0.84,-3.751415729522705
-2.5,-9.025269508361816
-13.56,-2.7172603607177734
-78.8,-12.845556259155273
