Score,Pred Score
-6.27,-4.637528419494629
0.82,-6.308507919311523
-57.05,-42.77989196777344
-11.7,-9.76771068572998
-1.21,-4.58075475692749
-47.93,-13.944013595581055
-3.21,-7.940372467041016
-2.84,-6.448906898498535
7.02,0.5790600776672363
10.1,-6.319656848907471
-6.79,-14.550559043884277
-1.82,-7.038949489593506
-9.92,-7.51448917388916
-2.22,-5.929136276245117
-7.19,-4.259391784667969
-29.44,-6.1539106369018555
-0.66,-6.936800003051758
-9.62,-6.32880163192749
0.82,-4.309442520141602
4.92,-5.160622596740723
-33.024,-20.047903060913086
3.605,-3.9596071243286133
-1.35,-6.056783676147461
5.5325,-8.146618843078613
5.08,-7.468193531036377
-46.51,-8.642640113830566
0.25,-13.105338096618652
-10.51,-6.906223297119141
10.03,-7.9294610023498535
-10.24,-9.442113876342773
0.13,-3.7429733276367188
-7.48,-6.496844291687012
-12.14,-5.401233196258545
3.97,-4.621701240539551
-5.22,-5.6919264793396
5.18,-2.431527614593506
17.47,-9.778369903564453
4.22,-7.68797492980957
-13.59,-6.273819923400879
-1.54,-8.108033180236816
-13.03,-4.524554252624512
2.04,-6.361675262451172
-4.94,-20.0727596282959
-6.16,-1.9253664016723633
-3.29,-5.062809944152832
-9.68,-24.162445068359375
-5.05,-10.647911071777344
-3.42,-17.122459411621094
1.42,-7.334864616394043
3.53,-7.252241134643555
-5.82,-8.517036437988281
-3.24,-7.521212100982666
-32.79,-14.835644721984863
-6.0,-7.925900459289551
-3.9,-6.471755027770996
2.09,-13.638372421264648
7.79,-6.2140655517578125
-0.12,-6.064679145812988
-7.85,-9.931180953979492
-10.25,-7.006686210632324
-21.54,-24.241905212402344
9.17,-4.100862979888916
-0.36,-7.575052738189697
6.4025,-1.869490623474121
-8.65,-3.1857333183288574
-7.42,-7.015735626220703
-1.08,-1.8126617670059204
-2.55,-6.192276477813721
-4.59,-5.214488983154297
11.27,-10.092618942260742
-6.42,-4.2834906578063965
-8.67,-1.1753425598144531
-13.75,-9.213818550109863
11.71,-8.87339973449707
2.95,-7.72254753112793
4.39,-3.4791603088378906
0.83,-5.517936706542969
-45.58,-7.171939849853516
1.17,-4.38413667678833
0.62,-4.487432479858398
-2.39,-7.752634048461914
6.48,-3.316770553588867
0.14,-1.900456428527832
-9.37,-6.088340759277344
-9.59,-5.84497594833374
-7.05,-6.300344944000244
-0.89,-23.36496353149414
-8.1975,-6.436783790588379
-3.09,-8.706365585327148
-5.66,-2.321798324584961
-12.65,-38.612449645996094
0.54,-15.682373046875
-11.88,-28.248048782348633
-73.53,-8.622758865356445
-16.06,-5.024369239807129
-12.07,-12.51496696472168
-0.12,-6.124289512634277
-14.68,-5.187755584716797
14.03,-7.480207443237305
-30.92,-4.730764865875244
-5.41,-2.4637365341186523
4.5225,-2.5496768951416016
-10.25,-6.451456069946289
-3.09,-5.508938789367676
-6.2,-3.4842183589935303
-5.5,-12.97256851196289
-45.68,-7.081531524658203
-1.47,-4.0744476318359375
-8.56,-2.4552338123321533
-5.0,-13.658663749694824
5.15,-11.335142135620117
-3.7,-7.286357879638672
-1.06,-8.016897201538086
-3.59,-7.988999366760254
5.13,-24.48059844970703
-3.2,-7.801623821258545
-2.09,-5.704672336578369
-24.72,-6.610749244689941
-32.123,-9.392696380615234
6.49,-4.372898578643799
-2.34,-2.5035457611083984
-37.47,-18.821195602416992
-8.12,-2.0434911251068115
-6.57,-21.477895736694336
-11.9,-5.907018184661865
-0.85,-6.381767749786377
-4.34,-7.746400833129883
7.54,-4.021439075469971
-2.34,-5.4506659507751465
-0.66,-3.379638910293579
-1.91,-3.8315768241882324
-36.38,-3.253751277923584
-2.52,-7.9679789543151855
-3.12,-4.360139846801758
-3.18,-8.349964141845703
-1.13,-4.929246425628662
-4.61,-6.63358736038208
-1.32,-22.876789093017578
3.5,-5.2105793952941895
8.41,-5.240896224975586
-22.798,-6.629434585571289
-31.28,-5.290932655334473
-1.43,-2.906252861022949
-13.38,-6.005932807922363
-11.28,-0.8798398971557617
2.04,-4.739145278930664
-39.875,-4.561914443969727
4.26,-5.769052505493164
1.13,-5.338323593139648
-29.32,-12.502601623535156
8.7,-5.956930160522461
9.52,-5.02101993560791
6.24,-2.801905870437622
6.06,-5.077383995056152
-6.43,-3.97468900680542
0.17,-2.783031702041626
-5.47,-5.6647844314575195
-26.235,-6.115999221801758
3.27,-4.8351640701293945
6.07,-2.100484848022461
-0.52,-4.522853851318359
-3.89,-3.6457276344299316
-4.86,-4.53397274017334
0.29,-4.533814907073975
-4.57,-8.222906112670898
-67.77,-20.127887725830078
1.1716666666666669,-15.851229667663574
-18.372,-2.3531880378723145
-13.09,-4.062351703643799
-12.53,-26.01548194885254
-35.42,-5.545788288116455
-2.09,-6.474857330322266
-51.42,-5.365962982177734
-26.11,-5.8714823722839355
8.81,-4.468700408935547
-18.99,-4.916048526763916
6.87,-4.671415328979492
-35.13,-4.385562896728516
3.5,-4.322010517120361
-26.79,-4.434258460998535
-69.43,-37.55967712402344
-10.85,-5.888467788696289
-28.24,-5.348896026611328
8.59,-4.950933456420898
24.097,-7.77544641494751
-3.32,-4.194013595581055
-4.1475,-3.8445563316345215
-6.13,-3.5554847717285156
-6.98,-4.362496376037598
1.67,-3.747215747833252
1.11,-5.538752555847168
1.91,-5.167549133300781
-2.36,-23.98052978515625
-6.29,-4.831271171569824
-1.82,-11.126362800598145
-31.23,-4.912188529968262
-55.3475,-6.466645240783691
-3.73,-6.808413505554199
-4.39,-4.088883876800537
-9.8,-7.669308185577393
-2.56,-9.49298095703125
-7.79,-4.711043834686279
3.12,-8.195542335510254
-35.65,-24.94133186340332
6.44,-7.235040664672852
-10.88,-13.354616165161133
2.34,-3.641205310821533
-1.66,-6.127123832702637
5.34,-9.803483963012695
2.12,-5.683403015136719
-41.42,-34.84663391113281
-45.26,-6.706915855407715
-5.05,-6.018070697784424
-30.8075,-7.006490707397461
-31.816,-8.851505279541016
16.37,-15.307648658752441
-10.72,-5.043337345123291
-0.17,-5.2822418212890625
-2.05,-4.948220252990723
-8.55,-14.053030014038086
-4.74,-3.066206932067871
-2.78,-4.557992935180664
-51.42,-8.522266387939453
-6.82,-9.098447799682617
-2.97,-5.531116962432861
-5.61,-2.1165409088134766
-0.3,-6.369823932647705
-1.41,-7.696878433227539
1.38,-3.9557337760925293
2.71,-4.814685821533203
1.07,-7.141966342926025
-3.11,-4.205237865447998
