Score,Pred Score
-17.9,-8.219018936157227
-2.55,-7.661681175231934
5.08,-7.701147079467773
-28.831,-20.35617446899414
-8.91,-4.695930480957031
5.265000000000001,-10.695659637451172
-4.16,-11.226506233215332
7.09,-3.998239040374756
0.23,-1.542424201965332
-38.75,-5.7186689376831055
-11.07,-5.070786476135254
1.5,-12.188491821289062
-0.52,-0.9957904815673828
-4.68,-4.820548057556152
-8.22,-9.37236213684082
2.5925,-12.270319938659668
-2.96,-5.146463871002197
-80.0,-35.89558029174805
-75.32,-53.123077392578125
-68.78,-12.21969223022461
-4.41,-10.689794540405273
1.12,-5.90346622467041
-2.14,-6.600066184997559
-0.87,-1.9090180397033691
-0.66,0.07923126220703125
-15.01,-6.843165397644043
-12.23,-16.652362823486328
-11.38,-7.238006591796875
17.43,-15.579948425292969
5.28,-5.716333389282227
-0.44,-5.235662460327148
-12.0,-11.739583969116211
-1.45,-7.829275131225586
-1.36,-3.965582847595215
1.5,-4.991206169128418
14.15,-9.485682487487793
2.07,-10.067479133605957
-1.56,-3.141645908355713
4.23,-7.353597640991211
-30.18,-2.5841407775878906
-11.16,-18.432884216308594
-17.64,-3.4252281188964844
-49.14,-6.2394022941589355
0.68,-2.616544723510742
-1.42,-4.38783073425293
-9.74,-4.2556843757629395
-6.13,-6.257699012756348
-0.71,-7.667863845825195
-22.22,-6.263872146606445
-3.86,-7.258975028991699
-9.15,-8.35672664642334
-2.08,-11.305110931396484
-3.89,-3.1165947914123535
-13.09,-10.896659851074219
-6.415,-10.685342788696289
-0.72,-7.900649547576904
6.02,-4.448491096496582
-40.89,-6.471454620361328
4.4,-3.7054388523101807
-6.57,-5.892374038696289
5.02,-7.573254585266113
-2.75,-6.899448871612549
-12.23,-13.167093276977539
-28.07,-7.495930194854736
-17.98,-6.529252052307129
-2.85,-6.09902286529541
-10.24,-5.290304183959961
-4.1,-14.583806037902832
-2.89,-7.793994426727295
-2.4,-6.678942680358887
-0.22,-5.457009315490723
-15.04,-12.5281343460083
-9.84,-6.734212875366211
-1.33,-6.42704439163208
-22.79,-24.822519302368164
4.61,-5.118586540222168
-17.51,-4.874850749969482
4.87,-6.297017574310303
-21.94,-19.400819778442383
-3.25,-3.582275390625
-33.48,-15.483480453491211
-3.3,-4.861448764801025
7.74,-5.364887237548828
3.41,-10.128381729125977
2.67,-13.168770790100098
7.22,-12.894853591918945
-12.15,-4.65979528427124
-2.07,-6.6961989402771
3.96,-2.641230821609497
-52.23,-47.40080261230469
-2.86,-5.46345329284668
-5.23,-6.253249168395996
-12.18,-1.7952356338500977
1.93,-8.259505271911621
0.89,-7.297848701477051
-20.56,-24.001554489135742
-1.62,-5.498793125152588
-0.5,-1.975738525390625
-8.48,-8.019082069396973
2.71,-3.6120707988739014
-8.64,-4.840973854064941
-0.45,-4.147561073303223
-5.57,-7.946418762207031
5.3175,11.954376220703125
-0.69,-9.507104873657227
-10.1525,-16.575679779052734
-1.23,-2.3517894744873047
0.33,-0.7719783782958984
8.86,-0.4265197515487671
-3.94,-2.186282157897949
-39.28,-13.703771591186523
-1.31,-6.335347652435303
-26.687,-20.2446346282959
-0.85,-2.6452388763427734
-34.47,-4.226079940795898
3.02,-3.6547651290893555
2.31,-9.190542221069336
-69.8,-39.03187561035156
-23.8,-5.853057384490967
-9.0,-8.937199592590332
-59.28,-24.16204833984375
-28.42,-9.425355911254883
1.46,-4.839154243469238
5.34,-6.028382778167725
-7.86,-4.577686309814453
-5.27,-4.511475563049316
-8.07,-24.13896942138672
-2.84,-3.1127891540527344
-5.62,-3.710261344909668
-3.22,-2.6432666778564453
-3.21,-6.375021934509277
-9.78,-8.189923286437988
-3.65,-8.658329963684082
-4.96,-5.679473876953125
-3.56,-6.856978416442871
5.8525,-10.775239944458008
-5.68,-2.234882354736328
-2.28,-2.100696563720703
11.24,-5.558576583862305
-21.4,-30.305055618286133
-2.49,-11.679105758666992
-1.62,-4.693273544311523
6.78,-2.9361863136291504
8.68,-11.545230865478516
-30.96,-22.595672607421875
-1.34,-7.956195831298828
-8.28,-1.7480792999267578
-4.08,-10.50353717803955
-5.46,-16.22054100036621
2.58,-6.225553512573242
6.64,-4.428682327270508
3.48,-7.784771919250488
-2.96,-5.426318168640137
-8.75,-7.992227554321289
-5.39,-5.954618453979492
-1.52,-7.212233543395996
-0.12,-10.561739921569824
3.65,-4.120876312255859
-0.0375,-8.8003511428833
2.96,-10.940423965454102
-20.12,-6.394948959350586
-23.7,-9.960042953491211
1.18,-7.574398040771484
-24.14,-13.334203720092773
-34.15,-2.7660531997680664
-13.7,-28.798934936523438
-11.77,-8.095365524291992
-8.82,-5.0034942626953125
1.89,1.4028606414794922
-19.94,-12.070159912109375
