Drug A,Drug B,Cell Line Name,Score,Pred Score
CRIZOTINIB,MITOTANE,NCI-H226,-47.36,-8.478384971618652
VANDETANIB,NILOTINIB,OVCAR-3,-13.44,-8.823649406433105
AXITINIB,MEGESTROL ACETATE,K-562,-53.37,-10.133365631103516
RUXOLITINIB,THALIDOMIDE,MCF-7,3.07,-12.832000732421877
LENALIDOMIDE,VEMURAFENIB,Caki-1,-1.84,-10.427711486816406
LENALIDOMIDE,CELECOXIB,CCRF-CEM,-4.72,-8.933298110961914
VISMODEGIB,TRETINOIN,UACC-62,0.1,-8.720863342285156
VEMURAFENIB,MITOTANE,SN12C,5.54,-9.21870231628418
VISMODEGIB,IMATINIB,SF295,-2.14,-8.745132446289062
VANDETANIB,VEMURAFENIB,SF268,-0.25,-10.798748970031738
DASATINIB,MITOTANE,RPMI-8226,-11.24,-7.31867790222168
LENALIDOMIDE,CRIZOTINIB,SR,-20.43,-11.320878028869627
VEMURAFENIB,VISMODEGIB,T-47D,-4.64,-5.722856998443604
ROMIDEPSIN,ARSENIC TRIOXIDE,HOP-92,-4.96,-20.29898452758789
PACLITAXEL,ARSENIC TRIOXIDE,SF539,-3.99,-13.219308853149414
CRIZOTINIB,DOCETAXEL,HCT 116,1.98,-11.54848289489746
DASATINIB,LAPATINIB,K-562,-0.16,-7.544180870056152
MEGESTROL ACETATE,NILOTINIB,TK-10,-11.47,-13.040756225585938
TRETINOIN,DOCETAXEL,UACC-62,10.92,-12.907209396362305
VEMURAFENIB,RUXOLITINIB,IGROV-1,-9.76,-8.977899551391602
DASATINIB,SORAFENIB,A-498,-27.04,-7.968569755554199
CELECOXIB,PACLITAXEL,MDA-MB-468,8.81,-8.895936012268066
TRETINOIN,MITOTANE,EKVX,-0.97,-13.098515510559082
VISMODEGIB,VEMURAFENIB,ACHN,-36.5,-9.361044883728027
NILOTINIB,ROMIDEPSIN,DU145,-63.14,-17.371992111206055
CRIZOTINIB,SORAFENIB,SK-OV-3,-9.93,-4.580367088317871
LAPATINIB,ARSENIC TRIOXIDE,CCRF-CEM,-11.85,-17.904109954833984
VEMURAFENIB,MEGESTROL ACETATE,Caki-1,-12.97,-8.257359504699707
GEFITINIB,RUXOLITINIB,L-1236,-8.32,-8.431584358215332
CELECOXIB,DOCETAXEL,SF295,3.56,-11.54647445678711
CRIZOTINIB,AXITINIB,T-47D,1.68,-5.084465026855469
DOCETAXEL,SUNITINIB,T-47D,4.9,-12.210969924926758
RUXOLITINIB,MITOTANE,UO-31,-3.54,-9.86191749572754
VEMURAFENIB,LAPATINIB,M14,-7.2,-7.130578517913818
CRIZOTINIB,GEFITINIB,NCI-H226,7.89,-5.639488697052002
CELECOXIB,THALIDOMIDE,SF295,-1.4,-11.533767700195312
PACLITAXEL,THALIDOMIDE,NCI-H460,-53.21,-11.800142288208008
LAPATINIB,SUNITINIB,SK-MEL-28,-25.57,-11.900785446166992
GEFITINIB,TRETINOIN,NCI-H23,1.52,-8.046074867248535
PACLITAXEL,ARSENIC TRIOXIDE,SK-OV-3,-1.47,-16.837303161621094
VISMODEGIB,ARSENIC TRIOXIDE,NCI-H460,10.26,-11.852825164794922
RALOXIFENE,THALIDOMIDE,MCF-7,-0.54,-0.0306863784790039
