Score,Pred Score
-20.23,-19.6895809173584
-14.31,-11.253402709960938
6.23,-11.502571105957031
-4.65,-7.621509075164795
0.55,-6.451051712036133
0.37,-6.362881660461426
26.61,-5.87105655670166
-65.94,-14.012771606445312
-25.43,-11.894283294677734
4.75,-2.5074925422668457
-27.52,-10.311275482177734
-2.69,-4.9842529296875
-6.27,-4.510173797607422
7.65,-3.5975794792175293
-0.72,-5.553295135498047
-4.04,-3.409278392791748
4.26,-0.29039478302001953
-1.03,-5.161445140838623
-6.33,-10.77859878540039
-78.37,-19.689586639404297
-25.822,-7.081989288330078
2.56,-4.243288993835449
-2.03,-1.2607595920562744
2.11,-13.783599853515625
-5.19,-22.01311683654785
-51.926,-13.881921768188477
-12.05,-2.1355695724487305
-0.73,-4.19943904876709
0.9159999999999998,-7.493556022644043
0.23,-6.507157325744629
-0.36,-4.085513114929199
-7.27,-1.2954410314559937
-0.745,-5.059447765350342
-69.07,-39.54128646850586
-1.17,-3.926872491836548
-25.94,-1.9687108993530273
0.84,-3.4222588539123535
0.97,-5.0408935546875
0.77,-0.9730021953582764
-4.68,-5.167751312255859
-7.7,-2.061007499694824
-9.15,-4.636022090911865
6.17,-5.034754276275635
0.11,-12.330954551696777
-3.0,-1.7921600341796875
-0.94,-3.741865396499634
-5.07,-4.797214984893799
-6.5,-8.381985664367676
-4.75,-12.21152114868164
3.25,-4.205833911895752
-5.53,-4.4854631423950195
13.77,-3.8725523948669434
-59.79,-8.444193840026855
-5.91,-4.915474891662598
1.08,-5.3841753005981445
-67.5,-3.925713539123535
8.1,-6.6864399909973145
-2.97,-4.433261871337891
-21.57,-46.37433624267578
-10.61,-8.723071098327637
3.71,-9.607866287231445
-9.17,-4.689095497131348
-2.35,-3.816518783569336
-0.59,-7.793316841125488
-4.1,-1.408776044845581
-30.21,-2.9149622917175293
-9.75,-13.21739387512207
-4.52,-12.49687671661377
-9.65,-9.082273483276367
-17.93,-10.130584716796875
-41.64,-6.946840763092041
-33.59,-4.990357875823975
-16.61,-10.67628288269043
-44.75,-12.747448921203613
-39.94,-5.854233264923096
1.57,-2.580841541290283
-16.84,-5.628258228302002
-0.6,-6.345388889312744
-2.93,-5.326050758361816
-50.04,-13.600336074829102
-38.37,-6.1024580001831055
-15.88,-3.1281232833862305
