Score,Pred Score
-17.9,-6.108366012573242
-2.55,-8.180474281311035
5.08,-4.664830684661865
-28.831,-13.03227710723877
-8.91,-4.970364570617676
5.265000000000001,-8.967344284057617
-4.16,-2.358090877532959
7.09,-4.06024169921875
0.23,-2.634153366088867
-38.75,-12.734331130981445
-11.07,-7.363948345184326
1.5,-8.9609956741333
-0.52,-9.477150917053223
-4.68,-5.112102508544922
-8.22,-13.246358871459961
2.5925,-8.019463539123535
-2.96,-8.865549087524414
-80.0,-32.28412628173828
-75.32,-41.473114013671875
-68.78,-8.789155006408691
-4.41,-7.253345012664795
1.12,-4.817904949188232
-2.14,-5.172232627868652
-0.87,-1.6058671474456787
-0.66,-5.064899444580078
-15.01,-5.321222305297852
-12.23,-15.669265747070312
-11.38,-5.263199806213379
17.43,-10.504754066467285
5.28,-7.172401428222656
-0.44,-4.259984493255615
-12.0,-7.4615607261657715
-1.45,-7.691102027893066
-1.36,-7.131431579589844
1.5,-8.57703685760498
14.15,-7.717279434204102
2.07,-8.397541046142578
-1.56,-8.489645957946777
4.23,-8.245038986206055
-30.18,-8.700453758239746
-11.16,-18.669687271118164
-17.64,-2.9746408462524414
-49.14,-12.138994216918945
0.68,-4.121300220489502
-1.42,-13.408656120300293
-9.74,-4.537376403808594
-6.13,-4.0294108390808105
-0.71,-6.7660231590271
-22.22,-6.10554838180542
-3.86,-7.721613883972168
-9.15,-7.207496166229248
-2.08,-6.224713325500488
-3.89,-2.5441746711730957
-13.09,-20.38823890686035
-6.415,59.722900390625
-0.72,-6.352690696716309
6.02,-7.58411169052124
-40.89,-3.681215763092041
4.4,-16.853342056274414
-6.57,-5.816923141479492
5.02,-5.843804359436035
-2.75,-8.79889965057373
-12.23,-4.653144359588623
-28.07,-16.126554489135742
-17.98,-1.2141642570495605
-2.85,-6.059131622314453
-10.24,-3.9269351959228516
-4.1,-12.591737747192383
-2.89,-5.5931010246276855
-2.4,-3.058051347732544
-0.22,-7.480437278747559
-15.04,-8.074670791625977
-9.84,-11.787528991699219
-1.33,-10.228379249572754
-22.79,-17.83559799194336
4.61,-7.432939529418945
-17.51,-8.979644775390625
4.87,-6.3244853019714355
-21.94,-20.775238037109375
-3.25,-3.3695430755615234
-33.48,-8.568522453308105
-3.3,-10.674160957336426
7.74,-8.961431503295898
3.41,-10.24520492553711
2.67,-10.41361141204834
7.22,-7.645931243896484
-12.15,-5.435260772705078
-2.07,-14.02890682220459
3.96,-4.651498317718506
-52.23,-29.305315017700195
-2.86,-4.250909805297852
-5.23,-4.221104621887207
-12.18,-1.4823760986328125
1.93,-7.267876625061035
0.89,-6.540981292724609
-20.56,-17.36048698425293
-1.62,-6.967972755432129
-0.5,-8.735713958740234
-8.48,-7.6520586013793945
2.71,-17.56102752685547
-8.64,-8.586812973022461
-0.45,-12.601029396057129
-5.57,-3.7331836223602295
5.3175,-8.226482391357422
-0.69,-4.435365676879883
-10.1525,-17.691120147705078
-1.23,-3.6330528259277344
0.33,-8.090660095214844
8.86,-16.492942810058594
-3.94,-5.520596504211426
-39.28,-6.406381130218506
-1.31,-5.841048717498779
-26.687,-17.453453063964844
-0.85,-3.2695765495300293
-34.47,-6.749912738800049
3.02,-3.700073719024658
2.31,-11.998689651489258
-69.8,-39.38640213012695
-23.8,-27.572547912597656
-9.0,-8.881143569946289
-59.28,-22.4173583984375
-28.42,-10.146100044250488
1.46,-5.479494094848633
5.34,-8.947575569152832
-7.86,-6.636532783508301
-5.27,-7.562291145324707
-8.07,-34.26038360595703
-2.84,-3.5329809188842773
-5.62,-2.849440097808838
-3.22,-7.69276762008667
-3.21,-9.412158966064453
-9.78,-6.731767654418945
-3.65,-7.512925148010254
-4.96,-9.667350769042969
-3.56,-7.143619537353516
5.8525,-10.212644577026367
-5.68,-4.411717414855957
-2.28,-7.548611640930176
11.24,-6.182885646820068
-21.4,-16.46756935119629
-2.49,-6.885404586791992
-1.62,-8.988626480102539
6.78,-8.130642890930176
8.68,-10.651568412780762
-30.96,-10.361233711242676
-1.34,-3.1419458389282227
-8.28,-5.298592567443848
-4.08,-9.016881942749023
-5.46,-5.2966485023498535
2.58,-7.201010704040527
6.64,-6.749703884124756
3.48,-8.849007606506348
-2.96,-6.537904739379883
-8.75,-10.806093215942383
-5.39,-3.981985569000244
-1.52,-9.090479850769043
-0.12,-9.625801086425781
3.65,-4.776276588439941
-0.0375,-6.960072040557861
2.96,-13.583673477172852
-20.12,-2.1501851081848145
-23.7,-5.300172805786133
1.18,-9.168928146362305
-24.14,-5.0159430503845215
-34.15,-6.799942970275879
-13.7,-18.028871536254883
-11.77,-8.73732852935791
-8.82,-5.923558235168457
1.89,-9.506648063659668
-19.94,-7.166582107543945
-5.71,-4.545901298522949
-77.95,-11.904473304748535
-1.06,-4.955755710601807
15.42,-4.2489776611328125
1.83,-9.2979097366333
-40.69,-32.667091369628906
1.12,-8.643269538879395
-52.72,-31.65306854248047
-9.74,-9.440561294555664
4.62,-14.165680885314941
4.75,-4.498933792114258
0.65,-3.8367505073547363
-1.31,-4.909365653991699
12.36,-14.569192886352539
-34.78,-7.846504211425781
-12.59,-6.810901641845703
-0.41,-7.2680864334106445
1.45,-10.666034698486328
-4.98,-5.490889072418213
-24.35,-15.725202560424805
-41.38,-13.577421188354492
10.04,-5.423427581787109
-0.2525000000000001,-12.030975341796875
1.58,-7.997745513916016
14.47,-7.43576192855835
-31.08,-11.27070426940918
-12.83,-9.023131370544434
-10.7625,-3.720716953277588
-2.63,-6.884767055511475
-72.75,-32.74388885498047
2.77,-8.919915199279785
-10.26,-4.261237144470215
-60.18,-33.8204345703125
3.66,-9.782600402832031
-18.54,-7.326157569885254
-4.47,-6.529144763946533
-5.4,-9.758756637573242
-5.73,-7.326676368713379
-9.27,-12.295767784118652
-0.29,-7.13270378112793
0.64,-5.350889682769775
2.21,-11.40134334564209
10.81,13.203582763671875
-3.83,-5.465734481811523
-3.05,-4.5595197677612305
-12.39,-7.714614391326904
-0.74,-6.625430583953857
-0.68,-3.9520821571350098
-1.31,-0.7902824878692627
3.04,-10.503793716430664
2.39,-5.221224784851074
-2.84,-5.210256576538086
4.13,-8.061396598815918
-4.2,-6.350235939025879
-6.76,-8.095848083496094
-5.85,-7.593663692474365
-4.55,-6.41990327835083
-3.53,-7.758095741271973
-0.93,-5.869516849517822
8.9,-9.024385452270508
5.79,-5.841300010681152
-4.67,-3.5609679222106934
11.04,-10.969894409179688
1.19,-7.132658004760742
1.98,-8.113762855529785
-16.42,-7.66940975189209
-0.08,-5.875682830810547
-6.68,-7.569857597351074
2.69,-8.595337867736816
-44.79,-13.381379127502441
-13.57,-7.241257667541504
-37.89,-22.51482391357422
2.34,-7.093130111694336
2.47,-11.31464958190918
-10.36,-11.67028522491455
4.44,-10.480846405029297
-0.16,-4.160092830657959
-0.788,-5.89743185043335
3.73,-4.555366039276123
-8.8,-7.389513969421387
3.34,-1.1561694145202637
-6.3,-7.150173187255859
-7.41,-6.0840349197387695
0.72,-6.607107162475586
-13.76,-10.383793830871582
-6.96,-5.745480537414551
-21.66,-31.450563430786133
6.725,7.314277648925781
2.54,-6.796907424926758
-34.6,-22.147872924804688
2.9,-9.049625396728516
-0.62,-3.80794095993042
-30.07,-9.267995834350586
-6.8,-6.557258605957031
2.27,-2.9525959491729736
8.51,-4.196100234985352
-24.67,-5.043570041656494
2.07,-6.983318328857422
-23.44,-2.0747756958007812
-58.83,-36.818241119384766
-46.06,-7.223322868347168
-1.98,-7.308910369873047
-19.52,-11.106403350830078
-2.98,-13.324265480041504
-18.93,-32.39988327026367
-9.89,-7.3420209884643555
-3.25,-6.782594680786133
-2.73,-3.8355231285095215
-0.26,-7.0568389892578125
6.795,-1.2856674194335938
21.09,-13.493144035339355
-26.633,-16.093704223632812
-3.46,-6.748476028442383
-1.58,-5.08786678314209
2.36,-9.249677658081055
-3.73,-4.51747989654541
-25.66,-5.498448848724365
-6.49,-7.382044792175293
-5.15,-5.789836406707764
-5.56,-15.681893348693848
-55.85,-15.669271469116211
-3.01,-12.822235107421875
-0.4,-5.591560363769531
-3.32,-6.635515213012695
1.12,-7.202236175537109
-44.44,-5.0313496589660645
-5.74,-2.238219738006592
-0.12,-6.733213424682617
0.14,-7.940636157989502
-0.86,-3.834569215774536
-2.57,-13.138517379760742
-17.02,-7.949497222900391
-7.05,-3.6379971504211426
3.77,-6.365504741668701
-4.28,-11.185188293457031
9.17,-6.558455467224121
-0.38,-5.155721664428711
-9.68,-6.237221717834473
-3.08,-6.615670204162598
-64.02,-37.19474411010742
-3.36,-3.543766975402832
-28.29,-6.046968460083008
-3.2,-4.980325222015381
3.36,-7.719119071960449
5.99,-9.205205917358398
9.35,-5.137244701385498
-1.57,-8.342458724975586
-17.85,-11.284399032592773
-3.05,-9.327855110168457
1.04,-5.667937755584717
1.2175,-7.4904351234436035
0.47,-4.769184112548828
-1.89,-9.152241706848145
-7.17,-6.942954063415527
-0.9,0.6446521282196045
-3.03,-3.2164971828460693
-5.75,-10.297567367553711
-1.77,-6.675147533416748
-0.72,-10.209195137023926
2.97,-7.475743293762207
-5.67,-6.821194648742676
-0.28,-7.373738765716553
-3.69,-3.237175941467285
0.27,-5.567295074462891
-31.11,-8.943248748779297
-38.56,-14.40602970123291
-0.89,-3.9318923950195312
2.45,-6.513145923614502
-11.24,-11.447175979614258
-0.12,-3.5110831260681152
4.48,-7.875563621520996
7.92,-7.261270523071289
6.43,-2.1077752113342285
1.9275,-6.024753570556641
-5.77,-3.571291446685791
-5.1,-8.023725509643555
-3.84,-6.201871871948242
-6.89,-12.960586547851562
-9.99,-14.288095474243164
-28.75,-6.010478496551514
-9.51,-2.7792820930480957
-58.6,-15.348782539367676
-2.73,-10.78531265258789
-8.57,-4.298557758331299
-0.5,-3.0252952575683594
3.4,-9.197845458984375
-12.01,-7.100193500518799
-1.25,-9.068427085876465
1.8,-3.182857036590576
-8.93,-6.0196027755737305
-17.2,-13.97115421295166
3.94,-7.679463863372803
-9.43,-8.658571243286133
3.24,-4.646631240844727
-8.87,-9.997269630432129
-6.12,-9.648797988891602
-11.41,-10.873188972473145
-26.5075,-10.326488494873047
1.9,-10.299090385437012
-6.19,-7.608531475067139
-8.05,-12.870111465454102
-72.07,-23.264427185058594
-15.73,-5.907467842102051
0.04,-6.824775695800781
-10.13,-7.972682476043701
-6.65,-6.744088649749756
-3.53,-18.940757751464844
2.77,-5.130905628204346
-12.71,-10.742338180541992
-11.54,-5.3558783531188965
-3.89,-6.202892303466797
-0.7,-3.0151445865631104
-23.17,-12.170193672180176
-11.78,-13.343362808227539
-2.5,-2.4114325046539307
-4.57,-5.372590065002441
3.57,-8.702461242675781
-30.29,-11.018279075622559
5.18,-6.324186325073242
-31.89,-14.51459789276123
10.51,-6.381114959716797
4.45,-8.371999740600586
-56.41,-12.82302188873291
-6.6,-11.493730545043945
-11.6025,-6.598776817321777
-7.44,-5.4637451171875
-55.58,-7.9719109535217285
-5.25,-3.070404052734375
-4.28,-6.164417743682861
-44.31,-6.91313362121582
-2.33,-8.315682411193848
-10.92,-5.259009838104248
-5.92,-6.735536098480225
-10.07,-7.620573997497559
-26.43,-10.337629318237305
-11.34,-9.725456237792969
-4.983,17.26522445678711
-0.71,-8.419546127319336
-77.96,-5.944942951202393
-13.77,-4.664743900299072
-44.62,-5.136221885681152
-9.18,-13.042078018188477
10.03,-8.192930221557617
-4.87,-5.9946370124816895
4.52,-6.493268966674805
-3.91,-8.50428581237793
3.19,-6.84548282623291
-54.63,-22.167377471923828
-14.57,-2.4204020500183105
-2.62,-4.963533401489258
-0.27,-8.267797470092773
-5.43,-15.688078880310059
0.56,-19.99119758605957
-3.81,-5.8202619552612305
1.92,-6.5228118896484375
-17.54,-41.878509521484375
-6.2675,-23.033180236816406
-71.18,-37.421756744384766
-6.44,-5.040717124938965
-41.97,-40.4403076171875
-0.23,-4.77880334854126
-3.63,-4.817144870758057
-0.85,-5.224236965179443
-3.74,-13.19291877746582
-8.95,-6.8360276222229
-11.335,-25.12268829345703
5.19,-7.222355842590332
-7.91,-8.314207077026367
1.97,-4.551206111907959
-22.23,-6.8027496337890625
1.99,-5.497014999389648
-2.06,-4.224527359008789
-7.65,-4.785029411315918
-45.29,-38.78205108642578
-3.35,-5.981800079345703
3.09,-6.5982818603515625
-38.47,-3.632493019104004
-12.28,-4.022084712982178
-0.77,-9.017183303833008
-1.88,-6.8517985343933105
-7.179,-5.3781561851501465
9.16,-5.574923515319824
5.86,-11.369422912597656
-6.88,-6.773688793182373
15.29,-2.9520583152770996
-1.36,-13.281661987304688
-2.66,-5.10905647277832
-0.06,-13.04720401763916
3.7275,-19.71306610107422
2.61,-34.52375411987305
9.96,-7.278181552886963
0.61,-11.611749649047852
-2.69,-4.668442726135254
-36.32,-15.59582805633545
1.64,-5.679956436157227
-47.43,-6.114992618560791
-77.11,-37.67573928833008
-15.78,-3.4394733905792236
3.43,-6.920719146728516
-1.68,-12.279958724975586
-1.25,-40.18064880371094
2.22,-6.785994529724121
-5.99,-7.943880081176758
-24.824,-15.9871826171875
-36.03,-10.167475700378418
-2.99,-8.0912446975708
-0.16,-6.136772155761719
2.6900000000000004,-4.134180545806885
-55.4925,-15.713747024536133
0.27,-2.6667301654815674
1.95,-3.388920783996582
2.48,-10.470443725585938
3.16,-10.487244606018066
1.81,-4.640544891357422
5.68,-8.013509750366211
-0.22,-4.4478349685668945
-49.333,-8.502470016479492
-2.89,-5.9423723220825195
-4.81,-3.814160108566284
-10.67,-5.237255573272705
2.13,-9.174777030944824
-0.02,-9.652361869812012
2.42,-8.276269912719727
-11.02,-10.53281307220459
0.46,-19.672412872314453
-6.79,-6.057830810546875
7.31,-11.089397430419922
-2.45,-6.411787509918213
-9.61,-11.497491836547852
-14.13,-5.920032024383545
-31.68,-5.719141960144043
-26.357,-18.02334213256836
-7.436333333333333,-15.770439147949219
