Score,Pred Score
-6.27,-8.103049278259277
0.82,1.5974366664886475
-57.05,-54.991397857666016
-11.7,-2.2310142517089844
-1.21,-5.402613639831543
-47.93,-7.198441505432129
-3.21,-8.379637718200684
-2.84,-11.28961181640625
7.02,7.869316577911377
10.1,-9.648280143737793
-6.79,-19.174863815307617
-1.82,-8.691442489624023
-9.92,-17.07477378845215
-2.22,-12.992889404296875
-7.19,3.92971134185791
-29.44,-5.903083801269531
-0.66,-9.230978965759277
-9.62,-12.889744758605957
0.82,-8.548651695251465
4.92,-9.568700790405273
-33.024,-19.83840560913086
3.605,-2.7670397758483887
-1.35,-8.492080688476562
5.5325,-27.787330627441406
5.08,2.062859535217285
-46.51,-11.102754592895508
0.25,-11.560897827148438
-10.51,-8.542093276977539
10.03,-10.867681503295898
-10.24,-6.382203578948975
0.13,-10.400042533874512
-7.48,-12.852960586547852
-12.14,-6.303956031799316
3.97,-4.31656551361084
-5.22,-7.349128723144531
5.18,-8.17202091217041
17.47,-9.043106079101562
4.22,-9.073873519897461
-13.59,-11.552203178405762
-1.54,-8.12100601196289
-13.03,0.45873165130615234
2.04,-10.752006530761719
-4.94,-2.1023025512695312
-6.16,-14.352160453796387
-3.29,-5.5127482414245605
-9.68,-24.783933639526367
-5.05,-13.051712989807129
-3.42,-3.9107885360717773
1.42,-17.09145164489746
3.53,-9.944032669067383
-5.82,-9.53242301940918
-3.24,-6.3769025802612305
-32.79,-4.818689823150635
-6.0,-4.157167434692383
-3.9,-13.813642501831055
2.09,-11.063928604125977
7.79,-7.153716564178467
-0.12,-3.1123502254486084
-7.85,2.4448623657226562
-10.25,-17.850311279296875
-21.54,-46.09504699707031
9.17,-3.974269390106201
-0.36,-3.1200666427612305
6.4025,0.8698759078979492
-8.65,-2.1586430072784424
-7.42,-4.100822448730469
-1.08,-1.6845893859863281
-2.55,-5.645236015319824
-4.59,-4.079831123352051
11.27,-6.699965476989746
-6.42,-10.105478286743164
-8.67,-4.075979709625244
-13.75,-8.629193305969238
11.71,-2.1311826705932617
2.95,-8.6292142868042
4.39,-4.674465179443359
0.83,-3.6385726928710938
-45.58,-9.857367515563965
1.17,-3.2206387519836426
0.62,-3.1967010498046875
-2.39,-7.532914161682129
6.48,-4.16259241104126
0.14,-2.1966774463653564
-9.37,-6.748262405395508
-9.59,-5.066359519958496
-7.05,-4.897453308105469
-0.89,-20.183517456054688
-8.1975,-18.047252655029297
-3.09,-4.168305397033691
-5.66,-8.11854362487793
-12.65,-22.507068634033203
0.54,-3.1413931846618652
-11.88,-22.16730499267578
-73.53,-10.086353302001953
-16.06,-3.745154857635498
-12.07,-21.21938705444336
-0.12,-5.9021148681640625
-14.68,-3.9541728496551514
14.03,0.47355175018310547
-30.92,-8.142115592956543
-5.41,-3.710066080093384
4.5225,-4.271095275878906
-10.25,-5.704648971557617
-3.09,-5.68690299987793
-6.2,-3.7423226833343506
-5.5,-15.867053985595703
-45.68,-8.386310577392578
-1.47,-4.05119514465332
-8.56,-5.550256729125977
-5.0,-11.369258880615234
5.15,-19.45159149169922
-3.7,-6.24836540222168
-1.06,-4.442480087280273
-3.59,-4.401732444763184
5.13,-22.32167625427246
-3.2,-5.565346717834473
-2.09,-3.3538572788238525
-24.72,-9.372635841369629
-32.123,-10.347665786743164
6.49,-6.182313919067383
-2.34,-1.9573628902435303
-37.47,-28.757198333740234
-8.12,-2.1862738132476807
-6.57,-35.44317626953125
-11.9,-14.738526344299316
-0.85,-5.621674060821533
-4.34,-4.819181442260742
7.54,-4.9418487548828125
-2.34,-6.73575496673584
-0.66,3.90054988861084
-1.91,-3.766430377960205
-36.38,-6.312366962432861
-2.52,-4.46185302734375
-3.12,-5.124769687652588
-3.18,-5.896559715270996
-1.13,-5.683987140655518
-4.61,-3.331547260284424
-1.32,-30.458587646484375
3.5,-5.1346659660339355
8.41,-13.172712326049805
-22.798,-14.42294692993164
-31.28,-16.919918060302734
-1.43,-4.975522994995117
-13.38,-14.772848129272461
-11.28,-3.324582576751709
2.04,-0.6926256418228149
-39.875,-2.9356164932250977
4.26,-0.35687869787216187
1.13,-7.267213821411133
-29.32,-14.157415390014648
8.7,-11.731403350830078
9.52,-16.003150939941406
6.24,0.5012826919555664
6.06,-7.528801441192627
-6.43,-4.7449870109558105
0.17,-10.372180938720703
-5.47,-13.7454833984375
-26.235,-15.802973747253418
3.27,-2.8977019786834717
6.07,-5.4338483810424805
-0.52,-9.580093383789062
-3.89,-4.169506072998047
-4.86,-1.5921820402145386
0.29,-3.7244985103607178
-4.57,-8.748767852783203
-67.77,-36.424461364746094
1.1716666666666669,-3.5754055976867676
-18.372,-3.4179930686950684
-13.09,-4.3525590896606445
-12.53,-19.5701961517334
-35.42,-4.806891441345215
-2.09,-9.026704788208008
-51.42,-14.453742980957031
-26.11,-12.145988464355469
8.81,-7.467825889587402
-18.99,-3.2678332328796387
6.87,-7.825577259063721
-35.13,-4.718990325927734
3.5,-0.23327690362930298
-26.79,-4.78591251373291
-69.43,-25.99245834350586
-10.85,-1.749022126197815
-28.24,-4.770446300506592
8.59,-21.33800506591797
24.097,-4.030365467071533
-3.32,-6.154135704040527
-4.1475,-3.67240047454834
-6.13,-5.128474235534668
-6.98,-1.8329665660858154
1.67,-9.365326881408691
1.11,-3.5372705459594727
1.91,-8.222479820251465
-2.36,-11.664260864257812
-6.29,-5.928196907043457
-1.82,-5.997665882110596
-31.23,-15.260635375976562
-55.3475,-11.422185897827148
-3.73,-7.081357955932617
-4.39,-8.759517669677734
-9.8,-7.894941806793213
-2.56,-2.7805137634277344
-7.79,-11.698283195495605
3.12,-6.544493198394775
-35.65,-30.770187377929688
6.44,-6.153925895690918
-10.88,-9.29949951171875
2.34,-3.8672878742218018
-1.66,-9.00742244720459
5.34,-5.49794864654541
2.12,-5.585871696472168
-41.42,-43.89631652832031
-45.26,-8.981056213378906
-5.05,-7.168644905090332
-30.8075,-10.945135116577148
-31.816,-8.059028625488281
16.37,-9.938187599182129
-10.72,-7.142301559448242
-0.17,-6.6507391929626465
-2.05,0.6386899948120117
-8.55,-9.389625549316406
-4.74,-4.86064338684082
-2.78,-4.920077323913574
-51.42,-4.185802459716797
-6.82,-8.854125022888184
-2.97,-6.069101810455322
-5.61,-7.594130516052246
-0.3,-7.116926193237305
-1.41,-2.8839316368103027
1.38,-41.69353103637695
2.71,-3.323903799057007
1.07,-1.3151335716247559
-3.11,-1.4374390840530396
11.76,-6.722002983093262
-0.03,0.3003993034362793
6.78,-3.9404678344726562
-15.81,-8.55615234375
0.12,-12.957001686096191
-39.27,-27.384172439575195
0.81,-6.967628002166748
-30.45,-16.32904624938965
0.62,-5.018022537231445
-2.23,-5.859936714172363
-18.13,-19.080642700195312
-25.95,-8.767431259155273
-7.765000000000001,-4.083242893218994
-26.61,-13.491398811340332
0.56,-7.364465236663818
2.87,-2.4688940048217773
-7.63,-5.982616901397705
-28.83,-3.352271795272827
-7.83,-4.935027599334717
-7.22,-11.819608688354492
1.75,1.453890323638916
-6.41,-35.18979263305664
4.07,-8.823965072631836
2.49,-4.567744731903076
4.02,-4.425465106964111
-8.99,-11.10000991821289
-0.68,-13.14687442779541
-4.07,-18.203798294067383
-2.0,-6.091697692871094
-2.34,-9.73151969909668
-0.97,-5.927131175994873
-12.259,-15.308977127075195
-0.95,-13.254810333251953
-4.32,-1.380659580230713
