Score,Pred Score
-17.9,-4.452868938446045
-2.55,-0.7537155151367188
5.08,-5.537449359893799
-28.831,-2.55877685546875
-8.91,-5.176220893859863
5.265000000000001,-3.843235492706299
-4.16,-5.46783447265625
7.09,-5.062369346618652
0.23,-4.968636989593506
-38.75,-4.868406295776367
-11.07,-4.172828674316406
1.5,-2.771040916442871
-0.52,-5.410750389099121
-4.68,-5.503807067871094
-8.22,-4.659564018249512
2.5925,-0.9971532821655273
-2.96,-5.998655796051025
-80.0,-4.534568786621094
-75.32,-5.6481122970581055
-68.78,-5.4421281814575195
-4.41,-5.546625137329102
1.12,-2.386575698852539
-2.14,-5.11773681640625
-0.87,-5.1721625328063965
-0.66,-5.218874931335449
-15.01,-5.705979347229004
-12.23,-5.069527626037598
-11.38,-4.972787380218506
17.43,-5.565886497497559
5.28,-5.194001197814941
-0.44,-2.7516255378723145
-12.0,-0.32183837890625
-1.45,-4.296768665313721
-1.36,-4.533715724945068
1.5,-5.960886478424072
14.15,-6.31238317489624
2.07,-4.759572505950928
-1.56,-5.093869686126709
4.23,-1.641397476196289
-30.18,-2.787931442260742
-11.16,-2.5628156661987305
-17.64,-4.386834621429443
-49.14,-5.954601764678955
0.68,1.3372182846069336
-1.42,-5.2563934326171875
-9.74,-5.532360076904297
-6.13,-0.12312650680541992
-0.71,-5.138255596160889
-22.22,-0.6239337921142578
-3.86,-6.768993377685547
-9.15,-5.671228885650635
-2.08,-7.070441246032715
-3.89,-4.796263694763184
-13.09,-5.25743293762207
-6.415,-4.192124366760254
-0.72,-4.286167144775391
6.02,-5.171586990356445
-40.89,-5.21751070022583
4.4,-5.960886478424072
-6.57,-5.702138423919678
5.02,-5.322127342224121
-2.75,-4.213911056518555
-12.23,-5.960886478424072
-28.07,-2.558774948120117
-17.98,-4.849956035614014
-2.85,-5.190872669219971
-10.24,-5.114321708679199
-4.1,-5.2675299644470215
-2.89,-4.464932441711426
-2.4,-5.534406661987305
-0.22,-4.558899879455566
-15.04,-0.9841251373291016
-9.84,-4.87172269821167
-1.33,-5.050858020782471
-22.79,-7.6785430908203125
4.61,-5.06215763092041
-17.51,-5.503067493438721
4.87,-5.651325225830078
-21.94,-1.4515862464904785
-3.25,-1.185689926147461
-33.48,-5.522927284240723
-3.3,-5.00858211517334
7.74,-6.048826694488525
3.41,-8.015085220336914
2.67,-6.680124759674072
7.22,-4.907281875610352
-12.15,-5.512548446655273
-2.07,-5.788158416748047
3.96,-1.4664995670318604
-52.23,-4.725861072540283
-2.86,-5.366543292999268
-5.23,-5.493013381958008
-12.18,1.6690161228179932
1.93,-2.974684715270996
0.89,-5.150482177734375
-20.56,2.7155838012695312
-1.62,-5.524133205413818
-0.5,-4.9774017333984375
-8.48,-5.8644819259643555
2.71,-5.673199653625488
-8.64,-5.537917137145996
-0.45,-84.90707397460938
-5.57,-4.755703449249268
5.3175,-8.176233291625977
-0.69,-5.758330345153809
-10.1525,-4.101037979125977
-1.23,-5.420016288757324
0.33,-5.266715049743652
8.86,-5.477370262145996
-3.94,-5.255481243133545
-39.28,-5.249042987823486
-1.31,-5.991214752197266
-26.687,-2.55877685546875
-0.85,-5.7825541496276855
-34.47,4.863638401031494
3.02,-5.2073163986206055
2.31,-6.005393028259277
-69.8,-5.379138946533203
-23.8,-5.456375598907471
-9.0,-5.376496315002441
-59.28,-5.604437828063965
-28.42,6.753196716308594
1.46,-5.529275894165039
5.34,-5.462278366088867
-7.86,-3.888598680496216
-5.27,-2.7110862731933594
-8.07,-5.459189414978027
-2.84,-5.941391468048096
-5.62,-5.553131103515625
-3.22,4.053606986999512
-3.21,0.9853382110595703
-9.78,-9.5596923828125
-3.65,-0.1887226104736328
-4.96,-3.6875267028808594
-3.56,-4.948383331298828
5.8525,-5.653567314147949
-5.68,-4.787444591522217
-2.28,-5.377655982971191
11.24,-0.8472328186035156
-21.4,-8.015084266662598
-2.49,-4.240056991577148
-1.62,-5.960886478424072
6.78,-5.680829048156738
8.68,-5.699546813964844
-30.96,-7.504334449768066
-1.34,-0.05334019660949707
-8.28,-4.587502956390381
-4.08,-5.283132553100586
-5.46,-5.467820167541504
2.58,-5.026711463928223
6.64,-4.453866481781006
3.48,-5.704305648803711
-2.96,-4.922769546508789
-8.75,-8.9295654296875
-5.39,-5.689096450805664
-1.52,-5.271335124969482
-0.12,2.2944717407226562
3.65,-4.167323589324951
-0.0375,-5.615257740020752
2.96,-7.315360069274902
-20.12,-4.904233455657959
-23.7,7.6170654296875
1.18,-4.964300155639648
-24.14,-5.752998352050781
-34.15,0.8909382820129395
-13.7,-5.126002788543701
-11.77,-4.38956880569458
-8.82,-4.904131889343262
1.89,-5.226867198944092
-19.94,-1.6027889251708984
-5.71,-5.666011810302734
-77.95,-5.864828586578369
-1.06,-5.437456130981445
15.42,-6.159751892089844
1.83,-4.804767608642578
-40.69,-5.511096000671387
1.12,-4.59959602355957
-52.72,-3.446870803833008
-9.74,0.8994617462158203
4.62,-5.143229007720947
4.75,-4.537698745727539
0.65,-5.617050647735596
-1.31,-5.448817253112793
12.36,-5.325716018676758
-34.78,-5.272808074951172
-12.59,-5.416561126708984
-0.41,-5.670933723449707
1.45,-5.045497894287109
-4.98,-4.92833137512207
-24.35,-2.4908552169799805
-41.38,-5.946178436279297
10.04,-5.486599922180176
-0.2525000000000001,-5.595379829406738
1.58,-5.102586269378662
14.47,-6.736352443695068
-31.08,-5.8536787033081055
-12.83,-5.401595115661621
-10.7625,-5.041100025177002
-2.63,-5.517806529998779
-72.75,-4.90892219543457
2.77,-5.567864894866943
-10.26,-3.6836090087890625
-60.18,-4.924467086791992
3.66,-5.442635536193848
-18.54,-5.405154705047607
-4.47,-4.506741523742676
-5.4,-5.200779914855957
-5.73,-5.2728047370910645
-9.27,-4.856632232666016
-0.29,-5.072093486785889
0.64,-5.4677228927612305
