Score,Pred Score
-6.27,-8.500016212463379
0.82,-9.528776168823242
-57.05,-8.552323341369629
-11.7,-8.601205825805664
-1.21,-7.465446472167969
-47.93,-8.46562385559082
-3.21,-7.861072540283203
-2.84,-9.084798812866211
7.02,-2.43099308013916
10.1,-7.949252128601074
-6.79,-8.295085906982422
-1.82,-7.687898635864258
-9.92,-8.755550384521484
-2.22,-7.761526107788086
-7.19,-5.742392539978027
-29.44,-8.22912883758545
-0.66,-7.530457973480225
-9.62,-7.870358467102051
0.82,-8.178065299987793
4.92,-8.276712417602539
-33.024,-15.435286521911621
3.605,-6.0848917961120605
-1.35,-6.645401954650879
5.5325,-3.9656286239624023
5.08,-8.121235847473145
-46.51,-15.720999717712402
0.25,-0.4907684326171875
-10.51,-4.855465888977051
10.03,57.79034423828125
-10.24,-1.9747047424316406
0.13,-20.102008819580078
-7.48,-8.500016212463379
-12.14,-6.462767601013184
3.97,-9.024539947509766
-5.22,-6.6429548263549805
5.18,-8.449825286865234
17.47,-5.870023727416992
4.22,-8.09109878540039
-13.59,-3.634202003479004
-1.54,-6.875783920288086
-13.03,-8.656667709350586
2.04,-8.301124572753906
-4.94,-8.552671432495117
-6.16,-5.804873466491699
-3.29,-8.447362899780273
-9.68,-8.552671432495117
-5.05,-8.283137321472168
-3.42,-5.591718673706055
1.42,-7.9954657554626465
3.53,-7.960326194763184
-5.82,-3.423712730407715
-3.24,-8.393704414367676
-32.79,-0.44060516357421875
-6.0,-7.303431034088135
-3.9,-8.581296920776367
2.09,-8.678860664367676
7.79,-8.507755279541016
-0.12,-7.7255449295043945
-7.85,-8.15578842163086
-10.25,-8.427644729614258
-21.54,-8.216455459594727
9.17,-8.434981346130371
-0.36,-8.082168579101562
6.4025,-5.601457595825195
-8.65,-7.5348968505859375
-7.42,-8.073660850524902
-1.08,-7.54024076461792
-2.55,-7.392609596252441
-4.59,-9.259004592895508
11.27,-7.371636390686035
-6.42,-7.60300350189209
-8.67,-11.505514144897461
-13.75,-14.631362915039062
11.71,-11.410999298095703
2.95,-7.399918556213379
4.39,-4.137159824371338
0.83,-5.6726908683776855
-45.58,-7.66926383972168
1.17,-7.796624183654785
0.62,-7.545214653015137
-2.39,-8.201452255249023
6.48,-8.075374603271484
0.14,-7.996242523193359
-9.37,-9.486183166503906
-9.59,-2.3641576766967773
-7.05,-8.804762840270996
-0.89,-17.66034698486328
-8.1975,-4.835536003112793
-3.09,-7.072393417358398
-5.66,-13.205677032470703
-12.65,-7.4095635414123535
0.54,-6.869448184967041
-11.88,-7.933034896850586
-73.53,-8.146113395690918
-16.06,-7.665212154388428
-12.07,-15.045194625854492
-0.12,-7.539419174194336
-14.68,-7.7034101486206055
14.03,-11.453411102294922
-30.92,-8.166900634765625
-5.41,-6.347511291503906
4.5225,-4.570855140686035
-10.25,-7.522133827209473
-3.09,-4.709267616271973
-6.2,-8.073660850524902
-5.5,-16.155254364013672
-45.68,-8.34233570098877
-1.47,-8.182378768920898
-8.56,-9.697290420532227
-5.0,-19.77178192138672
5.15,-8.034913063049316
-3.7,-7.156637668609619
-1.06,-7.288107872009277
-3.59,-7.993773460388184
5.13,-8.159553527832031
-3.2,-8.095209121704102
-2.09,-7.318166255950928
-24.72,-11.054073333740234
-32.123,-15.544011116027832
6.49,-8.073660850524902
-2.34,-5.478692054748535
-37.47,-10.085205078125
-8.12,-8.106447219848633
-6.57,-8.162548065185547
-11.9,-16.636981964111328
-0.85,-7.8728532791137695
-4.34,-8.236940383911133
7.54,-8.740757942199707
-2.34,-4.803962707519531
-0.66,-8.67495346069336
-1.91,-8.267913818359375
-36.38,-8.356823921203613
-2.52,-7.3425188064575195
-3.12,-8.500993728637695
-3.18,-8.353259086608887
-1.13,-7.440361022949219
-4.61,-7.565334320068359
-1.32,-8.294875144958496
3.5,-7.515238285064697
8.41,-11.052800178527832
-22.798,-13.705718040466309
-31.28,-7.90698766708374
-1.43,-7.842921257019043
-13.38,-7.903298854827881
-11.28,-4.630258560180664
2.04,-7.816783905029297
-39.875,-7.939007759094238
4.26,-7.958918571472168
1.13,-7.9009270668029785
-29.32,-13.757695198059082
8.7,-7.9683332443237305
9.52,-9.631450653076172
6.24,-7.560359477996826
6.06,-8.529256820678711
-6.43,-4.097105979919434
0.17,-8.456683158874512
-5.47,-11.908689498901367
-26.235,-13.693780899047852
3.27,-8.332979202270508
6.07,-8.497312545776367
-0.52,-8.157469749450684
-3.89,-7.11985969543457
-4.86,-6.532936096191406
0.29,-8.195931434631348
-4.57,-8.586183547973633
-67.77,-8.548173904418945
1.1716666666666669,-7.857862949371338
-18.372,-9.33098030090332
-13.09,-9.223051071166992
-12.53,-7.983985424041748
-35.42,-8.029154777526855
-2.09,-7.985975742340088
-51.42,-10.526472091674805
-26.11,-8.136890411376953
8.81,-3.127653121948242
-18.99,-10.823138236999512
6.87,-2.5190019607543945
-35.13,-7.862856864929199
3.5,-8.502177238464355
-26.79,-8.429059028625488
-69.43,-8.548173904418945
-10.85,-7.7502288818359375
-28.24,-8.814018249511719
8.59,-7.9435133934021
24.097,-3.810667037963867
-3.32,-7.796477317810059
-4.1475,-7.974601745605469
-6.13,-8.588683128356934
-6.98,-8.333178520202637
1.67,-8.464606285095215
1.11,-7.7549238204956055
1.91,-11.193012237548828
-2.36,-12.318485260009766
-6.29,-9.274662017822266
-1.82,-7.912508964538574
-31.23,-8.330361366271973
-55.3475,-2.742495536804199
-3.73,-8.113720893859863
-4.39,-12.022756576538086
-9.8,-7.04862642288208
-2.56,-7.802794933319092
-7.79,-7.976657867431641
3.12,-7.703091144561768
-35.65,-8.030553817749023
6.44,-8.351886749267578
-10.88,-17.847593307495117
2.34,-8.227092742919922
-1.66,-8.246984481811523
5.34,-7.950676918029785
2.12,-7.663169860839844
-41.42,-7.52193546295166
-45.26,-10.479972839355469
-5.05,-8.04383373260498
-30.8075,-8.390655517578125
-31.816,-17.63788414001465
16.37,-8.5507230758667
-10.72,-7.883255958557129
-0.17,-8.008825302124023
-2.05,-8.264472961425781
-8.55,-17.670806884765625
-4.74,-7.953131198883057
-2.78,-7.1733503341674805
-51.42,-11.084999084472656
-6.82,-13.321113586425781
-2.97,-7.939305305480957
-5.61,-9.4663724899292
-0.3,-5.786952972412109
-1.41,-7.456378936767578
1.38,-7.709502220153809
2.71,-7.256044387817383
1.07,-8.35680103302002
-3.11,-7.943580627441406
11.76,-7.4030256271362305
-0.03,-7.717937469482422
6.78,-10.954903602600098
-15.81,-21.604318618774414
0.12,-8.269136428833008
-39.27,-6.5147705078125
0.81,-9.382707595825195
-30.45,-8.34699535369873
0.62,-4.499151229858398
-2.23,-8.118640899658203
-18.13,-8.225326538085938
-25.95,-7.939908504486084
-7.765000000000001,-8.640067100524902
-26.61,-9.653179168701172
0.56,-8.224339485168457
2.87,-8.307615280151367
-7.63,-6.921574592590332
-28.83,-7.469030857086182
-7.83,-7.447837829589844
-7.22,-14.780736923217773
1.75,-8.71361255645752
-6.41,-7.744372367858887
4.07,-8.15330696105957
2.49,-7.460779190063477
4.02,-9.484238624572754
-8.99,-8.436799049377441
-0.68,-8.640745162963867
-4.07,0.9304122924804688
-2.0,-8.623960494995117
-2.34,-4.571933746337891
-0.97,-8.4072265625
-12.259,-9.306699752807617
-0.95,-9.487403869628906
-4.32,-8.930802345275879
1.5,-9.31334114074707
-1.11,2.876689910888672
-116.62,-17.82140350341797
2.86,10.676788330078125
-5.37,-0.7945747375488281
-2.05,-8.626016616821289
-36.99,-8.579936981201172
-3.57,-1.3923587799072266
4.85,-9.166489601135254
-10.13,-9.309103012084961
1.45,-8.85846996307373
-16.58,-9.299796104431152
0.23,-8.432663917541504
8.52,-11.407567977905273
0.57,-9.53312873840332
-1.59,-8.89385986328125
0.57,-8.643085479736328
9.74,-9.049833297729492
-7.24,-9.555928230285645
-3.75,-9.312483787536621
-24.423,-2.8963279724121094
-5.97,-8.01561450958252
2.03,-8.630278587341309
2.62,-13.446826934814453
-14.55,-9.316154479980469
-15.81,2.3632354736328125
-7.2,-8.96629524230957
-4.09,-9.313879013061523
5.64,-8.436355590820312
2.39,-8.69043254852295
4.99,-7.622158050537109
1.35,-8.55235481262207
-6.35,4.5547075271606445
-5.95,-1.2654895782470703
-10.16,-8.546143531799316
-20.2575,-8.590630531311035
-3.87,-8.877314567565918
4.67,-8.580741882324219
-19.79,-9.014628410339355
-32.12,-10.06984806060791
-2.66,-9.312417030334473
-75.78,-8.44025993347168
1.35,-6.403339385986328
0.55,-5.674165725708008
-78.52,9.68597412109375
-12.8975,0.7221765518188477
4.79,-9.270660400390625
-14.95,-8.824941635131836
-0.4375,-9.638856887817383
-1.69,-9.213871002197266
-5.25,-8.67392349243164
-22.7,-6.785655975341797
0.25,-8.906145095825195
-18.93,-7.632686614990234
-3.2,-7.716455459594727
2.78,-8.588762283325195
0.4,-8.040541648864746
-33.18,-7.800807476043701
5.54,-6.613997936248779
-5.73,-8.233210563659668
5.23,-14.3314208984375
-12.05,-7.741684436798096
-10.64,-8.30472183227539
-4.785,-7.800816535949707
-16.83,-8.053933143615723
-24.89,-7.745603561401367
-13.85,-17.055618286132812
-0.76,-7.820174694061279
-12.58,-10.049623489379883
-1.87,-7.707681655883789
-11.9125,-4.591197967529297
5.52,-8.700203895568848
0.0,-8.656275749206543
-1.19,-5.364175319671631
0.76,-3.1492929458618164
-5.76,-8.3196382522583
3.97,-8.744535446166992
6.3,-10.5839262008667
1.58,-8.317044258117676
9.02,-7.748709201812744
-12.42,-8.656909942626953
1.14,-6.830151081085205
-58.405,-7.24748420715332
-1.77,-7.963777542114258
-10.6,-5.150829315185547
0.88,-8.333372116088867
-4.76,-4.4105730056762695
-22.86,-14.339109420776367
-36.41,-8.329496383666992
8.74,-8.993358612060547
0.27,-8.622061729431152
-0.29,-8.013153076171875
5.83,-8.858080863952637
-2.09,-8.009910583496094
-6.74,-5.439037322998047
-10.4,-11.659643173217773
-5.9,-7.789244651794434
0.99,-8.333481788635254
-5.27,-14.17694091796875
-17.65,-25.42559051513672
10.25,-7.803327560424805
-5.75,-8.260832786560059
4.76,-8.624499320983887
-25.08,-8.606690406799316
-10.08,-11.044994354248047
-6.26,-8.588573455810547
0.82,-8.627908706665039
9.21,-6.719206809997559
-1.9,-8.997886657714844
-3.98,-8.482137680053711
-6.5675,-6.814931392669678
10.79,-7.607102394104004
-7.12,-9.353759765625
-8.09,-9.185476303100586
-14.57,-4.751569747924805
-20.35,-8.602588653564453
-0.03,-8.273781776428223
-1.21,-8.00471019744873
-53.9,-8.101555824279785
4.75,-16.37125015258789
-11.01,-7.755483150482178
-1.82,-7.108296871185303
-8.87,-6.264833927154541
3.1,-7.7827863693237305
-4.5125,-3.264749050140381
-10.31,-7.390316963195801
1.47,-7.482412815093994
-9.11,-8.035843849182129
-4.21,-7.567089080810547
-7.64,-8.920774459838867
-25.5375,-8.319310188293457
11.13,-8.056293487548828
-34.68,-7.887667655944824
0.3,-5.925432205200195
4.39,-4.519491672515869
-7.61,-9.368412971496582
-4.25,-8.229423522949219
-67.03,-10.248785018920898
-3.13,-13.118560791015625
-8.19,-7.71973991394043
-10.94,-9.100692749023438
-11.37,-8.075274467468262
1.26,-3.536006212234497
-5.66,-8.160502433776855
7.16,-8.160502433776855
7.84,-7.287454605102539
16.995,-4.715799331665039
-4.43,-8.236661911010742
1.3,-3.4774961471557617
-2.43,-8.142980575561523
-32.65,-8.075274467468262
-6.25,-7.797688007354736
6.29,-8.329314231872559
0.17,-6.960071086883545
-9.39,-7.426039695739746
-10.36,-7.473532199859619
0.125,-7.775911331176758
-27.27,-11.098709106445312
1.38,-3.3267040252685547
1.82,-9.535223960876465
-33.19,22.98009490966797
4.39,-8.25678825378418
-18.26,-7.7680206298828125
-56.11,-7.503924369812012
-22.2,-8.15109920501709
-9.08,-6.785869121551514
-2.27,-8.540318489074707
-1.69,-4.972769737243652
-19.04,-8.03553581237793
-27.35,-7.768909931182861
-6.13,-8.039129257202148
0.09,-7.472819805145264
-7.65,-10.010737419128418
-12.62,-5.580865383148193
-5.04,-8.244853973388672
-3.33,91.80799865722656
-21.44,-13.841468811035156
-17.142500000000002,-4.212510108947754
-41.29,-7.857883453369141
5.3,-0.6288504600524902
-2.33,-8.339729309082031
0.0,-7.915625095367432
-10.37,-8.5979585647583
-9.53,-3.8955507278442383
-6.97,-8.337797164916992
7.75,-8.464109420776367
-3.94,-7.561705112457275
-2.1,-7.644050121307373
-15.58,-8.180328369140625
-3.86,-8.150090217590332
-7.51,-7.391889572143555
5.73,-10.663843154907227
-8.27,-8.391679763793945
-53.52,-8.477354049682617
-40.82,-7.418252944946289
3.33,-7.877208709716797
4.31,-8.2760648727417
-36.74,-8.724085807800293
-34.3,-6.931326389312744
5.21,-4.79782772064209
9.56,-9.485004425048828
-20.5325,-8.715070724487305
-6.6825,-2.9039881229400635
2.7,-8.431316375732422
-5.47,-8.153919219970703
-7.54,-7.821968078613281
5.69,-11.977710723876953
-1.02,-8.6245756149292
-14.34,-8.90848445892334
-31.91,-7.154496669769287
-1.67,-8.562899589538574
2.27,24.333465576171875
-16.11,-8.125846862792969
-33.7825,-10.150581359863281
-5.43,-8.642963409423828
-3.18,-7.856546401977539
-6.34,-5.5804243087768555
0.82,-5.009081840515137
3.97,-4.636081695556641
-2.33,1.4502601623535156
-21.09,-8.249194145202637
-0.48,-8.246603965759277
-6.2,-8.189436912536621
0.04,-8.25180435180664
5.005,-7.565390110015869
-3.43,-8.4764986038208
10.14,-8.646175384521484
-15.41,-9.572750091552734
-36.995,-17.87250328063965
-6.25,-4.199803352355957
-49.75,-7.650215148925781
15.205,-13.97006607055664
-3.0,-7.7505927085876465
5.55,-8.563549041748047
-1.62,-12.302738189697266
-18.7,-8.037007331848145
-2.26,-1.930419921875
-12.55,-16.070831298828125
2.12,-8.626434326171875
3.18,-8.564388275146484
-26.38,-7.6838908195495605
1.42,-7.499016761779785
-2.01,-7.271030426025391
-0.8,-17.694454193115234
1.5975,-9.053838729858398
-3.9,-8.667670249938965
2.38,-7.927977085113525
-1.84,-7.850898265838623
-3.92,-7.548250198364258
-6.75,-7.068400859832764
-6.55,-3.5731825828552246
-25.78,-18.27019500732422
-60.13,-6.86264705657959
-23.62,-7.2869157791137695
2.16,-7.832802772521973
-4.35,-6.941375732421875
-25.89,-10.53695297241211
-12.774,-18.163965225219727
-25.68,-12.573938369750977
-1.6675,-7.54110050201416
-13.77,-6.881097793579102
-58.72,-7.365638732910156
4.06,-8.1885347366333
-6.63,-7.853543281555176
-14.933,-18.607328414916992
0.43,-10.554939270019531
-3.91,-7.4069719314575195
-0.33,-8.292023658752441
-16.73,-5.258407115936279
0.28,-7.295320510864258
-18.15,-15.013683319091797
-0.59,-8.038232803344727
5.145,-5.236090660095215
-18.63,-7.933401107788086
-1.28,-7.843718528747559
-2.97,-7.688484191894531
-1.14,-7.912639141082764
-17.215,-6.340560436248779
1.34,-7.072057723999023
-4.57,-10.849565505981445
-5.57,-6.69559383392334
-22.03,-9.990241050720215
-1.17,-8.232502937316895
-24.6,-7.061539173126221
-6.77,-7.856538772583008
5.24,-7.837871551513672
-2.69,-11.607420921325684
-2.51,-8.286130905151367
-1.48,-7.441303730010986
2.3175,-7.372071743011475
-0.8799999999999999,-7.458815574645996
-5.58,-8.091002464294434
0.18,-7.254155158996582
-2.06,-9.075556755065918
-18.32,-16.00133514404297
-27.83,-17.411178588867188
-15.36,-5.427696704864502
-44.36,-6.674003601074219
-3.76,-3.066798210144043
-2.41,-7.077828407287598
-34.565,-8.638131141662598
-7.47,-8.54711627960205
-9.42,-16.97149658203125
-3.32,-8.04482364654541
6.63,-12.093303680419922
8.0,-9.602203369140625
-8.36,-9.462213516235352
-24.61,-15.843551635742188
-11.41,-8.099079132080078
-15.28,-7.857843399047852
-13.17,-7.392783164978027
2.39,-7.032068252563477
-11.24,-7.935128211975098
4.1825,-8.742857933044434
4.1075,-7.716823101043701
-1.61,-7.4593706130981445
-1.22,-7.81939697265625
-0.26,-7.938107013702393
0.01,-5.968937873840332
-2.489,-7.979412078857422
1.976,-440.718017578125
-0.18,-7.564653396606445
-0.01,13.382572174072266
-4.24,-7.743438243865967
-1.68,-7.661808490753174
-35.61,-7.0999908447265625
-44.99,-18.400890350341797
-23.04,-26.835891723632812
-39.42,-6.527932167053223
-25.08,-6.952587127685547
-3.84,-9.239177703857422
-56.29,-7.02115535736084
-25.04,-44.72930145263672
-7.32,-6.964682579040527
3.66,-21.569149017333984
-15.95,-7.207199573516846
-0.41,-6.915955066680908
-0.62,-7.209120273590088
2.1075,-8.650714874267578
-19.82,-23.10511016845703
-8.37,-9.38704776763916
5.96,-7.517478942871094
-2.09,-16.66968536376953
-15.8,-7.334563255310059
12.33,-4.0614013671875
-6.55,-7.843595504760742
-13.28,-10.674592971801758
-48.756,-20.166522979736328
