Score,Pred Score
-47.36,-4.37189245223999
-13.44,-5.544704437255859
-53.37,-6.246350288391113
3.07,-7.766669273376465
-1.84,-5.771142959594727
-4.72,-6.188412666320801
0.1,-0.2443830966949463
5.54,-4.627440452575684
-2.14,-5.606717109680176
-0.25,-6.662930488586426
-11.24,-4.707037925720215
-20.43,-6.600717544555664
-4.64,-6.530354976654053
-4.96,-22.003311157226562
-3.99,-9.536041259765625
1.98,-7.9276604652404785
-0.16,-5.162989616394043
-11.47,-6.843795299530029
10.92,-5.147858142852783
-9.76,-5.99637508392334
-27.04,-11.256048202514648
8.81,-7.406579971313477
-0.97,-1.912010669708252
-36.5,-6.747259140014648
-63.14,-35.647544860839844
-9.93,-8.32940673828125
-11.85,-9.404279708862305
-12.97,-6.754037857055664
-8.32,-12.875588417053223
3.56,-7.526641368865967
1.68,-1.73757004737854
4.9,-0.22153186798095703
-3.54,-4.446390628814697
-7.2,-8.061273574829102
7.89,-7.909176349639893
-1.4,-7.078622341156006
-53.21,-6.242015361785889
-25.57,-4.772613525390625
1.52,-1.1796684265136719
-1.47,-9.735227584838867
10.26,-13.26199722290039
-0.54,-7.185671806335449
-18.4,-12.922832489013672
-37.12,-3.664703607559204
2.06,-5.398405075073242
-2.732,-5.326713562011719
0.19,-5.632691383361816
-39.33,-7.400596618652344
-1.45,-27.6927490234375
-1.09,-5.202628135681152
0.07,-6.147068023681641
-19.63,-6.5077128410339355
-24.86,-30.42751693725586
-2.29,-7.833717346191406
0.29,-12.381575584411621
-32.82,-34.819984436035156
-7.06,-5.142931938171387
5.42,-6.368335723876953
-0.61,-2.3034677505493164
-15.48,-6.007684230804443
-10.34,-7.117743015289307
-43.597,-14.368372917175293
-8.76,-5.937612533569336
4.93,-7.137685298919678
3.12,-5.664236068725586
-10.26,-8.060087203979492
-26.32,-5.455151557922363
3.32,-1.426466941833496
-29.32,-14.773826599121094
-1.6125,-7.8031907081604
-71.9,-5.935749053955078
5.06,-6.839588165283203
-4.53,-12.03779411315918
-2.09,-6.49173641204834
-4.01,-9.499088287353516
2.44,-6.133749008178711
2.28,-2.033538818359375
3.98,-7.216056823730469
2.66,-7.848227024078369
-7.25,-5.932077407836914
-15.1,-8.412551879882812
3.96,-5.532715797424316
-0.28,-6.784661293029785
-4.57,-4.9466633796691895
-43.82,-9.347389221191406
-34.97,-6.053164482116699
-3.11,-6.259957313537598
2.35,-4.5574140548706055
4.67,-6.781475067138672
2.9725,-4.789976119995117
-20.82,-7.4813232421875
-5.75,-5.02987003326416
-7.98,-6.953752517700195
-2.02,-1.7928211688995361
-4.18,-31.03922462463379
-3.97,-4.744762420654297
-5.64,-6.079186916351318
14.6825,-7.597109794616699
-7.44,-7.369884490966797
-3.5,-4.247664928436279
2.48,-5.09654426574707
20.6,-7.071145534515381
-39.64,-31.54607582092285
-2.3,-5.287815093994141
-34.774,-32.233428955078125
-4.73,-5.510822296142578
3.36,-3.707158327102661
2.09,-1.0294160842895508
-18.56,-6.225576400756836
7.6,-7.750836372375488
-4.84,-6.032978057861328
-1.1,-7.442408561706543
-0.94,-4.270663261413574
5.87,-7.801035404205322
4.14,-7.071579456329346
-14.82,-8.39872932434082
3.21,-6.124590873718262
-3.38,-5.554996013641357
-15.43,-6.057262420654297
-3.72,-4.027127265930176
-33.51,-13.884769439697266
-8.67,-6.735143661499023
-0.32,-5.077492713928223
-87.98,-7.8827385902404785
-28.83,-13.557449340820312
-7.78,-4.517572402954102
-44.65,-6.675032615661621
-4.66,-7.860069274902344
6.265000000000001,-1.8378562927246094
-37.86,-12.183456420898438
-3.84,-5.197078227996826
-1.4,-5.091353416442871
-3.27,-4.192898750305176
1.27,-4.721485137939453
-2.66,-5.680150985717773
1.9,-7.245302677154541
-10.51,-6.281804084777832
-80.74000000000001,-2.320972442626953
5.87,-5.8884687423706055
0.24,-4.404997825622559
-6.26,-5.452763080596924
-77.2,-3.604721784591675
-3.73,-5.951894760131836
-5.22,-3.9195475578308105
-18.71,-13.005840301513672
2.35,-6.269733428955078
6.88,-6.2650251388549805
-61.83,-34.861270904541016
2.2625,-5.841658592224121
-4.18,-5.955926418304443
7.25,-5.82061767578125
-7.66,-7.293151378631592
-4.58,-11.391477584838867
-15.14,-5.0423688888549805
1.0,-6.308235168457031
-3.0,-7.590604782104492
-6.95,-5.749851226806641
0.66,-2.3129918575286865
-0.09,-6.067074775695801
1.91,-4.634629249572754
-18.98,-1.3633615970611572
-7.62,-34.154930114746094
-0.36,-5.26485538482666
-10.07,-4.947169780731201
-11.76,-4.405208587646484
-5.45,-1.6459896564483643
-27.56,-6.349419116973877
-14.26,-6.680983543395996
-34.32,-36.66674041748047
-4.071,-18.14923858642578
2.79,-4.149696350097656
-60.15,-35.65602493286133
-16.03,-6.6379852294921875
3.3025,-1.1007003784179688
17.47,-6.77531623840332
5.78,-35.188209533691406
1.99,-5.170289039611816
-7.77,-11.285476684570312
-0.12,-3.7842531204223633
-66.55,-6.621869087219238
-3.27,-8.369966506958008
-3.61,-5.3283843994140625
-2.86,-6.260284423828125
-5.297499999999999,-7.436460971832275
4.46,-7.3825907707214355
-1.17,-5.48543643951416
1.6,-5.507941246032715
-0.55,-35.5284423828125
5.37,-3.0402941703796387
21.29,-4.422889709472656
-0.66,-35.07756042480469
2.53,-1.7104606628417969
-1.72,-4.040766716003418
-15.54,-14.014448165893555
-1.74,-0.36135435104370117
-3.49,-6.81019926071167
-5.1625000000000005,-7.645701885223389
2.16,-5.230797290802002
-6.15,-5.789440155029297
-4.26,-6.282007217407227
-2.59,-6.085794448852539
-16.68,-6.250740051269531
-41.26,-38.102294921875
1.41,-11.667871475219727
-2.83,-6.6846466064453125
2.87,-5.224165916442871
-4.41,0.6120927333831787
-16.98,-7.023167610168457
-3.08,-5.967881202697754
0.76,-6.855818271636963
-6.06,-5.464421272277832
-0.45,-5.1517133712768555
10.5,-6.940912246704102
-0.95,-5.186863422393799
-3.16,-7.316775321960449
-33.66,-35.03723907470703
4.23,-5.93095588684082
-0.07,-4.267711639404297
-35.01,-38.662113189697266
-3.11,-5.259762763977051
-1.86,-3.2134079933166504
-6.4,-5.990094184875488
18.2,-5.386797904968262
4.131,-12.73179817199707
-1.49,-5.309062957763672
-3.52,-6.123288154602051
-8.95,-4.346327304840088
-32.26,-7.220456123352051
3.33,-6.791164398193359
-51.72,-6.084519386291504
6.15,-5.33457088470459
-31.43,-6.020120143890381
0.46,-6.881104469299316
-62.86,-31.034008026123047
-0.49,-4.467581748962402
-9.33,-5.507043838500977
-4.37,-6.989786148071289
-81.34,-35.163143157958984
-3.59,-6.195016860961914
8.28,-6.821819305419922
-0.49,-5.637392997741699
3.84,-6.913742542266846
-7.1,-4.557287216186523
-1.44,-6.846705436706543
-4.8,-7.900075912475586
8.835,-1.5106353759765625
-5.22,-4.559576034545898
-1.6,-5.647894859313965
6.75,-5.900454521179199
-12.57,-4.597311019897461
-2.53,-4.080658435821533
5.97,-10.095735549926758
2.56,-2.0845866203308105
-7.23,-4.904025554656982
-15.21,-7.130632400512695
-3.62,-5.386796951293945
-6.25,-14.902437210083008
-72.91,-6.442324638366699
3.1,-5.418567657470703
-0.44,-5.545584678649902
4.77,-6.447327613830566
-3.56,-5.1053009033203125
-0.06,-6.8487396240234375
5.77,-6.187267303466797
-1.04,-4.007908821105957
-46.38,-34.03870391845703
-5.4,-7.429305076599121
-32.33,-5.958887100219727
23.1,-6.663674354553223
-41.04,-13.149332046508789
0.66,-1.3675079345703125
-0.39,-6.713885307312012
-11.36,-5.991010665893555
-37.66,-21.27178192138672
-8.65,-7.874809265136719
-9.57,-6.153289318084717
-1.01,0.2668948173522949
0.87,-12.880887985229492
-4.24,-3.3927197456359863
-2.21,-7.182472229003906
12.8825,-6.602905750274658
-4.66,-5.367105484008789
-7.76,-6.45544958114624
-9.91,-7.8333306312561035
-2.87,-7.092428684234619
-2.65,-2.65106201171875
-3.24,-7.849517822265625
1.02,-7.1456193923950195
-61.47,-20.105915069580078
-10.78,-6.417788028717041
-12.67,-4.498807907104492
1.13,-4.786178112030029
-1.94,-2.7624990940093994
-11.13,-7.7504191398620605
-38.06,-34.78703308105469
-1.93,-5.833905220031738
1.26,-7.032254219055176
-80.76,-7.847478866577148
1.01,-2.273000717163086
-6.56,-10.889944076538086
-9.49,-9.5518798828125
-20.95,-7.399022102355957
5.39,-7.647067070007324
-1.03,-6.696820259094238
-30.28,-13.83616828918457
-70.56,-7.142456531524658
0.86,-7.512197971343994
-1.25,-7.347386360168457
2.75,-5.145224571228027
-39.67,-5.416964054107666
-0.09,-6.64776611328125
