Score,Pred Score
-61.34,-29.672588348388672
8.94,-3.4270806312561035
-1.47,-3.0102615356445312
-4.731,-15.434309005737305
11.0,-2.375839233398437
0.49,-4.18333625793457
6.78,3.122087240219116
-64.7,-6.783114433288574
6.93,-2.2053937911987305
-16.1,-2.636232376098633
-1.97,-2.584677219390869
-17.5,-13.590227127075195
-74.98,-34.20856475830078
-2.97,-2.951610565185547
-5.3,-2.0822863578796387
4.19,-6.061733245849609
5.46,0.5963683128356934
-4.99,-9.47125244140625
-1.43,-1.0288429260253906
-13.62,-8.156661987304688
-28.16,-13.91304874420166
-3.77,-6.821755409240723
-11.535,-2.8634510040283203
-4.12,-10.52833080291748
0.0,-6.292245864868164
-1.67,-7.890748500823975
8.0725,1.7696237564086914
-20.45,-11.571786880493164
3.32,-7.674278736114502
-0.18,-0.9539518356323242
-3.06,-7.533533573150635
-57.29,-13.275296211242676
-11.48,-21.1391658782959
-8.71,-5.6136088371276855
3.63,-7.970993995666504
-0.48,-9.180455207824709
-27.58,-8.573081970214844
-15.27,-2.427085876464844
-7.28,-3.528599262237549
-1.89,-4.606812477111816
10.19,-11.83491325378418
-1.75,-10.031940460205078
-3.04,-5.246851921081543
10.94,-2.591489791870117
4.86,-3.735369682312012
-19.21,-10.504684448242188
-38.72,-16.53766632080078
-0.96,-4.271539211273193
3.67,-9.156984329223633
-0.26,-5.741704940795898
-35.44,-5.357492923736572
-1.68,-8.30651569366455
-1.55,-1.3726563453674316
-24.94,-10.6499605178833
-10.84,-5.523670196533203
-7.39,-1.4896483421325684
-15.25,-1.5359973907470703
-2.18,-12.370433807373049
10.58,-7.53727912902832
-5.35,-4.912277698516846
-13.15,-11.732357025146484
-33.91,-9.399758338928224
-0.81,-4.662477493286133
-0.25,-10.941246032714844
3.12,-1.4557842016220093
-4.86,-6.92167854309082
4.24,-5.096271514892578
-18.72,-8.856225967407227
-1.63,-4.999355316162109
0.71,-11.529370307922363
3.43,-13.899602890014648
6.11,-8.4217529296875
-16.36,-2.4170327186584477
-3.38,-5.644767761230469
-9.11,-34.76664733886719
-1.43,-8.089994430541992
-1.79,-4.210325717926025
-2.39,-13.91036605834961
-28.59,-0.1105804443359375
8.27,-3.9191060066223145
-40.27,-11.23381805419922
5.53,3.024261236190796
-15.83,-6.114106178283691
-39.23,-11.88667106628418
-3.3,-4.160998344421387
6.13,-6.360783576965332
-7.73,-5.864832878112793
5.47,-12.647354125976562
-25.37,-5.713571071624756
-3.304,-5.482337474822998
-15.44,-10.911787986755373
-33.52,-11.18691635131836
-30.84,-9.255230903625488
-1.35,-5.465095520019531
-3.11,-11.708311080932615
3.46,-7.280902862548828
10.53,-1.036649465560913
0.32,-5.682230949401856
-2.55,-5.303749084472656
-7.4,-2.6227056980133057
-0.22,-15.66696548461914
-7.21,-5.611915588378906
5.18,-5.348516941070557
-80.89,-53.091041564941406
5.73,-4.637132167816162
-2.6,-6.128643989562988
8.92,-3.95356559753418
-2.06,-8.089990615844727
-64.69,-5.990520477294922
-13.61,-3.236491680145264
-8.5,-1.4954910278320312
-3.2325,-2.8438377380371094
-5.56,-4.544527530670166
-1.33,-5.404342651367188
-11.84,-9.661386489868164
-7.17,-6.055230140686035
-2.9,-32.47744369506836
12.34,-11.506872177124023
-10.11,-6.51625394821167
10.68,-6.880781173706055
-43.56,-9.155023574829102
3.24,-5.6756463050842285
-0.24,-4.190026760101318
-29.02,-31.59556198120117
-1.21,-5.664005279541016
1.41,-0.8745889663696289
-11.24,-10.469366073608398
-5.24,-4.870892524719238
1.41,-11.177108764648438
-0.4,-0.5956907272338867
-2.32,-5.823022365570068
-34.89,-6.006245136260986
-0.75,-4.789428234100342
-1.83,-0.0970685482025146
5.14,0.209815502166748
-6.51,-11.416952133178713
-51.14,-39.81354522705078
-4.52,-7.9676408767700195
-51.0,-27.657146453857425
-8.03,-6.1963653564453125
1.72,-5.571447372436523
-27.567500000000003,-5.198427200317383
26.13,-6.531281471252441
-3.56,-6.566951751708984
-0.82,-5.538150310516357
-39.01,-2.9687328338623047
2.63,-6.990583419799805
1.49,-4.387001514434815
5.9275,-4.778185844421387
16.08,-6.4017839431762695
3.03,-8.956544876098633
12.168,-1.844013214111328
-6.67,-5.658336162567139
-7.12,0.5730404853820801
1.96,-2.33831787109375
-4.41,-7.622029304504394
5.81,-6.247890949249268
2.11,-5.803459167480469
-15.74,-7.665452003479004
-36.76,-35.88999938964844
-1.27,-12.991426467895508
0.74,-11.40030288696289
-12.67,-7.493453025817871
-9.56,-5.331211566925049
2.29,-10.91799545288086
-23.02,-1.1115593910217283
-2.77,-3.5918397903442383
-8.57,-5.656210899353027
3.71,-4.832901954650879
66.3825,1.3925981521606443
3.4,-1.8420100212097168
-77.11,-24.334917068481445
-5.4025,-2.408777236938477
-35.09,-12.466958999633787
-31.57,-7.9875288009643555
-17.12,-10.137463569641112
1.18,-4.839991569519043
0.07,-12.465340614318848
-11.585,-5.56640625
1.15,-10.95842742919922
-13.9475,-6.129318714141846
-1.84,-34.42755126953125
-4.26,-5.809445381164551
6.61,-3.4471206665039062
2.917,2.0755414962768555
-66.79,-43.2667236328125
-12.91,-6.388672828674316
0.96,-6.201401233673096
6.5,-4.712862968444824
-5.53,-6.420550346374512
10.93,-5.776008129119873
-22.6775,-3.434903621673584
-2.04,-6.640117168426514
3.83,-0.4505434036254883
-9.93,-12.690290451049805
-5.34,-9.55674171447754
-7.31,-10.104314804077148
-22.74,-6.031603813171387
-2.235,-6.009561538696289
-6.33,-8.092252731323242
-25.39,-11.805798530578612
