Score,Pred Score
-6.27,-7.776091575622559
0.82,-15.14326000213623
-57.05,-55.55693054199219
-11.7,-7.368326187133789
-1.21,-6.310359954833984
-47.93,-13.05771541595459
-3.21,-9.179442405700684
-2.84,-10.725391387939453
7.02,5.7214155197143555
10.1,-0.03868675231933594
-6.79,-16.878219604492188
-1.82,-0.5446481704711914
-9.92,-9.7984037399292
-2.22,-13.843972206115723
-7.19,-4.544157028198242
-29.44,-9.34276294708252
-0.66,-3.6574153900146484
-9.62,-12.691418647766113
0.82,-7.099496841430664
4.92,-1.385180950164795
-33.024,-25.835159301757812
3.605,-3.228931427001953
-1.35,-1.2370924949645996
5.5325,-23.472618103027344
5.08,-9.708467483520508
-46.51,-10.27435302734375
0.25,-9.021568298339844
-10.51,-4.637419700622559
10.03,-2.854619026184082
-10.24,-6.6332197189331055
0.13,0.47365427017211914
-7.48,-10.604934692382812
-12.14,-10.510714530944824
3.97,-0.9977846145629883
-5.22,-0.005605220794677734
5.18,-10.182994842529297
17.47,-3.8854589462280273
4.22,-11.847589492797852
-13.59,-5.180179595947266
-1.54,-6.342155456542969
-13.03,-3.621494770050049
2.04,-11.512898445129395
-4.94,-26.291316986083984
-6.16,-6.1387834548950195
-3.29,1.1496143341064453
-9.68,-32.080909729003906
-5.05,-3.5869011878967285
-3.42,-7.907896041870117
1.42,-13.721949577331543
3.53,-10.469396591186523
-5.82,-5.275579452514648
-3.24,-4.3812665939331055
-32.79,-8.204765319824219
-6.0,-3.0692849159240723
-3.9,-12.942153930664062
2.09,-9.887906074523926
7.79,-0.6143326759338379
-0.12,-4.127914905548096
-7.85,-14.153578758239746
-10.25,-6.054553031921387
-21.54,-25.986305236816406
9.17,-4.668761253356934
-0.36,-3.1390380859375
6.4025,2.805074691772461
-8.65,-3.830465793609619
-7.42,-10.968782424926758
-1.08,4.476077079772949
-2.55,-1.4320487976074219
-4.59,-5.257554054260254
11.27,-4.767711162567139
-6.42,0.20452404022216797
-8.67,-3.22013521194458
-13.75,-6.763631820678711
11.71,-0.5791568756103516
2.95,5.18491268157959
4.39,-6.261835098266602
0.83,1.563901424407959
-45.58,-14.926006317138672
1.17,-3.1641597747802734
0.62,3.0064802169799805
-2.39,-1.8950371742248535
6.48,1.335794448852539
0.14,-0.3311624526977539
-9.37,-6.992838382720947
-9.59,-5.279329299926758
-7.05,-3.190619468688965
-0.89,-17.17477798461914
-8.1975,-20.49312973022461
-3.09,-3.4231724739074707
-5.66,-4.985051155090332
-12.65,-28.879602432250977
0.54,-1.6919164657592773
-11.88,-27.404191970825195
-73.53,-2.9054484367370605
-16.06,-7.087224006652832
-12.07,-7.344478607177734
-0.12,1.4561729431152344
-14.68,-0.0854349136352539
14.03,0.40589046478271484
-30.92,-10.815006256103516
-5.41,-5.767407417297363
4.5225,-0.29585933685302734
-10.25,3.313694477081299
-3.09,-2.5357532501220703
-6.2,-3.23422908782959
-5.5,-7.912191390991211
-45.68,-27.798675537109375
-1.47,1.9337577819824219
-8.56,-5.340078353881836
-5.0,-8.020172119140625
5.15,-27.27644920349121
-3.7,-0.7485876083374023
-1.06,-1.5129218101501465
-3.59,-1.794637680053711
5.13,-17.114181518554688
-3.2,-0.3892383575439453
-2.09,-2.8714656829833984
-24.72,-3.9652023315429688
-32.123,-14.752395629882812
6.49,1.6802129745483398
-2.34,-2.088015556335449
-37.47,-36.879173278808594
-8.12,-3.0182418823242188
-6.57,-27.349884033203125
-11.9,-14.876466751098633
-0.85,-2.2513837814331055
-4.34,-3.869082450866699
7.54,-6.612066745758057
-2.34,-13.187887191772461
-0.66,-4.407827377319336
-1.91,-6.044038772583008
-36.38,-11.984514236450195
-2.52,-3.363339424133301
-3.12,-3.920936107635498
-3.18,-15.624308586120605
-1.13,-3.1616668701171875
-4.61,-7.314929008483887
-1.32,-48.5868034362793
3.5,-2.705068588256836
8.41,-3.7124006748199463
-22.798,-15.338196754455566
-31.28,-14.910873413085938
-1.43,3.9361705780029297
-13.38,-4.4571380615234375
-11.28,-4.1267547607421875
2.04,-0.8275437355041504
-39.875,-15.357243537902832
4.26,-7.521844863891602
1.13,-4.103177547454834
-29.32,-15.668695449829102
8.7,-1.5164337158203125
9.52,1.2502155303955078
6.24,1.7482213973999023
6.06,-6.236975193023682
-6.43,-10.00832748413086
0.17,-7.9853668212890625
