Score,Pred Score
-17.9,-6.328302383422852
-2.55,-9.980724334716797
5.08,-1.7873637676239014
-28.831,-21.563140869140625
-8.91,-1.9703187942504883
5.265000000000001,2.793001174926758
-4.16,-11.79191780090332
7.09,6.413488388061523
0.23,-4.77339506149292
-38.75,-13.003744125366211
-11.07,-4.314555644989014
1.5,-8.267398834228516
-0.52,-2.654404640197754
-4.68,-7.475064277648926
-8.22,-13.031416893005371
2.5925,-8.793268203735352
-2.96,-3.0000877380371094
-80.0,-38.68623352050781
-75.32,-70.64581298828125
-68.78,-24.12125015258789
-4.41,-8.287324905395508
1.12,-5.787457466125488
-2.14,-10.16630744934082
-0.87,-2.9886584281921387
-0.66,-3.6316208839416504
-15.01,-6.422922134399414
-12.23,-23.070110321044922
-11.38,-0.6608090400695801
17.43,-16.27593231201172
5.28,0.7062630653381348
-0.44,-2.4011590480804443
-12.0,-16.49789810180664
-1.45,-2.844757080078125
-1.36,-2.0688066482543945
1.5,-3.1910667419433594
14.15,-3.424753189086914
2.07,-12.919099807739258
-1.56,-0.9452977180480957
4.23,-4.356654167175293
-30.18,-4.456089496612549
-11.16,-24.88113021850586
-17.64,-12.998790740966797
-49.14,-24.66950798034668
0.68,4.446649551391602
-1.42,-8.826994895935059
-9.74,-10.144814491271973
-6.13,-2.409590721130371
-0.71,-0.962507963180542
-22.22,-8.88902473449707
-3.86,-7.151882648468018
-9.15,-3.6011438369750977
-2.08,-27.767305374145508
-3.89,-10.113731384277344
-13.09,-10.059450149536133
-6.415,-10.31794261932373
-0.72,-2.0733466148376465
6.02,7.981768608093262
-40.89,-12.834333419799805
4.4,-2.5184051990509033
-6.57,-16.5433349609375
5.02,0.39635467529296875
-2.75,-7.6059088706970215
-12.23,-7.417141914367676
-28.07,-19.945575714111328
-17.98,-7.936966896057129
-2.85,-8.022383689880371
-10.24,-3.88193416595459
-4.1,-14.488822937011719
-2.89,-6.875215530395508
-2.4,-10.092650413513184
-0.22,-5.5917205810546875
-15.04,-0.665593147277832
-9.84,-15.976448059082031
-1.33,-3.7287607192993164
-22.79,-19.277515411376953
4.61,6.000297546386719
-17.51,-6.602988243103027
4.87,-4.823363780975342
-21.94,-28.72148895263672
-3.25,-3.1564254760742188
-33.48,-18.875499725341797
-3.3,-11.523751258850098
7.74,-2.428410530090332
3.41,-4.816250324249268
2.67,3.277507781982422
7.22,4.935062885284424
-12.15,-8.308226585388184
-2.07,-7.768813133239746
3.96,-12.752986907958984
-52.23,-36.772491455078125
-2.86,-5.077795505523682
-5.23,-4.82680606842041
-12.18,-0.5737900733947754
1.93,-13.584467887878418
0.89,-1.1707830429077148
-20.56,-17.962215423583984
-1.62,-6.032166481018066
-0.5,-3.6535463333129883
-8.48,-16.351041793823242
2.71,-8.818854331970215
-8.64,-8.397663116455078
-0.45,-3.69712495803833
-5.57,-6.709844589233398
5.3175,3.5622053146362305
-0.69,-2.235154628753662
-10.1525,-25.973264694213867
-1.23,-6.7744140625
0.33,-2.834721565246582
8.86,-10.48758602142334
-3.94,-7.650822639465332
-39.28,-19.078380584716797
-1.31,-5.780639171600342
-26.687,-25.09597396850586
-0.85,-1.3154792785644531
-34.47,-9.966507911682129
3.02,-4.971011161804199
2.31,-8.493581771850586
-69.8,-32.28401565551758
-23.8,0.6115036010742188
-9.0,-3.329897165298462
-59.28,-46.918739318847656
-28.42,-15.286669731140137
1.46,-1.775752305984497
5.34,5.685699462890625
-7.86,-8.974940299987793
-5.27,-13.454231262207031
-8.07,-12.00321102142334
-2.84,-2.8817553520202637
-5.62,-1.4220647811889648
-3.22,-2.5288543701171875
-3.21,-2.2549502849578857
-9.78,-4.157558441162109
-3.65,-4.002419471740723
-4.96,-4.627577781677246
-3.56,-0.5388584136962891
5.8525,-6.978704452514648
-5.68,-6.746045112609863
-2.28,5.617913246154785
11.24,-0.7038247585296631
-21.4,-30.71489906311035
-2.49,-6.44273567199707
-1.62,-1.1628823280334473
6.78,-2.530506134033203
8.68,-1.8449177742004395
-30.96,-27.43421745300293
-1.34,-4.333111763000488
-8.28,-3.3334126472473145
-4.08,1.7696952819824219
-5.46,-12.218667984008789
2.58,1.1185803413391113
6.64,-2.202512741088867
3.48,-1.0262432098388672
-2.96,-4.9119110107421875
-8.75,-4.997971057891846
-5.39,-7.715611934661865
-1.52,-1.427262306213379
-0.12,-12.674077987670898
3.65,-3.021986484527588
-0.0375,-4.6555938720703125
2.96,-2.0454483032226562
-20.12,-9.026578903198242
-23.7,-8.339668273925781
1.18,-0.9126076698303223
-24.14,-4.520565986633301
-34.15,-3.20721435546875
-13.7,-35.13189697265625
-11.77,-6.237295150756836
-8.82,-13.111326217651367
1.89,-1.098435401916504
-19.94,-14.321403503417969
-5.71,-2.6710124015808105
-77.95,-33.87889862060547
-1.06,-9.07287883758545
15.42,3.86789608001709
1.83,-2.537036657333374
-40.69,-57.54658126831055
1.12,1.761888861656189
-52.72,-35.523948669433594
-9.74,-1.7324790954589844
4.62,-20.291433334350586
4.75,-5.869697570800781
0.65,-0.867222785949707
-1.31,0.7358074188232422
12.36,-0.6522388458251953
-34.78,-23.62195587158203
-12.59,-5.743505954742432
-0.41,-12.56464958190918
1.45,-7.377302646636963
-4.98,-5.151864528656006
-24.35,-26.562042236328125
-41.38,-8.850496292114258
10.04,6.1178717613220215
-0.2525000000000001,1.5802087783813477
1.58,-7.695029258728027
14.47,-5.854986190795898
-31.08,-11.738859176635742
-12.83,-2.3238368034362793
-10.7625,-6.867193698883057
-2.63,-3.2721328735351562
-72.75,-54.134620666503906
2.77,-0.9411478042602539
-10.26,-8.079723358154297
-60.18,-46.232154846191406
3.66,-12.554304122924805
-18.54,-20.130828857421875
-4.47,-2.503966808319092
-5.4,-3.300023078918457
-5.73,-5.211015224456787
-9.27,-2.397089958190918
-0.29,-3.009917736053467
0.64,-7.179125785827637
