Drug A,Drug B,Cell Line Name,Study Name,Score
Vatalanib,Pioglitazone,UACC-257,FRIEDMAN,-1.24763099974921
Lestaurtinib,Linsitinib,RPMI7951,FRIEDMAN,-18.3596440451736
Romidepsin,Lapatinib,T-47D,ALMANAC,-33.1239857400473
Vemurafenib,Sunitinib,UO-31,ALMANAC,2.53639809293939
Vismodegib,Erlotinib,COLO 792,FRIEDMAN,-5.34836570502546
Ruxolitinib,Imatinib,UACC62,ALMANAC,-7.08818443049842
Abiraterone,raloxifene,IGROV1,ALMANAC,-4.82351552730086
Ruxolitinib,Axitinib,SN12C,ALMANAC,-1.73588239984917
Nilotinib,Pioglitazone,MeWo,FRIEDMAN,-8.99917850711853
Vandetanib,Crizotinib,786-0,ALMANAC,-1.18991114546778
Fulvestrant,Sorafenib,MDA-MB-231,ALMANAC,2.65571229611472
vinblastine,Sorafenib,A2780,ONEIL,4.338369925074482
Dasatinib,geldanamycin,RPMI7951,ONEIL,-0.3887710448227697
Imatinib,Fulvestrant,SN12C,ALMANAC,-3.21680728227897
Abiraterone,Sorafenib,NCI-H226,ALMANAC,-10.3442831235297
raloxifene,Lenalidomide,SK-MEL-5,ALMANAC,3.34168889787017
Fingolimod,Crizotinib,SK-MEL-5,FRIEDMAN,-5.91642645602158
Nilotinib,mitotane,MDA-MB-468,ALMANAC,2.75517896114404
Lestaurtinib,Midostaurin,UACC62,FRIEDMAN,-12.0937100039059
Lenalidomide,SNS-032,A375,FRIEDMAN,-3.60219336139636
Crizotinib,raloxifene,MCF7,ALMANAC,10.1321928625797
MEGESTROL ACETATE,Fulvestrant,K-562,ALMANAC,-4.99207054071392
MEGESTROL ACETATE,Vemurafenib,HOP-92,ALMANAC,-9.56481118609292
MEGESTROL ACETATE,mitotane,SF-539,ALMANAC,-3.11357336169905
Gefitinib,Sunitinib,RPMI-8226,ALMANAC,6.76318196189672
Abiraterone,Vemurafenib,BT-549,ALMANAC,-0.454246358138563
Fingolimod,Cediranib,WT2-iPS,FRIEDMAN,-13.0745594724457
Ruxolitinib,Palbociclib,UACC-257,FRIEDMAN,13.6931257715842
Abiraterone,MEGESTROL ACETATE,SW-620,ALMANAC,-6.26792690294474
metformin,Dasatinib,NCIH2122,ONEIL,-34.48768519828235
Axitinib,Sorafenib,HOP-92,ALMANAC,-12.7243755974588
Sunitinib,Cediranib,G-361,FRIEDMAN,-6.5263413538703
Imatinib,mitotane,SF-295,ALMANAC,0.808630882689279
Nilotinib,Palbociclib,A375,FRIEDMAN,-7.49136158701149
Gefitinib,MEGESTROL ACETATE,SK-MEL-5,ALMANAC,-34.2151259362689
Gefitinib,Vemurafenib,SK-OV-3,ALMANAC,-9.69525351589588
Vandetanib,Lapatinib,A498,ALMANAC,-6.62243899123703
Crizotinib,Vandetanib,NCI-H322M,ALMANAC,-14.2432354632034
Vorinostat,Lapatinib,A375,ONEIL,-10.739322929783883
metformin,Sorafenib,OCUBM,ONEIL,-20.7592210135025
raloxifene,Nilotinib,UO-31,ALMANAC,1.44250342205316
SNS-032,Pioglitazone,MZ-MEL-2,FRIEDMAN,8.41219310197186
Crizotinib,Tanespimycin,A375,FRIEDMAN,-18.0994475986521
Ruxolitinib,Gefitinib,HS 578T,ALMANAC,1.75418055571227
celecoxib,Dasatinib,U251,ALMANAC,2.26287384238852
Lapatinib,Tanespimycin,COLO 800,FRIEDMAN,-15.2075913210371
ondansetron,Ruxolitinib,L-1236,NCATS_HL,-15.1780986513519
Ruxolitinib,Abiraterone,HCT-15,ALMANAC,-1.87225773277833
Romidepsin,Vorinostat,TK-10,ALMANAC,-19.6897453691466
Axitinib,Vorinostat,MCF7,ALMANAC,-0.215349626945053
paclitaxel,Dasatinib,U251,ALMANAC,7.23787804433036
Vismodegib,Imatinib,NCI-H226,ALMANAC,-0.790555102856174
Linsitinib,Lenalidomide,IPC-298,FRIEDMAN,-8.84200611716976
Lenalidomide,MEGESTROL ACETATE,U251,ALMANAC,-2.41961721643837
Pazopanib,Nilotinib,COLO 829,FRIEDMAN,-22.0172861681957
Fulvestrant,Sorafenib,OVCAR-5,ALMANAC,-9.92379550769087
Crizotinib,Lapatinib,SKMEL30,FRIEDMAN,8.77468811841399
Gefitinib,Fulvestrant,MDA-MB-175-VII,ASTRAZENECA,-21.470650350883
Gefitinib,Nilotinib,NCI-H322M,ALMANAC,-9.6538627550033
Crizotinib,Lenalidomide,WM115,FRIEDMAN,-15.8515752347255
Nilotinib,Linsitinib,COLO 792,FRIEDMAN,9.57737001627004
Enzastaurin,Linsitinib,SK-MEL-28,FRIEDMAN,10.1783535931409
Romidepsin,Dasatinib,NCIH23,ALMANAC,-16.5117391433047
raloxifene,Vismodegib,M14,ALMANAC,-3.33546672456527
Gefitinib,Crizotinib,HOP-62,ALMANAC,2.79185049167976
Sunitinib,mitotane,SNB-75,ALMANAC,-0.347821214648539
Vatalanib,RAF265,MeWo,FRIEDMAN,1.82030493788631
Vismodegib,Abiraterone,PC-3,ALMANAC,-2.27176194260238
Nilotinib,Midostaurin,LOX IMVI,FRIEDMAN,-22.429994240472
Vorinostat,mitotane,EKVX,ALMANAC,-1.18375050870221
Nilotinib,Tideglusib,SK-MEL-2,FRIEDMAN,-0.535791212822789
MEGESTROL ACETATE,Fulvestrant,SR,ALMANAC,-3.89359235610436
Sunitinib,mitotane,SK-OV-3,ALMANAC,-1.86538365356632
Crizotinib,Imatinib,SK-OV-3,ALMANAC,-4.93683993075132
Vemurafenib,Romidepsin,T-47D,ALMANAC,-33.4208624987435
Romidepsin,Fulvestrant,TK-10,ALMANAC,-20.5195596469453
Sorafenib,Tanespimycin,COLO 829,FRIEDMAN,-15.769639488747
VX-702,Lapatinib,SK-MEL-28,FRIEDMAN,-7.3422247187578
Gefitinib,paclitaxel,SNB-75,ALMANAC,10.9551415369428
Nilotinib,paclitaxel,PC-3,ALMANAC,-7.63687591021684
Crizotinib,Lenalidomide,OVCAR-4,ALMANAC,-1.7364820411783
Vemurafenib,Fulvestrant,ACHN,ALMANAC,1.33896272240888
raloxifene,Dasatinib,786-0,ALMANAC,-28.282599832503
Axitinib,celecoxib,MOLT-4,ALMANAC,6.56721118902929
Enzastaurin,Dasatinib,IST-MEL1,FRIEDMAN,16.7878415404534
paclitaxel,Vorinostat,RPMI-8226,ALMANAC,-31.0634003231294
Abiraterone,mitotane,SK-MEL-2,ALMANAC,-1.56227829139379
dexamethasone,Vorinostat,SKMEL30,ONEIL,-15.957982665262508
Bexarotene,Vatalanib,WT2-iPS,FRIEDMAN,-11.4882767345485
raloxifene,Sunitinib,NCI-H226,ALMANAC,-2.90944060560592
celecoxib,Dasatinib,NCI-H322M,ALMANAC,-1.77708445288184
Pazopanib,Linsitinib,LOX IMVI,FRIEDMAN,-11.5624658502161
Sorafenib,thalidomide,OVCAR-8,ALMANAC,-3.41443367743058
Vemurafenib,Dasatinib,OVCAR-4,ALMANAC,-0.60201599357084
celecoxib,paclitaxel,HCC-2998,ALMANAC,4.0229125058703
Vismodegib,Imatinib,HCC-2998,ALMANAC,-3.05062376092584
raloxifene,Abiraterone,K-562,ALMANAC,-2.65246225017647
Navitoclax,Tideglusib,LB2518-MEL,FRIEDMAN,-3.66009325492376
Tanespimycin,Vorinostat,WM115,FRIEDMAN,-16.1824665756528
Crizotinib,Fulvestrant,M14,ALMANAC,2.83957900116803
Vismodegib,Cediranib,Mel Ho,FRIEDMAN,1.59602150887536
Nilotinib,Cediranib,WT2-iPS,FRIEDMAN,-0.119936341706098
Dasatinib,thalidomide,HS 578T,ALMANAC,-22.715808365211
Navitoclax,Sunitinib,IST-MEL1,FRIEDMAN,1.51543116740358
Vemurafenib,Romidepsin,IGROV1,ALMANAC,-77.030348131243
Vorinostat,Dasatinib,SF-539,ALMANAC,-5.44468760268627
Abiraterone,MEGESTROL ACETATE,NCI-H522,ALMANAC,-3.6801673877213
Vismodegib,Lapatinib,IGROV1,ALMANAC,-11.2768659682133
pravastatin,Ruxolitinib,L-1236,NCATS_HL,-23.4677554902435
Lenalidomide,Cediranib,A101D,FRIEDMAN,-7.64747602086535
Vemurafenib,Lapatinib,HCC-2998,ALMANAC,-8.45075054192652
Crizotinib,Imatinib,SN12C,ALMANAC,-8.45540166667555
Lenalidomide,Midostaurin,MeWo,FRIEDMAN,-11.8245821628218
