Drug A,Drug B,Cell Line Name,Study Name,Score,Pred Score
Dasatinib,Lenalidomide,A2058,FRIEDMAN,-10.4421941416379,-5.069304466247559
alfuzosin,Ruxolitinib,L-1236,NCATS_HL,-20.415937842574,-12.605295181274414
Ruxolitinib,Nilotinib,OVCAR-5,ALMANAC,-7.68362417458673,-5.2223968505859375
Lestaurtinib,Midostaurin,LOX IMVI,FRIEDMAN,-41.2216846057537,-4.055017471313477
Tideglusib,Lapatinib,UACC-257,FRIEDMAN,4.79864898330136,-0.603724479675293
Tolvaptan,Ruxolitinib,L-1236,NCATS_HL,-32.0370930046522,-13.340267181396484
Linsitinib,Lapatinib,SK-MEL-28,FRIEDMAN,12.9935109358931,-1.6059083938598633
Crizotinib,Dasatinib,A101D,FRIEDMAN,-30.6447286216216,-2.5720880031585693
celecoxib,Dasatinib,OVCAR-4,ALMANAC,-1.50354104374073,-6.021818161010742
Abiraterone,MEGESTROL ACETATE,SK-OV-3,ALMANAC,-4.26460031196013,-3.122750759124756
mitotane,thalidomide,NCIH23,ALMANAC,-6.38504845900417,-3.234661102294922
Ruxolitinib,Axitinib,MDA-MB-231,ALMANAC,-7.12422334674708,-2.6510009765625
Lapatinib,Sorafenib,RPMI-8226,ALMANAC,-13.5536998315198,-3.68639087677002
raloxifene,Vorinostat,OVCAR3,ALMANAC,-4.55888290533162,-12.679922103881836
paclitaxel,Lapatinib,M14,ALMANAC,-6.75232109042226,-7.208258152008057
paclitaxel,Dasatinib,EKVX,ALMANAC,-2.46814384883699,-5.765657424926758
Dasatinib,mitotane,ACHN,ALMANAC,-15.6634750273414,-5.823673725128174
Lestaurtinib,Sunitinib,SK-MEL-28,FRIEDMAN,-15.1312085451397,-1.2589044570922852
Lenalidomide,paclitaxel,SK-MEL-28,ALMANAC,-28.701426665276,-11.050522804260254
Vismodegib,Fulvestrant,DU-145,ALMANAC,3.72082811782698,-3.842235565185547
Vandetanib,Fulvestrant,M14,ALMANAC,1.9063950775947,-2.8647594451904297
Vismodegib,Imatinib,786-0,ALMANAC,-4.27685908501249,-6.322282791137695
Linsitinib,Lapatinib,451Lu,FRIEDMAN,-12.0718754405752,-1.8258256912231443
Sunitinib,Lapatinib,LOVO,ONEIL,9.06213659212517,-3.3533992767333984
Sunitinib,Fulvestrant,UO-31,ALMANAC,0.218929563308117,-3.579965829849243
celecoxib,mitotane,T-47D,ALMANAC,-1.00525088583301,-4.356585502624512
Erlotinib,Dasatinib,MeWo,FRIEDMAN,13.6192061689873,-2.699537992477417
Vemurafenib,MEGESTROL ACETATE,HCC-2998,ALMANAC,-10.2777534768671,-3.583963394165039
Vismodegib,mitotane,A549,ALMANAC,-2.07305947106928,-2.0620059967041016
Linsitinib,Lapatinib,A101D,FRIEDMAN,-2.55235448313782,-2.216686248779297
Vemurafenib,thalidomide,COLO 205,ALMANAC,-20.5803141003491,-3.264223098754883
Vandetanib,celecoxib,NCI-H460,ALMANAC,-9.51984892004568,-2.6780691146850586
Lapatinib,Erlotinib,CAOV3,ONEIL,4.54734483862441,-2.0066165924072266
Vorinostat,Cediranib,Mel Ho,FRIEDMAN,6.30230180508677,-7.184769153594971
Romidepsin,Fulvestrant,K-562,ALMANAC,-57.3143481111111,-27.35696029663086
paclitaxel,Dasatinib,UACC62,ALMANAC,-0.15164661638559,-7.270721912384033
mitotane,thalidomide,K-562,ALMANAC,-7.895926814476,-3.301595687866211
Imatinib,Nilotinib,CAKI-1,ALMANAC,-2.62494670489677,-1.8213129043579104
Pazopanib,Tideglusib,WM115,FRIEDMAN,-6.39816157929754,-0.2019548416137695
Sorafenib,Lenalidomide,SK-MEL-5,FRIEDMAN,0.727658304513107,-4.850192070007324
Sorafenib,thalidomide,LOX IMVI,ALMANAC,-4.91607682927375,-3.769505500793457
Vandetanib,Sorafenib,SK-OV-3,ALMANAC,-16.4414496439087,-6.252145290374756
Bexarotene,Tanespimycin,RVH-421,FRIEDMAN,-34.2179341569251,7.355727195739746
mitotane,Fulvestrant,MDA-MB-468,ALMANAC,3.45659936548068,-1.6672577857971191
Navitoclax,Sunitinib,WM115,FRIEDMAN,18.4854957312447,-3.792855739593506
Sunitinib,Palbociclib,COLO 792,FRIEDMAN,-1.94499347376707,-0.725616455078125
Vemurafenib,Dasatinib,OVCAR-5,ALMANAC,-6.26028435280159,-8.218398094177246
Axitinib,Nilotinib,CAKI-1,ALMANAC,1.94014952846204,-1.4144158363342283
Sorafenib,Cediranib,G-361,FRIEDMAN,-22.3018709788366,-2.34740686416626
Vemurafenib,Vemurafenib,SNB-75,ALMANAC,2.22618747295144,-3.280479431152344
Lestaurtinib,Sunitinib,Mel Ho,FRIEDMAN,1.1915853114573,-0.6256580352783203
Lapatinib,thalidomide,OVCAR3,ALMANAC,-5.16590399643504,-0.925124168395996
Pazopanib,Vismodegib,WT2-iPS,FRIEDMAN,-7.93554553982811,-2.4694972038269043
vinblastine,Vorinostat,SW-620,ONEIL,-7.940842049461227,-1.8393020629882808
Ruxolitinib,Sunitinib,NCIH23,ALMANAC,-3.52818526036687,-7.951736450195312
Vemurafenib,mitotane,UO-31,ALMANAC,4.89052308353212,-0.5559091567993164
Vorinostat,Sunitinib,OCUBM,ONEIL,-1.8239337240231763,-7.206943511962891
Vatalanib,Lenalidomide,RVH-421,FRIEDMAN,-8.51854031711709,-3.869752407073975
raloxifene,Abiraterone,SF-539,ALMANAC,0.223224642735056,-0.2885928153991699
Crizotinib,Lapatinib,ACHN,ALMANAC,0.502295284510136,1.5472674369812012
Lestaurtinib,Bexarotene,A101D,FRIEDMAN,-11.2374087938664,-6.284228324890137
Sorafenib,SNS-032,COLO 829,FRIEDMAN,-14.7500177200712,-3.877143859863281
vinblastine,Sunitinib,A2058,ONEIL,2.63157412115867,-3.900403022766113
Abiraterone,raloxifene,OVCAR-5,ALMANAC,4.41128824504849,-1.756037712097168
raloxifene,MEGESTROL ACETATE,UACC-257,ALMANAC,-2.64795588531004,-4.40360164642334
Enzastaurin,Fingolimod,SKMEL30,FRIEDMAN,-53.5612387520528,-14.16167163848877
Fingolimod,Dasatinib,RVH-421,FRIEDMAN,-4.91063181234252,-7.13663387298584
Erlotinib,SNS-032,MZ-MEL-2,FRIEDMAN,-6.31829699729001,-8.039671897888184
Vismodegib,Vemurafenib,UO-31,ALMANAC,1.06233622150143,-5.566355228424072
Vandetanib,Vemurafenib,LOX IMVI,ALMANAC,5.36076392609526,-5.868186950683594
Crizotinib,MEGESTROL ACETATE,SF-268,ALMANAC,-9.66588250402445,-2.3251700401306152
Ruxolitinib,Sunitinib,RPMI-8226,ALMANAC,-6.84877751217965,-5.284563064575195
Dasatinib,Lenalidomide,UACC-257,FRIEDMAN,-18.0909624325724,-5.336490154266357
Vemurafenib,Lenalidomide,NCIH23,ALMANAC,-2.38964701681669,-3.9112706184387207
raloxifene,Lenalidomide,MDA-MB-231,ALMANAC,-1.3829597787012,-6.227705001831055
Vorinostat,Sorafenib,T-47D,ONEIL,-6.22433036882608,-8.842402458190918
Vandetanib,Ruxolitinib,UO-31,ALMANAC,2.21236276924139,-2.087238311767578
Lenalidomide,Crizotinib,HOP-92,ALMANAC,-1.09400203748942,-4.274692058563232
Navitoclax,Lapatinib,SKMEL30,FRIEDMAN,10.7757053696348,0.6600794792175293
Nilotinib,Sunitinib,MOLT-4,ALMANAC,-7.87806885869872,-2.5568199157714844
Lenalidomide,Cediranib,SK-MEL-5,FRIEDMAN,-9.53774948646416,-3.581240177154541
Bexarotene,SNS-032,451Lu,FRIEDMAN,-5.77775722830228,-8.64332389831543
Vandetanib,thalidomide,NCI-H226,ALMANAC,2.60059900504982,-0.7071132659912109
Vorinostat,Pioglitazone,COLO 829,FRIEDMAN,-5.42620608884564,-9.246574401855469
Axitinib,Vorinostat,MDA-MB-468,ALMANAC,-4.40836422828739,-12.093130111694336
Nilotinib,mitotane,LOX IMVI,ALMANAC,-12.4297940940224,-0.7839994430541992
Vandetanib,thalidomide,MCF7,ALMANAC,1.84263435050728,-1.857316017150879
Pazopanib,Palbociclib,MZ-MEL-2,FRIEDMAN,10.3879416059179,1.7075674533843994
Crizotinib,Imatinib,UO-31,ALMANAC,-4.08849516979829,-2.7663726806640625
Vorinostat,mitotane,PC-3,ALMANAC,-41.6911815219053,-8.230917930603027
Ruxolitinib,paclitaxel,MDA-MB-468,ALMANAC,-30.802121219926,-12.49194049835205
vinblastine,Vorinostat,NCIH2122,ONEIL,2.35160533891099,-4.175143241882324
Imatinib,Fulvestrant,CAKI-1,ALMANAC,-5.67566681250455,-2.954309225082397
Vismodegib,Abiraterone,HCC-2998,ALMANAC,-6.55565881756565,-1.5167555809020996
Ruxolitinib,Lenalidomide,MZ-MEL-2,FRIEDMAN,-2.73583121523433,-5.582947254180908
Vandetanib,Nilotinib,RPMI-8226,ALMANAC,-5.74591087340364,-3.488039016723633
Vismodegib,Romidepsin,SF-295,ALMANAC,-30.2202247503139,-32.4283447265625
Vandetanib,Crizotinib,SK-MEL-2,ALMANAC,-1.06226181676605,-3.7203426361083984
Sunitinib,Fulvestrant,SW-620,ALMANAC,-1.83827364180894,-3.4107627868652344
Ruxolitinib,Lapatinib,SR,ALMANAC,-6.59217478414673,-1.679682731628418
Vismodegib,Lenalidomide,NCIH23,ALMANAC,-2.39578495140557,-3.941650390625
raloxifene,Vorinostat,NCI-H460,ALMANAC,-4.60754787132577,-13.266584396362305
Linsitinib,Lapatinib,UACC62,FRIEDMAN,-4.91395550102772,-1.820024490356445
