Drug A,Drug B,Cell Line Name,Study Name,Score,Pred Score
Dasatinib,Lenalidomide,A2058,FRIEDMAN,-10.4421941416379,-9.044620513916016
alfuzosin,Ruxolitinib,L-1236,NCATS_HL,-20.415937842574,-18.8342514038086
Ruxolitinib,Nilotinib,OVCAR-5,ALMANAC,-7.68362417458673,-5.756036758422852
Lestaurtinib,Midostaurin,LOX IMVI,FRIEDMAN,-41.2216846057537,-3.3339922428131104
Tideglusib,Lapatinib,UACC-257,FRIEDMAN,4.79864898330136,-5.607553482055664
Tolvaptan,Ruxolitinib,L-1236,NCATS_HL,-32.0370930046522,-11.92970085144043
Linsitinib,Lapatinib,SK-MEL-28,FRIEDMAN,12.9935109358931,-3.833981990814209
Crizotinib,Dasatinib,A101D,FRIEDMAN,-30.6447286216216,-3.383369207382202
celecoxib,Dasatinib,OVCAR-4,ALMANAC,-1.50354104374073,-6.460836410522461
Abiraterone,MEGESTROL ACETATE,SK-OV-3,ALMANAC,-4.26460031196013,-1.614763617515564
mitotane,thalidomide,NCIH23,ALMANAC,-6.38504845900417,-5.79080867767334
Ruxolitinib,Axitinib,MDA-MB-231,ALMANAC,-7.12422334674708,-7.803119659423828
Lapatinib,Sorafenib,RPMI-8226,ALMANAC,-13.5536998315198,-4.477780342102051
raloxifene,Vorinostat,OVCAR3,ALMANAC,-4.55888290533162,-11.40797233581543
paclitaxel,Lapatinib,M14,ALMANAC,-6.75232109042226,-5.2969255447387695
paclitaxel,Dasatinib,EKVX,ALMANAC,-2.46814384883699,-3.639139890670776
Dasatinib,mitotane,ACHN,ALMANAC,-15.6634750273414,-5.580242156982422
Lestaurtinib,Sunitinib,SK-MEL-28,FRIEDMAN,-15.1312085451397,-3.931559801101685
Lenalidomide,paclitaxel,SK-MEL-28,ALMANAC,-28.701426665276,-15.976573944091797
Vismodegib,Fulvestrant,DU-145,ALMANAC,3.72082811782698,-1.3974305391311646
Vandetanib,Fulvestrant,M14,ALMANAC,1.9063950775947,-0.6914678812026978
Vismodegib,Imatinib,786-0,ALMANAC,-4.27685908501249,-5.23102331161499
Linsitinib,Lapatinib,451Lu,FRIEDMAN,-12.0718754405752,-2.7000844478607178
Sunitinib,Lapatinib,LOVO,ONEIL,9.06213659212517,-4.813640594482422
Sunitinib,Fulvestrant,UO-31,ALMANAC,0.218929563308117,-0.9333345293998718
celecoxib,mitotane,T-47D,ALMANAC,-1.00525088583301,-23.89034652709961
Erlotinib,Dasatinib,MeWo,FRIEDMAN,13.6192061689873,-4.3217387199401855
Vemurafenib,MEGESTROL ACETATE,HCC-2998,ALMANAC,-10.2777534768671,-3.812222719192505
Vismodegib,mitotane,A549,ALMANAC,-2.07305947106928,-2.9188921451568604
Linsitinib,Lapatinib,A101D,FRIEDMAN,-2.55235448313782,-2.5191478729248047
Vemurafenib,thalidomide,COLO 205,ALMANAC,-20.5803141003491,-6.442058563232422
Vandetanib,celecoxib,NCI-H460,ALMANAC,-9.51984892004568,-2.9370036125183105
Lapatinib,Erlotinib,CAOV3,ONEIL,4.54734483862441,-3.2161827087402344
Vorinostat,Cediranib,Mel Ho,FRIEDMAN,6.30230180508677,-8.142831802368164
Romidepsin,Fulvestrant,K-562,ALMANAC,-57.3143481111111,-41.64031219482422
paclitaxel,Dasatinib,UACC62,ALMANAC,-0.15164661638559,-5.169873237609863
mitotane,thalidomide,K-562,ALMANAC,-7.895926814476,-5.881992816925049
Imatinib,Nilotinib,CAKI-1,ALMANAC,-2.62494670489677,-3.2563700675964355
Pazopanib,Tideglusib,WM115,FRIEDMAN,-6.39816157929754,-4.221360206604004
Sorafenib,Lenalidomide,SK-MEL-5,FRIEDMAN,0.727658304513107,-6.864871025085449
Sorafenib,thalidomide,LOX IMVI,ALMANAC,-4.91607682927375,-4.5330586433410645
Vandetanib,Sorafenib,SK-OV-3,ALMANAC,-16.4414496439087,-2.300898551940918
Bexarotene,Tanespimycin,RVH-421,FRIEDMAN,-34.2179341569251,8.43124771118164
mitotane,Fulvestrant,MDA-MB-468,ALMANAC,3.45659936548068,-1.6118371486663818
Navitoclax,Sunitinib,WM115,FRIEDMAN,18.4854957312447,2.790124893188477
Sunitinib,Palbociclib,COLO 792,FRIEDMAN,-1.94499347376707,2.09197998046875
Vemurafenib,Dasatinib,OVCAR-5,ALMANAC,-6.26028435280159,-9.401636123657228
Axitinib,Nilotinib,CAKI-1,ALMANAC,1.94014952846204,-2.7835283279418945
Sorafenib,Cediranib,G-361,FRIEDMAN,-22.3018709788366,-3.866548538208008
Vemurafenib,Vemurafenib,SNB-75,ALMANAC,2.22618747295144,-3.0507571697235107
Lestaurtinib,Sunitinib,Mel Ho,FRIEDMAN,1.1915853114573,-3.357532262802124
Lapatinib,thalidomide,OVCAR3,ALMANAC,-5.16590399643504,-2.5887508392333984
Pazopanib,Vismodegib,WT2-iPS,FRIEDMAN,-7.93554553982811,-4.40861701965332
vinblastine,Vorinostat,SW-620,ONEIL,-7.940842049461227,-6.422263145446777
Ruxolitinib,Sunitinib,NCIH23,ALMANAC,-3.52818526036687,-5.218317031860352
Vemurafenib,mitotane,UO-31,ALMANAC,4.89052308353212,-3.527840375900269
Vorinostat,Sunitinib,OCUBM,ONEIL,-1.8239337240231763,-6.451908111572266
Vatalanib,Lenalidomide,RVH-421,FRIEDMAN,-8.51854031711709,-16.005399703979492
raloxifene,Abiraterone,SF-539,ALMANAC,0.223224642735056,-1.5067458152770996
Crizotinib,Lapatinib,ACHN,ALMANAC,0.502295284510136,-7.810286998748779
Lestaurtinib,Bexarotene,A101D,FRIEDMAN,-11.2374087938664,-6.925302028656006
Sorafenib,SNS-032,COLO 829,FRIEDMAN,-14.7500177200712,-0.0886411666870117
vinblastine,Sunitinib,A2058,ONEIL,2.63157412115867,-9.003864288330078
Abiraterone,raloxifene,OVCAR-5,ALMANAC,4.41128824504849,-5.725588798522949
raloxifene,MEGESTROL ACETATE,UACC-257,ALMANAC,-2.64795588531004,-5.200101852416992
Enzastaurin,Fingolimod,SKMEL30,FRIEDMAN,-53.5612387520528,-15.15631103515625
Fingolimod,Dasatinib,RVH-421,FRIEDMAN,-4.91063181234252,-20.968650817871094
Erlotinib,SNS-032,MZ-MEL-2,FRIEDMAN,-6.31829699729001,-3.744032382965088
Vismodegib,Vemurafenib,UO-31,ALMANAC,1.06233622150143,-4.824811935424805
Vandetanib,Vemurafenib,LOX IMVI,ALMANAC,5.36076392609526,-1.422378420829773
Crizotinib,MEGESTROL ACETATE,SF-268,ALMANAC,-9.66588250402445,-4.646651268005371
Ruxolitinib,Sunitinib,RPMI-8226,ALMANAC,-6.84877751217965,-9.421236038208008
Dasatinib,Lenalidomide,UACC-257,FRIEDMAN,-18.0909624325724,-9.639461517333984
Vemurafenib,Lenalidomide,NCIH23,ALMANAC,-2.38964701681669,-3.8703980445861816
raloxifene,Lenalidomide,MDA-MB-231,ALMANAC,-1.3829597787012,-10.671979904174805
Vorinostat,Sorafenib,T-47D,ONEIL,-6.22433036882608,-9.5946683883667
Vandetanib,Ruxolitinib,UO-31,ALMANAC,2.21236276924139,-0.1533870697021484
Lenalidomide,Crizotinib,HOP-92,ALMANAC,-1.09400203748942,-4.275287628173828
Navitoclax,Lapatinib,SKMEL30,FRIEDMAN,10.7757053696348,0.8550424575805664
Nilotinib,Sunitinib,MOLT-4,ALMANAC,-7.87806885869872,-5.386981964111328
Lenalidomide,Cediranib,SK-MEL-5,FRIEDMAN,-9.53774948646416,-6.073654174804688
Bexarotene,SNS-032,451Lu,FRIEDMAN,-5.77775722830228,-2.7890942096710205
Vandetanib,thalidomide,NCI-H226,ALMANAC,2.60059900504982,-4.529531955718994
Vorinostat,Pioglitazone,COLO 829,FRIEDMAN,-5.42620608884564,-4.446584701538086
Axitinib,Vorinostat,MDA-MB-468,ALMANAC,-4.40836422828739,-5.762271404266357
Nilotinib,mitotane,LOX IMVI,ALMANAC,-12.4297940940224,-5.1870856285095215
Vandetanib,thalidomide,MCF7,ALMANAC,1.84263435050728,-2.261989116668701
Pazopanib,Palbociclib,MZ-MEL-2,FRIEDMAN,10.3879416059179,-4.157386302947998
Crizotinib,Imatinib,UO-31,ALMANAC,-4.08849516979829,-3.6428065299987793
Vorinostat,mitotane,PC-3,ALMANAC,-41.6911815219053,-7.191458702087402
Ruxolitinib,paclitaxel,MDA-MB-468,ALMANAC,-30.802121219926,-16.500085830688477
vinblastine,Vorinostat,NCIH2122,ONEIL,2.35160533891099,-9.751571655273438
Imatinib,Fulvestrant,CAKI-1,ALMANAC,-5.67566681250455,-0.7148046493530273
Vismodegib,Abiraterone,HCC-2998,ALMANAC,-6.55565881756565,-1.9257946014404297
Ruxolitinib,Lenalidomide,MZ-MEL-2,FRIEDMAN,-2.73583121523433,-10.233789443969728
Vandetanib,Nilotinib,RPMI-8226,ALMANAC,-5.74591087340364,-1.778836965560913
