Drug A,Drug B,Cell Line Name,Study Name,Score,Pred Score
Vatalanib,Pioglitazone,UACC-257,FRIEDMAN,-1.24763099974921,-15.90113925933838
Lestaurtinib,Linsitinib,RPMI7951,FRIEDMAN,-18.3596440451736,-5.164208889007568
Romidepsin,Lapatinib,T-47D,ALMANAC,-33.1239857400473,-19.58997344970703
Vemurafenib,Sunitinib,UO-31,ALMANAC,2.53639809293939,-9.308835983276367
Vismodegib,Erlotinib,COLO 792,FRIEDMAN,-5.34836570502546,-6.221497535705566
Ruxolitinib,Imatinib,UACC62,ALMANAC,-7.08818443049842,-5.193680763244629
Abiraterone,raloxifene,IGROV1,ALMANAC,-4.82351552730086,1.9370110034942627
Ruxolitinib,Axitinib,SN12C,ALMANAC,-1.73588239984917,-4.70591926574707
Nilotinib,Pioglitazone,MeWo,FRIEDMAN,-8.99917850711853,-20.918182373046875
Vandetanib,Crizotinib,786-0,ALMANAC,-1.18991114546778,-4.721464157104492
Fulvestrant,Sorafenib,MDA-MB-231,ALMANAC,2.65571229611472,-10.314021110534668
vinblastine,Sorafenib,A2780,ONEIL,4.338369925074482,-11.71481990814209
Dasatinib,geldanamycin,RPMI7951,ONEIL,-0.3887710448227697,-13.047120094299316
Imatinib,Fulvestrant,SN12C,ALMANAC,-3.21680728227897,-6.132416725158691
Abiraterone,Sorafenib,NCI-H226,ALMANAC,-10.3442831235297,-10.266392707824709
raloxifene,Lenalidomide,SK-MEL-5,ALMANAC,3.34168889787017,-22.27833747863769
Fingolimod,Crizotinib,SK-MEL-5,FRIEDMAN,-5.91642645602158,-13.688974380493164
Nilotinib,mitotane,MDA-MB-468,ALMANAC,2.75517896114404,1.1964194774627686
Lestaurtinib,Midostaurin,UACC62,FRIEDMAN,-12.0937100039059,-5.661379814147949
Lenalidomide,SNS-032,A375,FRIEDMAN,-3.60219336139636,-13.37769603729248
Crizotinib,raloxifene,MCF7,ALMANAC,10.1321928625797,-10.896849632263184
MEGESTROL ACETATE,Fulvestrant,K-562,ALMANAC,-4.99207054071392,-8.644125938415527
MEGESTROL ACETATE,Vemurafenib,HOP-92,ALMANAC,-9.56481118609292,-11.228968620300291
MEGESTROL ACETATE,mitotane,SF-539,ALMANAC,-3.11357336169905,-0.6662108302116394
Gefitinib,Sunitinib,RPMI-8226,ALMANAC,6.76318196189672,-7.7416534423828125
Abiraterone,Vemurafenib,BT-549,ALMANAC,-0.454246358138563,-8.605531692504883
Fingolimod,Cediranib,WT2-iPS,FRIEDMAN,-13.0745594724457,-13.494987487792969
Ruxolitinib,Palbociclib,UACC-257,FRIEDMAN,13.6931257715842,-13.128944396972656
Abiraterone,MEGESTROL ACETATE,SW-620,ALMANAC,-6.26792690294474,-3.70953369140625
metformin,Dasatinib,NCIH2122,ONEIL,-34.48768519828235,-4.14867115020752
Axitinib,Sorafenib,HOP-92,ALMANAC,-12.7243755974588,-8.949264526367188
Sunitinib,Cediranib,G-361,FRIEDMAN,-6.5263413538703,-5.391844749450684
Imatinib,mitotane,SF-295,ALMANAC,0.808630882689279,-3.789724349975586
Nilotinib,Palbociclib,A375,FRIEDMAN,-7.49136158701149,-13.081658363342283
Gefitinib,MEGESTROL ACETATE,SK-MEL-5,ALMANAC,-34.2151259362689,-4.328883171081543
Gefitinib,Vemurafenib,SK-OV-3,ALMANAC,-9.69525351589588,-7.440791606903076
Vandetanib,Lapatinib,A498,ALMANAC,-6.62243899123703,-5.2796244621276855
Crizotinib,Vandetanib,NCI-H322M,ALMANAC,-14.2432354632034,-5.093196868896484
Vorinostat,Lapatinib,A375,ONEIL,-10.739322929783883,-15.713749885559082
metformin,Sorafenib,OCUBM,ONEIL,-20.7592210135025,-9.787601470947266
raloxifene,Nilotinib,UO-31,ALMANAC,1.44250342205316,-9.934914588928224
SNS-032,Pioglitazone,MZ-MEL-2,FRIEDMAN,8.41219310197186,-12.992551803588867
Crizotinib,Tanespimycin,A375,FRIEDMAN,-18.0994475986521,-16.719892501831055
Ruxolitinib,Gefitinib,HS 578T,ALMANAC,1.75418055571227,-5.253263473510742
celecoxib,Dasatinib,U251,ALMANAC,2.26287384238852,-10.599943161010742
Lapatinib,Tanespimycin,COLO 800,FRIEDMAN,-15.2075913210371,-15.886884689331056
ondansetron,Ruxolitinib,L-1236,NCATS_HL,-15.1780986513519,-57.15079498291016
Ruxolitinib,Abiraterone,HCT-15,ALMANAC,-1.87225773277833,-4.011382579803467
Romidepsin,Vorinostat,TK-10,ALMANAC,-19.6897453691466,-3.3448681831359863
Axitinib,Vorinostat,MCF7,ALMANAC,-0.215349626945053,-17.672203063964844
paclitaxel,Dasatinib,U251,ALMANAC,7.23787804433036,-4.488771915435791
Vismodegib,Imatinib,NCI-H226,ALMANAC,-0.790555102856174,-7.305379867553711
Linsitinib,Lenalidomide,IPC-298,FRIEDMAN,-8.84200611716976,-3.104462146759033
Lenalidomide,MEGESTROL ACETATE,U251,ALMANAC,-2.41961721643837,-7.25900411605835
Pazopanib,Nilotinib,COLO 829,FRIEDMAN,-22.0172861681957,-1.936051368713379
Fulvestrant,Sorafenib,OVCAR-5,ALMANAC,-9.92379550769087,-9.124115943908691
Crizotinib,Lapatinib,SKMEL30,FRIEDMAN,8.77468811841399,-5.283687114715576
Gefitinib,Fulvestrant,MDA-MB-175-VII,ASTRAZENECA,-21.470650350883,-6.860991477966309
Gefitinib,Nilotinib,NCI-H322M,ALMANAC,-9.6538627550033,-5.316385269165039
Crizotinib,Lenalidomide,WM115,FRIEDMAN,-15.8515752347255,-10.597661018371582
Nilotinib,Linsitinib,COLO 792,FRIEDMAN,9.57737001627004,-4.783574104309082
Enzastaurin,Linsitinib,SK-MEL-28,FRIEDMAN,10.1783535931409,-3.486946582794189
Romidepsin,Dasatinib,NCIH23,ALMANAC,-16.5117391433047,-19.60283851623535
raloxifene,Vismodegib,M14,ALMANAC,-3.33546672456527,-13.737533569335938
Gefitinib,Crizotinib,HOP-62,ALMANAC,2.79185049167976,-5.524162292480469
Sunitinib,mitotane,SNB-75,ALMANAC,-0.347821214648539,2.382014751434326
Vatalanib,RAF265,MeWo,FRIEDMAN,1.82030493788631,-4.792874813079834
Vismodegib,Abiraterone,PC-3,ALMANAC,-2.27176194260238,-4.991581916809082
Nilotinib,Midostaurin,LOX IMVI,FRIEDMAN,-22.429994240472,-3.577475547790528
Vorinostat,mitotane,EKVX,ALMANAC,-1.18375050870221,-53.07030487060547
Nilotinib,Tideglusib,SK-MEL-2,FRIEDMAN,-0.535791212822789,-6.648935317993164
MEGESTROL ACETATE,Fulvestrant,SR,ALMANAC,-3.89359235610436,-5.623171806335449
Sunitinib,mitotane,SK-OV-3,ALMANAC,-1.86538365356632,-8.058712005615234
Crizotinib,Imatinib,SK-OV-3,ALMANAC,-4.93683993075132,-3.992621421813965
Vemurafenib,Romidepsin,T-47D,ALMANAC,-33.4208624987435,-22.21736717224121
Romidepsin,Fulvestrant,TK-10,ALMANAC,-20.5195596469453,-25.761035919189453
Sorafenib,Tanespimycin,COLO 829,FRIEDMAN,-15.769639488747,-8.419088363647461
VX-702,Lapatinib,SK-MEL-28,FRIEDMAN,-7.3422247187578,-5.311600208282471
Gefitinib,paclitaxel,SNB-75,ALMANAC,10.9551415369428,-6.39150857925415
Nilotinib,paclitaxel,PC-3,ALMANAC,-7.63687591021684,-5.018395900726318
Crizotinib,Lenalidomide,OVCAR-4,ALMANAC,-1.7364820411783,-1.0595190525054932
Vemurafenib,Fulvestrant,ACHN,ALMANAC,1.33896272240888,-5.519479751586914
raloxifene,Dasatinib,786-0,ALMANAC,-28.282599832503,-18.15353202819824
Axitinib,celecoxib,MOLT-4,ALMANAC,6.56721118902929,-5.368802070617676
Enzastaurin,Dasatinib,IST-MEL1,FRIEDMAN,16.7878415404534,-5.783123016357422
paclitaxel,Vorinostat,RPMI-8226,ALMANAC,-31.0634003231294,-18.403852462768555
Abiraterone,mitotane,SK-MEL-2,ALMANAC,-1.56227829139379,4.0360026359558105
dexamethasone,Vorinostat,SKMEL30,ONEIL,-15.957982665262508,-19.21695327758789
Bexarotene,Vatalanib,WT2-iPS,FRIEDMAN,-11.4882767345485,-4.492481231689453
raloxifene,Sunitinib,NCI-H226,ALMANAC,-2.90944060560592,-7.80101203918457
celecoxib,Dasatinib,NCI-H322M,ALMANAC,-1.77708445288184,-5.596648216247559
Pazopanib,Linsitinib,LOX IMVI,FRIEDMAN,-11.5624658502161,-2.649510383605957
Sorafenib,thalidomide,OVCAR-8,ALMANAC,-3.41443367743058,-2.8448591232299805
