Drug A,Drug B,Cell Line Name,Study Name,Score,Pred Score
Dasatinib,Lenalidomide,A2058,FRIEDMAN,-10.4421941416379,-8.373649597167969
alfuzosin,Ruxolitinib,L-1236,NCATS_HL,-20.415937842574,-19.923490524291992
Ruxolitinib,Nilotinib,OVCAR-5,ALMANAC,-7.68362417458673,-11.988472938537598
Lestaurtinib,Midostaurin,LOX IMVI,FRIEDMAN,-41.2216846057537,-10.875736236572266
Tideglusib,Lapatinib,UACC-257,FRIEDMAN,4.79864898330136,1.848341941833496
Tolvaptan,Ruxolitinib,L-1236,NCATS_HL,-32.0370930046522,-32.69097137451172
Linsitinib,Lapatinib,SK-MEL-28,FRIEDMAN,12.9935109358931,1.9477672576904297
Crizotinib,Dasatinib,A101D,FRIEDMAN,-30.6447286216216,-8.341887474060059
celecoxib,Dasatinib,OVCAR-4,ALMANAC,-1.50354104374073,1.147758960723877
Abiraterone,MEGESTROL ACETATE,SK-OV-3,ALMANAC,-4.26460031196013,-1.556413650512695
mitotane,thalidomide,NCIH23,ALMANAC,-6.38504845900417,-0.1490364074707031
Ruxolitinib,Axitinib,MDA-MB-231,ALMANAC,-7.12422334674708,-1.3443365097045898
Lapatinib,Sorafenib,RPMI-8226,ALMANAC,-13.5536998315198,-4.049103736877441
raloxifene,Vorinostat,OVCAR3,ALMANAC,-4.55888290533162,-9.310903549194336
paclitaxel,Lapatinib,M14,ALMANAC,-6.75232109042226,-1.5045452117919922
paclitaxel,Dasatinib,EKVX,ALMANAC,-2.46814384883699,-0.79429030418396
Dasatinib,mitotane,ACHN,ALMANAC,-15.6634750273414,-9.25143051147461
Lestaurtinib,Sunitinib,SK-MEL-28,FRIEDMAN,-15.1312085451397,-10.432275772094728
Lenalidomide,paclitaxel,SK-MEL-28,ALMANAC,-28.701426665276,-33.747039794921875
Vismodegib,Fulvestrant,DU-145,ALMANAC,3.72082811782698,0.5553131103515625
Vandetanib,Fulvestrant,M14,ALMANAC,1.9063950775947,-0.2599916458129883
Vismodegib,Imatinib,786-0,ALMANAC,-4.27685908501249,-4.495210647583008
Linsitinib,Lapatinib,451Lu,FRIEDMAN,-12.0718754405752,2.071929454803467
Sunitinib,Lapatinib,LOVO,ONEIL,9.06213659212517,2.198948860168457
Sunitinib,Fulvestrant,UO-31,ALMANAC,0.218929563308117,-0.8802981376647949
celecoxib,mitotane,T-47D,ALMANAC,-1.00525088583301,-3.314669132232666
Erlotinib,Dasatinib,MeWo,FRIEDMAN,13.6192061689873,6.068365573883057
Vemurafenib,MEGESTROL ACETATE,HCC-2998,ALMANAC,-10.2777534768671,-14.206429481506348
Vismodegib,mitotane,A549,ALMANAC,-2.07305947106928,2.694883346557617
Linsitinib,Lapatinib,A101D,FRIEDMAN,-2.55235448313782,-0.0571422576904296
Vemurafenib,thalidomide,COLO 205,ALMANAC,-20.5803141003491,2.779483795166016
Vandetanib,celecoxib,NCI-H460,ALMANAC,-9.51984892004568,1.5326275825500488
Lapatinib,Erlotinib,CAOV3,ONEIL,4.54734483862441,1.6384944915771484
Vorinostat,Cediranib,Mel Ho,FRIEDMAN,6.30230180508677,5.135187149047852
Romidepsin,Fulvestrant,K-562,ALMANAC,-57.3143481111111,-28.87275505065918
paclitaxel,Dasatinib,UACC62,ALMANAC,-0.15164661638559,1.0075972080230713
mitotane,thalidomide,K-562,ALMANAC,-7.895926814476,-1.3699464797973633
Imatinib,Nilotinib,CAKI-1,ALMANAC,-2.62494670489677,-5.492038726806641
Pazopanib,Tideglusib,WM115,FRIEDMAN,-6.39816157929754,-2.0025734901428223
Sorafenib,Lenalidomide,SK-MEL-5,FRIEDMAN,0.727658304513107,-7.663165092468262
Sorafenib,thalidomide,LOX IMVI,ALMANAC,-4.91607682927375,-4.683559417724609
Vandetanib,Sorafenib,SK-OV-3,ALMANAC,-16.4414496439087,-17.7579345703125
Bexarotene,Tanespimycin,RVH-421,FRIEDMAN,-34.2179341569251,-16.952783584594727
mitotane,Fulvestrant,MDA-MB-468,ALMANAC,3.45659936548068,-4.234938621520996
Navitoclax,Sunitinib,WM115,FRIEDMAN,18.4854957312447,8.712276458740234
Sunitinib,Palbociclib,COLO 792,FRIEDMAN,-1.94499347376707,-14.172041893005373
Vemurafenib,Dasatinib,OVCAR-5,ALMANAC,-6.26028435280159,-2.443825483322144
Axitinib,Nilotinib,CAKI-1,ALMANAC,1.94014952846204,0.0790562629699707
Sorafenib,Cediranib,G-361,FRIEDMAN,-22.3018709788366,-12.311458587646484
Vemurafenib,Vemurafenib,SNB-75,ALMANAC,2.22618747295144,-1.5662574768066406
Lestaurtinib,Sunitinib,Mel Ho,FRIEDMAN,1.1915853114573,-6.642868041992188
Lapatinib,thalidomide,OVCAR3,ALMANAC,-5.16590399643504,-0.2997171878814697
Pazopanib,Vismodegib,WT2-iPS,FRIEDMAN,-7.93554553982811,-5.859789848327637
vinblastine,Vorinostat,SW-620,ONEIL,-7.940842049461227,2.249943733215332
Ruxolitinib,Sunitinib,NCIH23,ALMANAC,-3.52818526036687,-3.678690433502197
Vemurafenib,mitotane,UO-31,ALMANAC,4.89052308353212,2.631809711456299
Vorinostat,Sunitinib,OCUBM,ONEIL,-1.8239337240231763,-3.82205867767334
Vatalanib,Lenalidomide,RVH-421,FRIEDMAN,-8.51854031711709,-8.110628128051758
raloxifene,Abiraterone,SF-539,ALMANAC,0.223224642735056,-1.2741165161132812
Crizotinib,Lapatinib,ACHN,ALMANAC,0.502295284510136,-2.6991920471191406
Lestaurtinib,Bexarotene,A101D,FRIEDMAN,-11.2374087938664,-2.089919090270996
Sorafenib,SNS-032,COLO 829,FRIEDMAN,-14.7500177200712,-4.780198097229004
vinblastine,Sunitinib,A2058,ONEIL,2.63157412115867,-9.735031127929688
Abiraterone,raloxifene,OVCAR-5,ALMANAC,4.41128824504849,4.267063140869141
raloxifene,MEGESTROL ACETATE,UACC-257,ALMANAC,-2.64795588531004,-2.6474294662475586
Enzastaurin,Fingolimod,SKMEL30,FRIEDMAN,-53.5612387520528,-23.23158264160156
Fingolimod,Dasatinib,RVH-421,FRIEDMAN,-4.91063181234252,-13.015100479125977
Erlotinib,SNS-032,MZ-MEL-2,FRIEDMAN,-6.31829699729001,-0.5913577079772949
Vismodegib,Vemurafenib,UO-31,ALMANAC,1.06233622150143,-0.6591348648071289
Vandetanib,Vemurafenib,LOX IMVI,ALMANAC,5.36076392609526,-9.278936386108398
Crizotinib,MEGESTROL ACETATE,SF-268,ALMANAC,-9.66588250402445,-3.348081588745117
Ruxolitinib,Sunitinib,RPMI-8226,ALMANAC,-6.84877751217965,-1.3290085792541504
Dasatinib,Lenalidomide,UACC-257,FRIEDMAN,-18.0909624325724,-10.982421875
Vemurafenib,Lenalidomide,NCIH23,ALMANAC,-2.38964701681669,-2.4373116493225098
raloxifene,Lenalidomide,MDA-MB-231,ALMANAC,-1.3829597787012,-1.0400514602661133
Vorinostat,Sorafenib,T-47D,ONEIL,-6.22433036882608,-15.727598190307615
Vandetanib,Ruxolitinib,UO-31,ALMANAC,2.21236276924139,4.382341384887695
Lenalidomide,Crizotinib,HOP-92,ALMANAC,-1.09400203748942,-4.941993713378906
Navitoclax,Lapatinib,SKMEL30,FRIEDMAN,10.7757053696348,12.21225929260254
Nilotinib,Sunitinib,MOLT-4,ALMANAC,-7.87806885869872,-8.878852844238281
Lenalidomide,Cediranib,SK-MEL-5,FRIEDMAN,-9.53774948646416,-3.875311851501465
Bexarotene,SNS-032,451Lu,FRIEDMAN,-5.77775722830228,-3.4493799209594727
Vandetanib,thalidomide,NCI-H226,ALMANAC,2.60059900504982,1.1417121887207031
Vorinostat,Pioglitazone,COLO 829,FRIEDMAN,-5.42620608884564,-0.8139553070068359
Axitinib,Vorinostat,MDA-MB-468,ALMANAC,-4.40836422828739,-8.804790496826172
Nilotinib,mitotane,LOX IMVI,ALMANAC,-12.4297940940224,-3.261734962463379
Vandetanib,thalidomide,MCF7,ALMANAC,1.84263435050728,-8.112838745117188
Pazopanib,Palbociclib,MZ-MEL-2,FRIEDMAN,10.3879416059179,0.1127626895904541
