src,dest
ACTB,MYL6
ACTB,MYL6B
ACTB,MYL9
ACTB,STK3
ACTG1,MYL6
ACTG1,MYL6B
ACTG1,MYL9
ACTG1,STK3
ACVR1,ACVR2A
ACVR1,BMPR2
ACVR1,HJV
ACVR1,MAPK1
ACVR1,MAPK11
ACVR1,MAPK12
ACVR1,MAPK13
ACVR1,MAPK14
ACVR1,MAPK3
ACVR1,NEO1
ACVR1,SMAD1
ACVR1,SMAD2
ACVR1,SMAD3
ACVR1,SMAD5
ACVR1,SMAD9
ACVR1B,SMAD2
ACVR1B,SMAD3
ACVR1C,SMAD2
ACVR1C,SMAD3
ACVR2A,SMAD2
ACVR2A,SMAD3
ACVR2B,SMAD2
ACVR2B,SMAD3
ADAM17,NOTCH1
ADAM17,NOTCH2
ADAM17,NOTCH3
ADAM17,NOTCH4
ADCY1,PRKACA
ADCY1,PRKACB
ADCY1,PRKACG
ADCY2,PRKACA
ADCY2,PRKACB
ADCY2,PRKACG
ADCY3,PRKACA
ADCY3,PRKACB
ADCY3,PRKACG
ADCY4,PRKACA
ADCY4,PRKACB
ADCY4,PRKACG
ADCY5,PRKACA
ADCY5,PRKACB
ADCY5,PRKACG
ADCY6,PRKACA
ADCY6,PRKACB
ADCY6,PRKACG
ADCY7,PRKACA
ADCY7,PRKACB
ADCY7,PRKACG
ADCY8,PRKACA
ADCY8,PRKACB
ADCY8,PRKACG
ADCY9,PRKACA
ADCY9,PRKACB
ADCY9,PRKACG
ADCYAP1,ADCYAP1R1
ADCYAP1,ADORA2A
ADCYAP1,ADRB1
ADCYAP1,DRD1
ADCYAP1,DRD5
ADCYAP1,FSHR
ADCYAP1,GIPR
ADCYAP1,GLP1R
ADCYAP1,HTR4
ADCYAP1,HTR6
ADCYAP1,LHCGR
ADCYAP1,MC2R
ADCYAP1,NPR1
ADCYAP1,PTGER2
ADCYAP1,TSHR
ADCYAP1,VIPR2
ADCYAP1R1,GNAS
ADIPOQ,ADIPOR1
ADIPOQ,ADIPOR2
ADIPOR1,CAMKK2
ADIPOR1,PPARA
ADIPOR1,STK11
ADIPOR2,CAMKK2
ADIPOR2,PPARA
ADIPOR2,STK11
ADORA1,GNAI1
ADORA1,GNAI2
ADORA1,GNAI3
ADORA2A,GNAL
ADORA2A,GNAQ
ADORA2A,GNAS
ADORA2B,GNAL
ADORA2B,GNAQ
ADORA2B,GNAS
ADORA3,GNAI1
ADORA3,GNAI2
ADORA3,GNAI3
ADRA1A,GNA11
ADRA1A,GNA12
ADRA1A,GNA13
ADRA1A,GNA14
ADRA1A,GNA15
ADRA1A,GNAQ
ADRA1A,PRKAA1
ADRA1A,PRKAA2
ADRA1A,PRKAB1
ADRA1A,PRKAB2
ADRA1A,PRKAG1
ADRA1A,PRKAG2
ADRA1A,PRKAG3
ADRA1A,TRPC6
ADRA1B,GNA11
ADRA1B,GNA12
ADRA1B,GNA13
ADRA1B,GNA14
ADRA1B,GNA15
ADRA1B,GNAQ
ADRA1B,TRPC6
ADRA1D,GNA11
ADRA1D,GNA12
ADRA1D,GNA13
ADRA1D,GNA14
ADRA1D,GNA15
ADRA1D,GNAQ
ADRA1D,TRPC6
ADRA2A,GNA11
ADRA2A,GNA12
ADRA2A,GNA13
ADRA2A,GNAQ
ADRA2A,TRPC6
ADRA2B,GNA11
ADRA2B,GNA12
ADRA2B,GNA13
ADRA2B,GNAQ
ADRA2B,TRPC6
ADRA2C,GNA11
ADRA2C,GNA12
ADRA2C,GNA13
ADRA2C,GNAQ
ADRA2C,TRPC6
ADRB1,GNAI1
ADRB1,GNAI2
ADRB1,GNAI3
ADRB1,GNAL
ADRB1,GNAS
ADRB2,GNAI1
ADRB2,GNAI2
ADRB2,GNAI3
ADRB2,GNAL
ADRB2,GNAS
ADRB3,GNAI1
ADRB3,GNAI2
ADRB3,GNAI3
ADRB3,GNAL
ADRB3,GNAS
AFDN,CTNND1
AFDN,SIPA1
AGAP2,PIK3CA
AGAP2,PIK3CB
AGAP2,PIK3CD
AGAP2,PIK3R1
AGAP2,PIK3R2
AGAP2,PIK3R3
AGER,DIAPH1
AGER,JAK2
AGER,NOX4
AGER,PIK3CA
AGER,PIK3CB
AGER,PIK3CD
AGER,PIK3R1
AGER,PIK3R2
AGER,PIK3R3
AGER,PLCB1
AGER,PLCB2
AGER,PLCB3
AGER,PLCB4
AGER,PLCD1
AGER,PLCD3
AGER,PLCD4
AGER,PLCE1
AGER,PLCG1
AGER,PLCG2
AGER,PRKCB
AGT,AGTR1
AGT,AVPR1A
AGT,AVPR1B
AGT,CXCR1
AGT,CXCR2
AGT,F2R
AGT,GRM1
AGT,GRM2
AGT,GRM3
AGT,GRM4
AGT,GRM5
AGT,GRM6
AGT,GRM7
AGT,GRM8
AGT,LPAR1
AGT,LPAR2
AGT,LPAR3
AGT,LPAR5
AGT,LPAR6
AGT,PTGFR
AGTR1,GNA11
AGTR1,GNA12
AGTR1,GNA13
AGTR1,GNA14
AGTR1,GNA15
AGTR1,GNAQ
AGTR1,GNAS
AGTR1,PLCB1
AGTR1,PLCB2
AGTR1,PLCB3
AGTR1,PLCB4
AGTR1,SERPINE1
AGTR1,TGFB1
AGTR1,TGFB2
AGTR1,TGFB3
AGTR1,TRPC6
AIM2,PYCARD
AJUBA,LATS1
AJUBA,LATS2
AJUBA,SAV1
AKT1,AKT1S1
AKT1,ATF2
AKT1,ATF4
AKT1,ATF6B
AKT1,BAD
AKT1,BCL2
AKT1,BRCA1
AKT1,CASP9
AKT1,CDKN1A
AKT1,CDKN1B
AKT1,CHUK
AKT1,CREB1
AKT1,CREB3
AKT1,CREB3L1
AKT1,CREB3L2
AKT1,CREB3L3
AKT1,CREB3L4
AKT1,CREB5
AKT1,FOXO1
AKT1,FOXO3
AKT1,GSK3A
AKT1,GSK3B
AKT1,IKBKB
AKT1,MAP2K4
AKT1,MAP3K5
AKT1,MAP3K8
AKT1,MAPK1
AKT1,MAPK3
AKT1,MDM2
AKT1,MTOR
AKT1,NFKB1
AKT1,NFKBIA
AKT1,NFKBIB
AKT1,NFKBIE
AKT1,NOS1
AKT1,NOS2
AKT1,NOS3
AKT1,NR4A1
AKT1,PDE3B
AKT1,PFKFB2
AKT1,PPP1CA
AKT1,PPP1CB
AKT1,PPP1CC
AKT1,PPP1R3A
AKT1,PPP1R3B
AKT1,PPP1R3C
AKT1,PPP1R3D
AKT1,PPP1R3E
AKT1,RAF1
AKT1,RELA
AKT1,SLC2A4
AKT1,TBC1D4
AKT1,TBC1D7
AKT1,TSC1
AKT1,TSC2
AKT1S1,EIF4EBP1
AKT1S1,MTOR
AKT1S1,PPARG
AKT1S1,RPS6KB1
AKT1S1,RPS6KB2
AKT1S1,RPTOR
AKT1S1,ULK1
AKT2,AKT1S1
AKT2,ATF2
AKT2,ATF4
AKT2,ATF6B
AKT2,BAD
AKT2,BCL2
AKT2,BRCA1
AKT2,CASP9
AKT2,CDKN1A
AKT2,CDKN1B
AKT2,CHUK
AKT2,CREB1
AKT2,CREB3
AKT2,CREB3L1
AKT2,CREB3L2
AKT2,CREB3L3
AKT2,CREB3L4
AKT2,CREB5
AKT2,FOXO1
AKT2,FOXO3
AKT2,GSK3A
AKT2,GSK3B
AKT2,IKBKB
AKT2,MAP2K4
AKT2,MAP3K5
AKT2,MAP3K8
AKT2,MAPK1
AKT2,MAPK3
AKT2,MDM2
AKT2,MTOR
AKT2,NFKB1
AKT2,NFKBIA
AKT2,NFKBIB
AKT2,NFKBIE
AKT2,NOS1
AKT2,NOS2
AKT2,NOS3
AKT2,NR4A1
AKT2,PDE3B
AKT2,PFKFB2
AKT2,PPP1CA
AKT2,PPP1CB
AKT2,PPP1CC
AKT2,PPP1R3A
AKT2,PPP1R3B
AKT2,PPP1R3C
AKT2,PPP1R3D
AKT2,PPP1R3E
AKT2,RAF1
AKT2,RELA
AKT2,SLC2A4
AKT2,TBC1D4
AKT2,TBC1D7
AKT2,TSC1
AKT2,TSC2
AKT3,AKT1S1
AKT3,ATF2
AKT3,ATF4
AKT3,ATF6B
AKT3,BAD
AKT3,BCL2
AKT3,BRCA1
AKT3,CASP9
AKT3,CDKN1A
AKT3,CDKN1B
AKT3,CHUK
AKT3,CREB1
AKT3,CREB3
AKT3,CREB3L1
AKT3,CREB3L2
AKT3,CREB3L3
AKT3,CREB3L4
AKT3,CREB5
AKT3,FOXO1
AKT3,FOXO3
AKT3,GSK3A
AKT3,GSK3B
AKT3,IKBKB
AKT3,MAP2K4
AKT3,MAP3K5
AKT3,MAP3K8
AKT3,MAPK1
AKT3,MAPK3
AKT3,MDM2
AKT3,MTOR
AKT3,NFKB1
AKT3,NFKBIA
AKT3,NFKBIB
AKT3,NFKBIE
AKT3,NOS1
AKT3,NOS2
AKT3,NOS3
AKT3,NR4A1
AKT3,PDE3B
AKT3,PFKFB2
AKT3,PPP1CA
AKT3,PPP1CB
AKT3,PPP1CC
AKT3,PPP1R3A
AKT3,PPP1R3B
AKT3,PPP1R3C
