Drug A,Drug B,Cell Line Name,Score
Streptozocin,Tretinoin,HOP-62,-12.0
Everolimus,Romidepsin,HS 578T,1.1111111111111112
Mitotane,Cladribine,OVCAR-3,-3.2222222222222223
Streptozocin,Paclitaxel,HOP-62,-0.8888888888888888
Streptozocin,Cladribine,CCRF-CEM,-4.888888888888889
Everolimus,Sirolimus,A549/ATCC,4.222222222222222
Thalidomide,Mitotane,SK-MEL-28,0.8888888888888888
Everolimus,Paclitaxel,HS 578T,8.0
Vorinostat,Paclitaxel,PC-3,-8.777777777777779
Vorinostat,Tretinoin,IGROV1,-1.8888888888888888
Mitotane,Docetaxel,IGROV1,6.777777777777778
Everolimus,Dasatinib,UO-31,2.0
Dasatinib,Sirolimus,SK-MEL-28,0.3333333333333333
Streptozocin,Mitotane,HS 578T,-0.6666666666666666
Thalidomide,Tretinoin,HCC-2998,-3.7777777777777777
Mitotane,Nilotinib,PC-3,2.2222222222222223
Gefitinib,Lenalidomide,A549/ATCC,-0.7777777777777778
Everolimus,Docetaxel,OVCAR-3,-4.777777777777778
Vorinostat,Romidepsin,MDA-MB-231/ATCC,1.1111111111111112
Mitotane,Nilotinib,IGROV1,0.0
Nilotinib,Cladribine,HCC-2998,-10.444444444444445
Everolimus,Vorinostat,PC-3,1.6666666666666667
Vorinostat,Docetaxel,A549/ATCC,-0.2222222222222222
Thalidomide,Cladribine,HOP-62,-11.666666666666666
Nilotinib,Celecoxib,IGROV1,-4.222222222222222
Thalidomide,Sirolimus,CCRF-CEM,3.111111111111111
Sirolimus,Nilotinib,MDA-MB-231/ATCC,-14.555555555555555
Mitotane,Paclitaxel,HS 578T,-3.888888888888889
Everolimus,Celecoxib,UO-31,4.555555555555555
Fulvestrant,Everolimus,CCRF-CEM,-3.333333333333333
Everolimus,Paclitaxel,UO-31,-1.6666666666666667
Dasatinib,Tretinoin,PC-3,-0.2222222222222222
Vorinostat,Cladribine,MDA-MB-231/ATCC,9.333333333333334
Mitotane,Tretinoin,SK-MEL-28,3.0
Gefitinib,Lenalidomide,PC-3,-0.4444444444444444
Fulvestrant,Dasatinib,SK-MEL-28,3.6666666666666665
Fulvestrant,Vorinostat,HCC-2998,-10.11111111111111
Thalidomide,Paclitaxel,OVCAR-3,16.444444444444443
Fulvestrant,Sirolimus,MDA-MB-231/ATCC,0.2222222222222222
Dasatinib,Cladribine,MDA-MB-231/ATCC,-0.3333333333333333
Fulvestrant,Vorinostat,MDA-MB-231/ATCC,-4.888888888888889
Fulvestrant,Cladribine,HCC-2998,2.333333333333333
Everolimus,Celecoxib,HCC-2998,-2.555555555555556
Dasatinib,Cladribine,HS 578T,1.3333333333333333
Gefitinib,Lenalidomide,SK-MEL-28,-2.4444444444444446
Docetaxel,Sirolimus,IGROV1,-8.666666666666666
Fulvestrant,Paclitaxel,IGROV1,-1.8888888888888888
Vorinostat,Sirolimus,HS 578T,-1.6666666666666667
Vorinostat,Nilotinib,UO-31,-4.333333333333333
Vorinostat,Nilotinib,A549/ATCC,-11.666666666666666
Everolimus,Cladribine,IGROV1,3.333333333333333
Fulvestrant,Nilotinib,MDA-MB-231/ATCC,-6.666666666666667
Megestrol acetate,Lenalidomide,MDA-MB-231/ATCC,-17.444444444444443
Romidepsin,Tretinoin,SK-MEL-28,-5.111111111111111
Docetaxel,Nilotinib,PC-3,-5.888888888888889
Fulvestrant,Everolimus,HCC-2998,8.333333333333334
Everolimus,Tretinoin,MDA-MB-231/ATCC,-1.5555555555555556
Everolimus,Vorinostat,HS 578T,-10.555555555555555
Megestrol acetate,Gefitinib,HCC-2998,-2.7777777777777777
Romidepsin,Sirolimus,IGROV1,-3.555555555555556
Mitotane,Sirolimus,HCC-2998,-9.0
Everolimus,Docetaxel,A549/ATCC,7.222222222222222
Paclitaxel,Celecoxib,HCC-2998,16.88888888888889
Cladribine,Celecoxib,HS 578T,-1.7777777777777777
Romidepsin,Nilotinib,MDA-MB-231/ATCC,-4.888888888888889
Mitotane,Tretinoin,MDA-MB-231/ATCC,0.3333333333333333
Sirolimus,Mitotane,OVCAR-3,-7.666666666666667
Sirolimus,Nilotinib,A549/ATCC,-10.77777777777778
Mitotane,Docetaxel,UO-31,-4.777777777777778
Romidepsin,Celecoxib,A549/ATCC,11.11111111111111
