Drug A,Drug B,Cell Line Name,Score,Pred Score
Dasatinib,Docetaxel,HCT-15,-4.777777777777778,-2.0681138038635254
Streptozocin,Tretinoin,HOP-62,-12.0,-0.7825479507446289
Thalidomide,Paclitaxel,NCI-H322M,1.8888888888888888,-5.053292274475098
Mitotane,Sirolimus,SN12C,-7.666666666666667,1.7142791748046875
Sirolimus,Cladribine,NCI-H322M,-18.55555555555556,-2.138924121856689
Romidepsin,Paclitaxel,LOX IMVI,-2.333333333333333,-0.8340983390808105
Fulvestrant,Celecoxib,HCT-15,-8.0,1.5240886211395264
Everolimus,Romidepsin,HS 578T,1.1111111111111112,-2.458019495010376
Mitotane,Cladribine,OVCAR-3,-3.2222222222222223,-1.9502205848693848
Fulvestrant,Paclitaxel,SK-OV-3,-9.88888888888889,-9.204629898071287
Paclitaxel,Sirolimus,BT-549,2.2222222222222223,4.32657527923584
Streptozocin,Paclitaxel,HOP-62,-0.8888888888888888,-4.118553638458252
Docetaxel,Sirolimus,K-562,5.222222222222222,5.137305736541748
Streptozocin,Cladribine,CCRF-CEM,-4.888888888888889,-12.584012985229492
Fulvestrant,Sirolimus,SF-539,-9.444444444444445,-0.6857728958129883
Streptozocin,Paclitaxel,A498,-7.777777777777778,-4.570270538330078
Vorinostat,Docetaxel,NCI-H460,-2.2222222222222223,-3.806620121002197
Romidepsin,Docetaxel,SK-MEL-5,-1.4444444444444444,-2.6521384716033936
Everolimus,Sirolimus,A549/ATCC,4.222222222222222,-1.1359977722167969
Tretinoin,Celecoxib,ACHN,-2.0,-6.535980701446533
Thalidomide,Mitotane,SK-MEL-28,0.8888888888888888,-0.9213032722473145
Everolimus,Paclitaxel,HS 578T,8.0,-2.816362142562866
Sirolimus,Tretinoin,SF-268,1.7777777777777777,1.5461997985839844
Vorinostat,Tretinoin,SN12C,0.8888888888888888,-5.3076171875
Everolimus,Dasatinib,SW-620,-1.6666666666666667,-2.8010549545288086
Paclitaxel,Nilotinib,T-47D,-21.11111111111111,1.0756936073303225
Thalidomide,Paclitaxel,MCF7,-1.3333333333333333,-5.385452747344971
Vorinostat,Paclitaxel,PC-3,-8.777777777777779,-2.0244147777557373
Paclitaxel,Sirolimus,OVCAR-4,-2.555555555555556,1.6351990699768066
Vorinostat,Tretinoin,IGROV1,-1.8888888888888888,-4.363837242126465
Streptozocin,Cladribine,SF-268,-4.111111111111111,-5.924807548522949
Fulvestrant,Romidepsin,M14,-2.555555555555556,0.5367789268493652
Vorinostat,Paclitaxel,KM12,1.6666666666666667,-2.627136945724488
Fulvestrant,Paclitaxel,HCT-116,-4.0,-3.97945499420166
Sirolimus,Celecoxib,RPMI-8226,5.222222222222222,-0.5109548568725586
Nilotinib,Tretinoin,NCI-H322M,-31.55555555555556,0.6573677062988281
Mitotane,Docetaxel,IGROV1,6.777777777777778,-2.7125697135925293
Docetaxel,Cladribine,OVCAR-5,-12.11111111111111,-1.871057748794556
Dasatinib,Cladribine,DU-145,-4.777777777777778,-4.1551289558410645
Mitotane,Docetaxel,NCI-H522,19.55555555555556,-3.006045341491699
Fulvestrant,Cladribine,SF-539,-7.333333333333333,-0.6929988861083984
Everolimus,Dasatinib,UO-31,2.0,-1.969144821166992
Romidepsin,Docetaxel,TK-10,0.6666666666666666,-3.195234775543213
Fulvestrant,Romidepsin,OVCAR-8,2.333333333333333,2.2003841400146484
Everolimus,Cladribine,NCI-H226,0.2222222222222222,-4.658910751342773
Dasatinib,Celecoxib,UACC-257,-4.111111111111111,-1.5478358268737793
Romidepsin,Cladribine,RPMI-8226,-6.888888888888889,-3.072420120239258
Docetaxel,Celecoxib,SF-268,2.2222222222222223,7.848428726196289
Docetaxel,Cladribine,SF-268,-10.333333333333334,1.2146968841552734
Everolimus,Paclitaxel,KM12,-9.0,-3.61404013633728
Fulvestrant,Cladribine,BT-549,-3.111111111111111,-2.7209300994873047
Thalidomide,Sirolimus,MOLT-4,-1.0,-4.189416408538818
Romidepsin,Tretinoin,SNB-75,1.6666666666666667,-2.576085090637207
Romidepsin,Nilotinib,NCI-H226,-3.2222222222222223,-5.668001651763916
Mitotane,Celecoxib,RPMI-8226,-9.22222222222222,-1.186140537261963
Fulvestrant,Tretinoin,DU-145,7.555555555555555,-2.145576477050781
Streptozocin,Mitotane,NCI-H226,-7.777777777777778,-7.122293949127197
Dasatinib,Sirolimus,SK-MEL-28,0.3333333333333333,-2.8396828174591064
Streptozocin,Mitotane,HS 578T,-0.6666666666666666,3.4786534309387207
Fulvestrant,Dasatinib,ACHN,-3.0,-2.49342942237854
Thalidomide,Tretinoin,HCC-2998,-3.7777777777777777,1.606675386428833
Docetaxel,Cladribine,LOX IMVI,0.6666666666666666,-1.103703498840332
Paclitaxel,Tretinoin,SF-268,19.88888888888889,10.744723320007324
Vorinostat,Romidepsin,NCI-H460,5.222222222222222,1.1108264923095703
Mitotane,Nilotinib,PC-3,2.2222222222222223,-9.919159889221191
Gefitinib,Lenalidomide,A549/ATCC,-0.7777777777777778,-4.261843681335449
Fulvestrant,Tretinoin,U251,0.3333333333333333,0.8200473785400391
Everolimus,Docetaxel,NCI-H522,4.0,-4.605589389801025
Mitotane,Celecoxib,T-47D,-8.11111111111111,-1.5257654190063477
