Drug A,Drug B,Cell Line Name,Score,Pred Score
Docetaxel,Tretinoin,UACC-257,8.88888888888889,1.702632188796997
Fulvestrant,Paclitaxel,HOP-62,0.3333333333333333,-3.680566787719727
Tretinoin,Cladribine,UACC-257,-1.8888888888888888,-2.509060859680176
Everolimus,Tretinoin,HS 578T,2.555555555555556,-0.6852604746818542
Romidepsin,Docetaxel,SN12C,-3.111111111111111,-0.792014479637146
Mitotane,Nilotinib,SF-268,-5.222222222222222,-0.600538969039917
Fulvestrant,Everolimus,OVCAR-3,13.88888888888889,-1.6715223789215088
Thalidomide,Mitotane,OVCAR-3,1.8888888888888888,-1.0266971588134766
Sirolimus,Cladribine,SF-268,-3.111111111111111,-0.6533584594726562
Streptozocin,Paclitaxel,CAKI-1,-3.6666666666666665,-0.6520757079124451
Thalidomide,Tretinoin,KM12,-4.888888888888889,-0.6580052375793457
Vorinostat,Tretinoin,T-47D,7.333333333333333,-0.7736728191375732
Everolimus,Dasatinib,K-562,-2.7777777777777777,-0.7065151929855347
Mitotane,Everolimus,HCT-116,1.2222222222222223,-0.5430338978767395
Romidepsin,Cladribine,NCI-H522,-2.111111111111111,-0.7892130017280579
Vorinostat,Sirolimus,SW-620,3.4444444444444446,-0.7345709800720215
Docetaxel,Celecoxib,A498,6.444444444444445,-0.5993911027908325
Dasatinib,Sirolimus,RPMI-8226,-8.444444444444445,0.0698858872056007
Docetaxel,Celecoxib,NCI-H322M,-10.0,14.7753324508667
Fulvestrant,Dasatinib,A549/ATCC,7.111111111111111,1.5327472686767578
Docetaxel,Sirolimus,HCC-2998,-0.5555555555555556,-0.4155873954296112
Sirolimus,Mitotane,A498,0.8888888888888888,-1.3842096328735352
Megestrol acetate,Gefitinib,COLO 205,2.7777777777777777,-0.3838217258453369
Mitotane,Dasatinib,SK-MEL-5,-10.555555555555555,-1.3080610036849976
Tretinoin,Cladribine,SR,-8.11111111111111,-2.1617047786712646
Nilotinib,Celecoxib,A549/ATCC,-4.111111111111111,-0.3780908286571502
Thalidomide,Sirolimus,CAKI-1,0.1111111111111111,-0.6703788042068481
Thalidomide,Sirolimus,SF-539,3.4444444444444446,-2.063232421875
Fulvestrant,Celecoxib,SR,-12.444444444444445,-1.8408622741699217
Vorinostat,Sirolimus,A498,-5.777777777777778,-0.734965443611145
Streptozocin,Sirolimus,U251,-0.4444444444444444,-0.5956088304519653
Fulvestrant,Paclitaxel,LOX IMVI,-20.88888888888889,-0.721519947052002
Mitotane,Paclitaxel,UACC-257,-10.444444444444445,-1.129394769668579
Mitotane,Paclitaxel,HOP-62,-5.444444444444445,-4.583256721496582
Fulvestrant,Sirolimus,BT-549,-2.555555555555556,-1.3114633560180664
Mitotane,Nilotinib,HS 578T,-1.2222222222222223,-0.5856017470359802
Fulvestrant,Sirolimus,NCI-H23,-5.111111111111111,-1.1319050788879397
Mitotane,Docetaxel,NCI-H226,15.333333333333334,-3.507293462753296
Tretinoin,Celecoxib,SK-MEL-28,-10.0,-2.68428373336792
Gefitinib,Lenalidomide,OVCAR-8,0.1111111111111111,-2.0347771644592285
Vorinostat,Sirolimus,SN12C,-0.6666666666666666,-0.732414722442627
Paclitaxel,Sirolimus,SW-620,1.7777777777777777,-0.5672555565834045
Mitotane,Dasatinib,SF-539,1.6666666666666667,1.2828137874603271
Mitotane,Nilotinib,SN12C,-16.555555555555557,-0.5458619594573975
Romidepsin,Nilotinib,SW-620,2.333333333333333,-0.723446249961853
Dasatinib,Romidepsin,NCI-H522,-5.222222222222222,-2.88295316696167
Everolimus,Nilotinib,OVCAR-3,-3.0,-1.0954785346984863
Streptozocin,Sirolimus,UACC-62,-4.333333333333333,-0.595133364200592
Romidepsin,Docetaxel,OVCAR-5,-5.0,-0.7837411165237427
Fulvestrant,Celecoxib,SK-MEL-5,-3.888888888888889,-0.8193084597587585
Fulvestrant,Sirolimus,OVCAR-4,-6.666666666666667,-1.8892529010772705
Vorinostat,Paclitaxel,DU-145,0.5555555555555556,-2.333107709884644
