Drug A,Drug B,Cell Line Name,Score,Pred Score
Dasatinib,Docetaxel,HCT-15,-4.777777777777778,0.3977785110473633
Streptozocin,Tretinoin,HOP-62,-12.0,-6.292827606201172
Thalidomide,Paclitaxel,NCI-H322M,1.8888888888888888,-4.491650104522705
Mitotane,Sirolimus,SN12C,-7.666666666666667,-1.1897108554840088
Sirolimus,Cladribine,NCI-H322M,-18.55555555555556,-3.999679565429688
Romidepsin,Paclitaxel,LOX IMVI,-2.333333333333333,-1.6018033027648926
Fulvestrant,Celecoxib,HCT-15,-8.0,-0.5144097805023193
Everolimus,Romidepsin,HS 578T,1.1111111111111112,-1.3901066780090332
Mitotane,Cladribine,OVCAR-3,-3.2222222222222223,-1.9820308685302728
Fulvestrant,Paclitaxel,SK-OV-3,-9.88888888888889,0.265949547290802
Paclitaxel,Sirolimus,BT-549,2.2222222222222223,0.0785516798496246
Streptozocin,Paclitaxel,HOP-62,-0.8888888888888888,-2.037720203399658
Docetaxel,Sirolimus,K-562,5.222222222222222,2.520434617996216
Streptozocin,Cladribine,CCRF-CEM,-4.888888888888889,-2.1309597492218018
Fulvestrant,Sirolimus,SF-539,-9.444444444444445,-2.10708236694336
Streptozocin,Paclitaxel,A498,-7.777777777777778,-2.9084689617156982
Vorinostat,Docetaxel,NCI-H460,-2.2222222222222223,-7.012516975402832
Romidepsin,Docetaxel,SK-MEL-5,-1.4444444444444444,-3.3416314125061035
Everolimus,Sirolimus,A549/ATCC,4.222222222222222,-0.9383258819580078
Tretinoin,Celecoxib,ACHN,-2.0,-6.354047775268555
Thalidomide,Mitotane,SK-MEL-28,0.8888888888888888,-3.2034459114074707
Everolimus,Paclitaxel,HS 578T,8.0,0.3444432616233825
Sirolimus,Tretinoin,SF-268,1.7777777777777777,-4.599011421203613
Vorinostat,Tretinoin,SN12C,0.8888888888888888,-8.517669677734375
Everolimus,Dasatinib,SW-620,-1.6666666666666667,-1.9991226196289065
Paclitaxel,Nilotinib,T-47D,-21.11111111111111,7.597716331481934
Thalidomide,Paclitaxel,MCF7,-1.3333333333333333,-4.607568740844727
Vorinostat,Paclitaxel,PC-3,-8.777777777777779,-6.017343521118164
Paclitaxel,Sirolimus,OVCAR-4,-2.555555555555556,2.4808640480041504
Vorinostat,Tretinoin,IGROV1,-1.8888888888888888,-6.877418041229248
Streptozocin,Cladribine,SF-268,-4.111111111111111,-4.352459907531738
Fulvestrant,Romidepsin,M14,-2.555555555555556,-1.050750732421875
Vorinostat,Paclitaxel,KM12,1.6666666666666667,-2.0825295448303223
Fulvestrant,Paclitaxel,HCT-116,-4.0,-0.1423062682151794
Sirolimus,Celecoxib,RPMI-8226,5.222222222222222,-0.1441534757614135
Nilotinib,Tretinoin,NCI-H322M,-31.55555555555556,-2.9110875129699707
Mitotane,Docetaxel,IGROV1,6.777777777777778,0.2342441082000732
Docetaxel,Cladribine,OVCAR-5,-12.11111111111111,1.7471306324005127
Dasatinib,Cladribine,DU-145,-4.777777777777778,-5.117179870605469
Mitotane,Docetaxel,NCI-H522,19.55555555555556,0.0987460613250732
Fulvestrant,Cladribine,SF-539,-7.333333333333333,-3.7555394172668457
Everolimus,Dasatinib,UO-31,2.0,-0.906752586364746
Romidepsin,Docetaxel,TK-10,0.6666666666666666,-2.0642452239990234
Fulvestrant,Romidepsin,OVCAR-8,2.333333333333333,-1.6834115982055664
Everolimus,Cladribine,NCI-H226,0.2222222222222222,-2.896800994873047
Dasatinib,Celecoxib,UACC-257,-4.111111111111111,-1.7071688175201416
Romidepsin,Cladribine,RPMI-8226,-6.888888888888889,-0.8745274543762207
Docetaxel,Celecoxib,SF-268,2.2222222222222223,5.195897579193115
Docetaxel,Cladribine,SF-268,-10.333333333333334,1.8817687034606927
Everolimus,Paclitaxel,KM12,-9.0,0.6344103813171387
Fulvestrant,Cladribine,BT-549,-3.111111111111111,-3.951240062713623
Thalidomide,Sirolimus,MOLT-4,-1.0,-2.8468966484069824
Romidepsin,Tretinoin,SNB-75,1.6666666666666667,-3.037839889526367
Romidepsin,Nilotinib,NCI-H226,-3.2222222222222223,-7.343106269836426
Mitotane,Celecoxib,RPMI-8226,-9.22222222222222,-0.7344455718994141
Fulvestrant,Tretinoin,DU-145,7.555555555555555,-1.6882257461547852
Streptozocin,Mitotane,NCI-H226,-7.777777777777778,-2.215561389923096
Dasatinib,Sirolimus,SK-MEL-28,0.3333333333333333,-2.7456462383270264
