Drug A,Drug B,Cell Line Name,Score,Pred Score
Docetaxel,Paclitaxel,MDA-MB-468,4.0,5.8829193115234375
Dasatinib,Cladribine,HCT-116,-3.7777777777777777,-5.045156955718994
Everolimus,Vorinostat,OVCAR-5,-0.5555555555555556,-0.3662930130958557
Everolimus,Dasatinib,SNB-75,-7.333333333333333,-0.6291313171386719
Thalidomide,Cladribine,LOX IMVI,-9.0,-3.6180028915405273
Gefitinib,Lenalidomide,CCRF-CEM,-2.7777777777777777,-6.117166519165039
Sirolimus,Nilotinib,DU-145,-4.333333333333333,-0.4579730033874511
Fulvestrant,Dasatinib,TK-10,8.333333333333334,0.918208122253418
Romidepsin,Nilotinib,HS 578T,-0.3333333333333333,-5.681381702423096
Sirolimus,Cladribine,NCI-H460,-2.2222222222222223,-1.5328134298324585
Fulvestrant,Romidepsin,HOP-62,0.4444444444444444,1.0528408288955688
Mitotane,Sirolimus,OVCAR-3,-4.777777777777778,-3.554420232772827
Fulvestrant,Sirolimus,NCI-H322M,-1.8888888888888888,-2.751646041870117
Streptozocin,Mitotane,MOLT-4,4.0,-1.6603469848632812
Gefitinib,Lenalidomide,MDA-MB-468,0.5555555555555556,-7.034664630889893
Romidepsin,Tretinoin,SF-539,7.333333333333333,-0.4798321723937988
Streptozocin,Mitotane,SK-MEL-28,-4.333333333333333,-1.0206284523010254
Fulvestrant,Vorinostat,CCRF-CEM,-9.0,-0.0769267082214355
Fulvestrant,Celecoxib,SK-MEL-28,-6.888888888888889,-1.217559576034546
Fulvestrant,Cladribine,786-0,0.6666666666666666,-1.0406975746154783
Megestrol acetate,Lenalidomide,MCF7,-12.555555555555555,2.21068811416626
Tretinoin,Cladribine,A549/ATCC,-2.333333333333333,-2.404245138168335
Vorinostat,Celecoxib,NCI-H226,-5.111111111111111,-6.954612255096436
Everolimus,Vorinostat,MCF7,-4.888888888888889,0.6608845591545105
Tretinoin,Celecoxib,EKVX,1.3333333333333333,-2.6729071140289307
Vorinostat,Nilotinib,OVCAR-4,-9.22222222222222,-5.655444622039795
Fulvestrant,Dasatinib,NCI-H522,-1.3333333333333333,0.467660903930664
Romidepsin,Paclitaxel,SK-MEL-5,-4.666666666666667,-4.885406494140625
Mitotane,Docetaxel,KM12,-3.888888888888889,-1.303896188735962
Fulvestrant,Tretinoin,HT29,2.7777777777777777,0.915149748325348
Sirolimus,Tretinoin,RXF 393,0.4444444444444444,3.866520166397095
Dasatinib,Romidepsin,OVCAR-3,-5.888888888888889,0.897711992263794
Everolimus,Celecoxib,NCI-H226,-3.888888888888889,0.7863692045211792
Mitotane,Nilotinib,A498,-6.555555555555555,-4.759681224822998
Streptozocin,Sirolimus,OVCAR-3,-11.444444444444445,-0.5395338535308838
Dasatinib,Docetaxel,BT-549,-1.3333333333333333,2.210907459259033
Docetaxel,Sirolimus,SK-MEL-28,-1.6666666666666667,2.715885639190674
Streptozocin,Paclitaxel,SF-268,-7.888888888888889,0.2681933641433716
Docetaxel,Celecoxib,NCI-H522,15.444444444444445,6.242170333862305
Nilotinib,Celecoxib,COLO 205,-6.222222222222222,-1.32135009765625
Vorinostat,Sirolimus,SF-539,-2.888888888888889,-5.704883098602295
Vorinostat,Cladribine,SF-268,-9.77777777777778,-0.5093072652816772
Docetaxel,Tretinoin,MDA-MB-468,24.77777777777778,8.956679344177246
Thalidomide,Docetaxel,OVCAR-3,-15.0,0.4132099151611328
Thalidomide,Cladribine,786-0,-8.0,-1.9847173690795896
Mitotane,Celecoxib,NCI-H226,-0.6666666666666666,-2.230140686035156
Vorinostat,Cladribine,HCC-2998,1.6666666666666667,-4.410475254058838
Thalidomide,Paclitaxel,BT-549,-0.6666666666666666,-1.334721326828003
Vorinostat,Nilotinib,OVCAR-8,-10.333333333333334,-6.175317764282227
Dasatinib,Tretinoin,BT-549,-7.222222222222222,2.349603176116944
Vorinostat,Sirolimus,NCI-H226,-4.333333333333333,-5.068203926086426
Sirolimus,Celecoxib,KM12,0.8888888888888888,2.019688129425049
Fulvestrant,Tretinoin,SK-MEL-28,-0.4444444444444444,0.8144810199737549
Sirolimus,Celecoxib,HS 578T,9.666666666666666,0.2089132070541381
Everolimus,Celecoxib,DU-145,-4.222222222222222,0.2289791107177734
Paclitaxel,Sirolimus,SNB-75,4.888888888888889,5.918383598327637
Everolimus,Dasatinib,MCF7,-5.222222222222222,-1.2470731735229492
Fulvestrant,Vorinostat,T-47D,2.333333333333333,0.6844772696495056
Paclitaxel,Celecoxib,KM12,17.444444444444443,6.661653995513916
Romidepsin,Nilotinib,HCT-116,-4.444444444444445,-5.145116806030273
Streptozocin,Sirolimus,NCI-H226,-7.0,-1.6010074615478516
Thalidomide,Cladribine,HCT-15,-0.7777777777777778,-2.26200532913208
Vorinostat,Tretinoin,HT29,-7.333333333333333,-1.157860279083252
Sirolimus,Cladribine,CCRF-CEM,-3.333333333333333,-2.697967529296875
Romidepsin,Nilotinib,MDA-MB-468,-5.555555555555555,-3.031008720397949
Docetaxel,Tretinoin,BT-549,25.11111111111111,8.682506561279297
Everolimus,Dasatinib,KM12,-2.0,-1.827000617980957
Docetaxel,Tretinoin,MDA-MB-231/ATCC,21.55555555555556,9.19044017791748
Docetaxel,Fulvestrant,CCRF-CEM,3.888888888888889,8.31495475769043
Vorinostat,Nilotinib,RPMI-8226,1.7777777777777777,-10.557924270629885
Nilotinib,Tretinoin,UO-31,-2.2222222222222223,-0.9979491233825684
Vorinostat,Paclitaxel,SN12C,1.1111111111111112,-3.24519944190979
Mitotane,Tretinoin,SN12C,0.1111111111111111,-0.5902457237243652
Nilotinib,Celecoxib,HCT-116,-4.777777777777778,-3.2556543350219727
Mitotane,Dasatinib,SK-MEL-28,-1.6666666666666667,0.4361858367919922
Everolimus,Vorinostat,UACC-257,-6.0,0.0463036298751831
Streptozocin,Mitotane,HT29,-3.6666666666666665,0.9386327266693116
Fulvestrant,Cladribine,A549/ATCC,-3.555555555555556,-2.7732255458831787
Everolimus,Cladribine,A549/ATCC,-2.4444444444444446,-2.269115447998047
Fulvestrant,Everolimus,MDA-MB-231/ATCC,14.88888888888889,0.0592834949493408
Everolimus,Tretinoin,SF-539,-9.22222222222222,1.3690719604492188
Sirolimus,Mitotane,KM12,3.0,2.204582691192627
Romidepsin,Docetaxel,IGROV1,3.4444444444444446,-1.069772243499756
Dasatinib,Romidepsin,UO-31,-0.1111111111111111,1.0059247016906738
Mitotane,Sirolimus,MOLT-4,-6.222222222222222,-5.281094551086426
Sirolimus,Celecoxib,A549/ATCC,3.0,-4.291327476501465
Romidepsin,Sirolimus,RXF 393,0.4444444444444444,-0.1912592649459839
Mitotane,Docetaxel,HCT-15,-0.4444444444444444,-1.0157489776611328
Mitotane,Docetaxel,SW-620,5.444444444444445,-0.9039688110351562
Mitotane,Nilotinib,K-562,-4.555555555555555,-5.848876953125
Everolimus,Vorinostat,BT-549,-7.111111111111111,0.4559175372123718
Vorinostat,Cladribine,PC-3,-1.8888888888888888,-0.8955206871032715
Docetaxel,Paclitaxel,SF-539,6.0,5.926263809204102
Cladribine,Celecoxib,K-562,2.4444444444444446,-6.470025539398193
Romidepsin,Tretinoin,A549/ATCC,15.0,-1.6339168548583984
Fulvestrant,Nilotinib,CCRF-CEM,-17.666666666666668,-3.3821263313293457
Thalidomide,Sirolimus,NCI-H522,2.2222222222222223,-1.6986289024353027
Dasatinib,Sirolimus,A498,4.888888888888889,0.1158798933029174
Docetaxel,Nilotinib,OVCAR-8,10.0,6.483145236968994
Megestrol acetate,Gefitinib,SK-MEL-5,-12.0,-3.121814489364624
Romidepsin,Tretinoin,MDA-MB-468,-1.2222222222222223,0.8181455135345459
Paclitaxel,Celecoxib,A498,4.777777777777778,4.578385353088379
Nilotinib,Mitotane,ACHN,-7.333333333333333,-2.4887843132019043
Mitotane,Everolimus,TK-10,-4.666666666666667,-2.641880989074707
Tretinoin,Cladribine,OVCAR-3,10.444444444444445,-1.1175023317337036
Vorinostat,Tretinoin,UO-31,-1.5555555555555556,-5.110063552856445
Paclitaxel,Tretinoin,SF-539,34.55555555555556,6.958908557891846
Paclitaxel,Nilotinib,OVCAR-4,-6.222222222222222,3.537745237350464
Romidepsin,Nilotinib,SK-MEL-5,-16.666666666666668,-8.664925575256348
Mitotane,Cladribine,NCI-H226,-15.88888888888889,-5.064770221710205
Gefitinib,Lenalidomide,SNB-75,-6.333333333333333,-3.8229594230651855
