Drug A,Drug B,Cell Line Name,Score,Pred Score
Docetaxel,Paclitaxel,MDA-MB-468,4.0,-4.300722122192383
Dasatinib,Cladribine,HCT-116,-3.7777777777777777,-2.632031917572021
Everolimus,Vorinostat,OVCAR-5,-0.5555555555555556,-3.687244415283203
Everolimus,Dasatinib,SNB-75,-7.333333333333333,1.2145371437072754
Thalidomide,Cladribine,LOX IMVI,-9.0,-5.402537345886231
Gefitinib,Lenalidomide,CCRF-CEM,-2.7777777777777777,-2.25943922996521
Sirolimus,Nilotinib,DU-145,-4.333333333333333,-2.305527448654175
Fulvestrant,Dasatinib,TK-10,8.333333333333334,3.587614059448242
Romidepsin,Nilotinib,HS 578T,-0.3333333333333333,-3.120091199874878
Sirolimus,Cladribine,NCI-H460,-2.2222222222222223,-6.65566349029541
Fulvestrant,Romidepsin,HOP-62,0.4444444444444444,-2.417806625366211
Mitotane,Sirolimus,OVCAR-3,-4.777777777777778,-1.1088099479675293
Fulvestrant,Sirolimus,NCI-H322M,-1.8888888888888888,-0.9248905181884766
Streptozocin,Mitotane,MOLT-4,4.0,-6.142838001251221
Gefitinib,Lenalidomide,MDA-MB-468,0.5555555555555556,-7.682334899902344
Romidepsin,Tretinoin,SF-539,7.333333333333333,-4.445413589477539
Streptozocin,Mitotane,SK-MEL-28,-4.333333333333333,-4.086069107055664
Fulvestrant,Vorinostat,CCRF-CEM,-9.0,-2.7134742736816406
Fulvestrant,Celecoxib,SK-MEL-28,-6.888888888888889,3.1491737365722656
Fulvestrant,Cladribine,786-0,0.6666666666666666,-4.836831092834473
Megestrol acetate,Lenalidomide,MCF7,-12.555555555555555,0.801936149597168
Tretinoin,Cladribine,A549/ATCC,-2.333333333333333,-2.412227869033813
Vorinostat,Celecoxib,NCI-H226,-5.111111111111111,-6.112990379333496
Everolimus,Vorinostat,MCF7,-4.888888888888889,-3.641572952270508
Tretinoin,Celecoxib,EKVX,1.3333333333333333,-3.663533926010132
Vorinostat,Nilotinib,OVCAR-4,-9.22222222222222,-4.8423566818237305
Fulvestrant,Dasatinib,NCI-H522,-1.3333333333333333,0.5345916748046875
Romidepsin,Paclitaxel,SK-MEL-5,-4.666666666666667,-1.996701002120972
