Drug A,Drug B,Cell Line Name,Score,Pred Score
Docetaxel,Paclitaxel,MDA-MB-468,4.0,-5.810739994049072
Dasatinib,Cladribine,HCT-116,-3.7777777777777777,-4.520746231079102
Everolimus,Vorinostat,OVCAR-5,-0.5555555555555556,-2.7632644176483154
Everolimus,Dasatinib,SNB-75,-7.333333333333333,-2.439797163009644
Thalidomide,Cladribine,LOX IMVI,-9.0,-3.457155704498291
Gefitinib,Lenalidomide,CCRF-CEM,-2.7777777777777777,-0.7180776596069336
Sirolimus,Nilotinib,DU-145,-4.333333333333333,-7.166383266448975
Fulvestrant,Dasatinib,TK-10,8.333333333333334,2.157268524169922
Romidepsin,Nilotinib,HS 578T,-0.3333333333333333,-4.506255626678467
Sirolimus,Cladribine,NCI-H460,-2.2222222222222223,-2.691375255584717
Fulvestrant,Romidepsin,HOP-62,0.4444444444444444,0.4908089935779571
Mitotane,Sirolimus,OVCAR-3,-4.777777777777778,-1.0060158967971802
Fulvestrant,Sirolimus,NCI-H322M,-1.8888888888888888,-1.1874024868011477
Streptozocin,Mitotane,MOLT-4,4.0,-1.0718543529510498
Gefitinib,Lenalidomide,MDA-MB-468,0.5555555555555556,0.2165447473526001
Romidepsin,Tretinoin,SF-539,7.333333333333333,0.1088226437568664
Streptozocin,Mitotane,SK-MEL-28,-4.333333333333333,-2.6906893253326416
Fulvestrant,Vorinostat,CCRF-CEM,-9.0,-1.821745753288269
Fulvestrant,Celecoxib,SK-MEL-28,-6.888888888888889,-7.909483432769775
Fulvestrant,Cladribine,786-0,0.6666666666666666,-3.665963649749756
Megestrol acetate,Lenalidomide,MCF7,-12.555555555555555,-6.667653560638428
Tretinoin,Cladribine,A549/ATCC,-2.333333333333333,-7.107377052307129
Vorinostat,Celecoxib,NCI-H226,-5.111111111111111,-4.2811713218688965
Everolimus,Vorinostat,MCF7,-4.888888888888889,-3.631418943405152
Tretinoin,Celecoxib,EKVX,1.3333333333333333,-5.42071533203125
