Drug A,Drug B,Cell Line Name,Score,Pred Score
metformin,geldanamycin,NCIH520,-17.2817979072755,-29.93132972717285
Lapatinib,geldanamycin,HT144,5.79128728304933,4.071281433105469
Erlotinib,Sorafenib,A375,3.7921116228684086,1.2832660675048828
vinblastine,geldanamycin,MDAMB436,0.51700222845629,-3.743244171142578
Sunitinib,Sorafenib,OCUBM,1.0966146270020711,-3.655186653137207
metformin,Vorinostat,NCIH23,-6.613686761665703,-23.734071731567383
metformin,geldanamycin,SW-620,-39.873530292237,-15.73200225830078
metformin,Vorinostat,LOVO,-35.0272315856836,-23.504323959350582
Sunitinib,Erlotinib,RKO,0.2475632146873464,7.415050506591797
vinblastine,Sorafenib,HCT116,5.59963570142504,-0.9957141876220704
vinblastine,Dasatinib,SW837,5.29419053806362,-5.627893447875977
Lapatinib,Sorafenib,OV90,6.457932781589695,5.26878547668457
vinblastine,Erlotinib,A2058,6.4251548431743295,-4.76707649230957
metformin,geldanamycin,OCUBM,-19.7885249955934,-18.014341354370117
vinblastine,Sorafenib,RPMI7951,-2.4097304318056905,-2.3043975830078125
Sunitinib,Dasatinib,SK-OV-3,7.543407488617369,5.010744094848633
Sunitinib,Erlotinib,SKMEL30,1.83593808226401,4.235132217407227
Erlotinib,geldanamycin,NCIH23,-1.5082203021212124,-1.0331096649169922
vinblastine,Sorafenib,SKMEL30,5.99108205682079,-1.9308547973632808
Sunitinib,Sorafenib,RPMI7951,-18.1797235112709,-2.5765457153320312
metformin,Erlotinib,UWB1289,-12.840088322870097,-29.82099151611328
Sunitinib,Dasatinib,OVCAR3,-2.23616712442702,8.87425422668457
vinblastine,Vorinostat,NCIH1650,-4.662511414401839,-8.562768936157227
Vorinostat,Erlotinib,OCUBM,3.41802282280863,-3.466114044189453
metformin,geldanamycin,NCIH2122,-12.0320822507053,-24.75166320800781
dexamethasone,geldanamycin,OVCAR3,-25.9801803981754,-25.523706436157227
Lapatinib,geldanamycin,NCIH23,-5.97419023328963,0.6954421997070312
Sunitinib,geldanamycin,T-47D,15.4186986077963,4.638523101806641
paclitaxel,geldanamycin,OCUBM,4.480465220149085,-5.324953079223633
metformin,Dasatinib,NCIH1650,-13.2363849677504,-24.453338623046875
dexamethasone,Sunitinib,HT144,-9.362863686069195,-12.4359130859375
Lapatinib,Erlotinib,A2058,4.128157012788561,1.8232812881469729
vinblastine,Vorinostat,RPMI7951,2.26767773086615,-6.613450050354004
metformin,Sunitinib,NCIH520,-24.1634597090208,-33.44753646850586
Dasatinib,Sorafenib,A427,10.013204486477417,2.236696243286133
dexamethasone,Lapatinib,UWB1289,-31.934070451053,-11.784558296203612
Dasatinib,geldanamycin,SKMEL30,-22.9515728231767,-2.3514881134033203
