Drug A,Drug B,Cell Line Name,Score,Pred Score
Sunitinib,Dasatinib,HCT116,4.2006804390709,-0.6333408355712891
Sunitinib,Erlotinib,MDAMB436,4.76541245752904,7.688790321350098
Sunitinib,geldanamycin,A427,5.87221574658101,2.527816772460937
metformin,Lapatinib,SK-OV-3,-12.955988512618,-28.102684020996094
dexamethasone,Sunitinib,RPMI7951,-14.4061745570978,-12.489408493041992
Sunitinib,Erlotinib,HT29,13.644333664082708,5.895580291748047
dexamethasone,Lapatinib,SK-OV-3,7.522446474796843,-27.025606155395508
paclitaxel,geldanamycin,SKMES1,2.858782897786812,-8.980384826660156
metformin,Vorinostat,SK-OV-3,-49.8653288018085,-16.827726364135742
Vorinostat,Dasatinib,NCIH520,-4.029904705212941,-2.9089183807373047
metformin,Dasatinib,A2058,-6.2026319104393295,-15.811138153076172
paclitaxel,Dasatinib,RKO,4.452168509343501,-2.805525779724121
geldanamycin,Sorafenib,OVCAR3,-16.475900892606802,-9.908927917480469
metformin,Lapatinib,A2058,-11.03094492075089,-16.918664932250977
geldanamycin,Sorafenib,RPMI7951,-8.08045020128908,-14.417678833007812
paclitaxel,Lapatinib,A2780,1.39259946716825,-10.959050178527832
Vorinostat,Dasatinib,SKMEL30,-14.885807229381896,-4.6605072021484375
dexamethasone,Dasatinib,A2058,-11.113180908425988,-21.294591903686523
paclitaxel,Erlotinib,CAOV3,5.506094216928792,-6.227317333221436
paclitaxel,Erlotinib,LOVO,5.29091659278858,-5.982367992401123
Lapatinib,Erlotinib,NCIH2122,3.42106467876526,7.614630699157715
Lapatinib,Erlotinib,UWB1289,5.162821279449693,4.933817386627197
paclitaxel,Dasatinib,HT29,6.020551076354931,-1.8428163528442385
Lapatinib,geldanamycin,A427,0.8086942897832163,1.356292724609375
dexamethasone,Sunitinib,UWB1289,-8.80546181278599,-12.410320281982422
vinblastine,Vorinostat,NCI-H460,-7.42349600405968,1.6640441417694092
Sunitinib,Sorafenib,NCIH2122,-14.4731176558811,2.5332794189453125
dexamethasone,Erlotinib,HT144,-35.5448186771701,-7.098581314086914
paclitaxel,Erlotinib,SW837,-1.657597602265355,-6.597556114196777
dexamethasone,Sunitinib,SK-OV-3,-1.930224441335125,-10.79429054260254
Vorinostat,Lapatinib,NCI-H460,-10.398648228661925,-5.893290519714356
paclitaxel,Lapatinib,MDAMB436,-1.6521884315998507,-11.879682540893556
Lapatinib,geldanamycin,VCAP,1.3131129859732091,0.5141220092773438
paclitaxel,Erlotinib,SKMEL30,-0.1240821746904601,-5.646031856536865
dexamethasone,Vorinostat,UACC62,-35.1709788883515,1.3682812452316284
vinblastine,Dasatinib,CAOV3,0.6771989561182002,-9.728342056274414
Vorinostat,Sunitinib,HT144,-5.8677981963370005,-7.510053634643555
paclitaxel,Erlotinib,MDAMB436,0.7982616963508231,-7.278554916381836
vinblastine,Sunitinib,UACC62,2.595279020812243,-11.632248878479004
geldanamycin,Sorafenib,OCUBM,6.9472187772133225,-7.89276123046875
dexamethasone,Erlotinib,A2058,-41.1395198834054,-7.994803428649902
dexamethasone,Vorinostat,HT29,-35.4604736838065,-13.046010971069336
Lapatinib,Erlotinib,NCIH520,7.87379173269718,7.197437286376953
metformin,Vorinostat,A2058,-8.72128086410909,-9.59189796447754
vinblastine,Sunitinib,OV90,-82.13826531723697,-13.869088172912598
dexamethasone,Sunitinib,HT29,-9.70693692529289,-7.250751495361328
metformin,Sunitinib,PA1,-61.4386715672369,-15.266204833984377
Lapatinib,Sorafenib,NCIH520,7.10938257895085,0.6180953979492188
Sunitinib,geldanamycin,LOVO,0.4007388327427847,0.6117668151855469
paclitaxel,Sorafenib,UWB1289,-0.7455370396145937,-10.972546577453612
vinblastine,Erlotinib,HT29,1.674966057420845,-8.039306640625
paclitaxel,Erlotinib,A375,11.877856996640997,-6.179254531860352
Sunitinib,Sorafenib,A2058,-0.9096556467231308,2.692451477050781
vinblastine,Dasatinib,UACC62,-1.4680391508473674,-8.627935409545898
dexamethasone,Sorafenib,CAOV3,15.6414782015599,-9.850982666015623
geldanamycin,Sorafenib,VCAP,-10.35739215730591,2.808170318603516
paclitaxel,Sorafenib,A427,1.926107182225645,-9.22320556640625
Erlotinib,Dasatinib,NCIH23,6.99756701325662,2.521665573120117
Vorinostat,Erlotinib,OVCAR3,3.54836143321337,0.6537566184997559
vinblastine,Vorinostat,A2058,-7.726553411266567,-8.462096214294434
metformin,Vorinostat,PA1,-48.51478094223695,-9.215418815612791
Vorinostat,geldanamycin,RKO,-3.0453156276270903,-7.535484313964844
Vorinostat,Dasatinib,SKMES1,-3.454798154796729,-3.546698570251465
Erlotinib,Dasatinib,CAOV3,9.503977484174175,3.099623680114746
Sunitinib,Erlotinib,SW837,6.001532732018722,5.892886638641357
vinblastine,geldanamycin,SK-OV-3,1.775572054007981,-10.800704956054688
paclitaxel,Erlotinib,RKO,-2.6871577689602653,-6.563956737518311
metformin,Dasatinib,NCIH23,-7.920344649869953,-7.311735153198242
Lapatinib,geldanamycin,OV90,2.578081311550471,0.6544036865234375
Vorinostat,Sunitinib,T-47D,-14.434457477598505,0.8804154396057129
vinblastine,Sorafenib,PA1,-1.338045882914232,-10.137773513793944
metformin,Sunitinib,SKMES1,-44.1817825469333,-14.36134433746338
dexamethasone,Dasatinib,NCIH520,2.4314234692194163,-8.239598274230957
paclitaxel,Sunitinib,RKO,-2.35314836228574,-11.867006301879885
Vorinostat,Sunitinib,PA1,-2.07036107592124,-7.884773254394531
dexamethasone,Dasatinib,SKMEL30,-6.560167066336443,-11.639276504516602
Erlotinib,geldanamycin,RPMI7951,-2.54688332955635,-0.2159538269042968
vinblastine,Vorinostat,SW-620,-7.940842049461227,-6.297740936279297
Sunitinib,Sorafenib,SK-OV-3,-7.789052707582185,-2.3474082946777344
paclitaxel,Vorinostat,NCI-H460,-1.4295761119406232,4.847901344299316
Erlotinib,geldanamycin,NCIH1650,7.206977941743588,-0.9155426025390624
Lapatinib,geldanamycin,UWB1289,-4.081394009803599,-3.6691741943359375
dexamethasone,geldanamycin,NCIH23,-30.167243616457,-20.2918701171875
Dasatinib,Sorafenib,A2780,11.7225687296843,4.426292419433594
geldanamycin,Sorafenib,SW-620,-0.8984319813221007,-11.491273880004885
paclitaxel,Erlotinib,NCI-H460,10.349523074958825,-5.676665306091309
Dasatinib,Sorafenib,NCIH1650,5.42147270471237,2.781414031982422
Vorinostat,Dasatinib,LOVO,-0.3136273830120112,-7.059348106384277
paclitaxel,Erlotinib,SK-OV-3,4.398848813602776,-8.311720848083496
Erlotinib,Sorafenib,RKO,2.099307195887115,0.2365856170654297
metformin,geldanamycin,RKO,-61.6890402284636,-19.193893432617188
Vorinostat,Sunitinib,SKMEL30,-7.08434802004719,-3.1997289657592773
paclitaxel,Sunitinib,PA1,0.6962467393230812,-10.275675773620604
geldanamycin,Sorafenib,T-47D,9.0758909366509,3.789112091064453
Vorinostat,Sorafenib,OCUBM,-1.9263965715605047,-2.1768741607666016
dexamethasone,Dasatinib,PA1,-6.262949496708321,-7.812898635864258
Lapatinib,geldanamycin,HCT116,-4.739766082030863,1.448699951171875
metformin,Lapatinib,HT144,-36.8822022827233,-17.18031120300293
paclitaxel,Sorafenib,SKMEL30,3.24770439300306,-10.80212116241455
paclitaxel,Lapatinib,NCIH2122,-2.289513933263135,-11.44429874420166
Lapatinib,Sorafenib,NCI-H460,1.41805545618482,1.2661848068237305
Vorinostat,Lapatinib,SW-620,-24.4432878855492,-4.356836318969727
metformin,geldanamycin,OVCAR3,-24.96156751119129,-17.897659301757812
dexamethasone,geldanamycin,NCIH2122,-7.734574598544068,-14.115280151367188
Vorinostat,Lapatinib,OV90,2.79124989437018,-3.1001763343811035
dexamethasone,Sorafenib,SKMEL30,-5.17831154550348,-12.435211181640623
Lapatinib,Erlotinib,HT29,1.5275640312561216,6.371614933013916
Erlotinib,Sorafenib,A427,3.682989905065457,0.6195259094238281
metformin,Vorinostat,NCI-H460,-10.8237586662752,-0.8690775632858276
vinblastine,Dasatinib,T-47D,-6.929951553081727,-12.701438903808594
dexamethasone,Lapatinib,HT144,-27.96215708599589,-14.039416313171388
Erlotinib,geldanamycin,VCAP,-2.88087637063392,0.3141403198242187
Lapatinib,geldanamycin,RPMI7951,-5.960419628776203,-0.9334335327148438
metformin,Lapatinib,OCUBM,-37.189874708633695,-24.973087310791016
Vorinostat,Erlotinib,NCI-H460,1.1496085756031087,-3.192599534988404
dexamethasone,Sunitinib,A375,-12.7137936794919,-12.56435775756836
vinblastine,Sorafenib,A375,8.398744223780918,-9.940630912780762
metformin,Vorinostat,NCIH2122,-33.3004252633332,-13.212654113769531
paclitaxel,Lapatinib,SKMES1,9.144089281431205,-12.73037338256836
Erlotinib,geldanamycin,T-47D,4.065326821312747,2.756797790527344
dexamethasone,Vorinostat,SW-620,-41.9047429025821,-6.70889949798584
Vorinostat,Dasatinib,SW837,7.383552345763623,-5.601167678833008
paclitaxel,Dasatinib,A375,6.364261125349779,-4.398242950439453
vinblastine,Sorafenib,A427,4.841793570156368,-11.84703254699707
paclitaxel,Lapatinib,OVCAR3,1.6198341998494314,-12.495269775390623
Dasatinib,Sorafenib,RKO,4.179707781567577,1.144460678100586
Sunitinib,Dasatinib,OV90,-14.7229944429405,7.9168701171875
paclitaxel,Dasatinib,T-47D,7.078924552126015,-4.266238212585449
metformin,Dasatinib,RPMI7951,-12.898019313824,-7.028731822967529
vinblastine,Sunitinib,T-47D,-70.8116033690518,-12.023101806640623
Sunitinib,Erlotinib,NCIH1650,12.7359625054994,4.688077449798584
Sunitinib,Erlotinib,OV90,5.586124430090477,9.707108497619627
Lapatinib,Erlotinib,SKMES1,3.028467183462371,4.281292915344238
vinblastine,Vorinostat,NCIH23,-5.830142578087577,-3.869521379470825
dexamethasone,Sunitinib,NCIH23,-22.6841489367301,-11.087199211120604
Vorinostat,Dasatinib,A427,-1.51657819068512,-3.954677581787109
paclitaxel,geldanamycin,NCIH2122,-81.52648016021857,-7.211311340332031
geldanamycin,Sorafenib,SW837,-3.36903782007548,2.219226837158203
dexamethasone,geldanamycin,A427,-18.707844022,-16.627883911132812
metformin,Dasatinib,NCIH2122,-34.48768519828235,-4.483251571655273
vinblastine,Dasatinib,HT144,-39.7169735486916,-12.50405502319336
paclitaxel,Vorinostat,HCT116,-1.593720937577549,-10.124934196472168
dexamethasone,Erlotinib,MDAMB436,-23.2954444871652,-8.019474029541016
dexamethasone,Vorinostat,HT144,-45.30258920076982,-1.424147605895996
vinblastine,Sorafenib,SK-OV-3,12.5056328567953,-2.214445114135742
Sunitinib,Sorafenib,SKMES1,-11.9299972333177,-3.476175308227539
Dasatinib,geldanamycin,HT144,-37.9495035857927,-5.8418731689453125
Vorinostat,Lapatinib,MDAMB436,0.7001962140772594,-0.7084841728210449
Erlotinib,geldanamycin,NCI-H460,4.49418879319923,13.871536254882812
metformin,Sorafenib,SW837,-39.0646563811545,-11.50655460357666
vinblastine,Lapatinib,NCIH23,-9.09730633851708,-13.862939834594728
dexamethasone,Vorinostat,NCIH1650,-17.5589533745204,-6.751424312591553
Lapatinib,Sorafenib,LOVO,-4.92782811871599,2.8769006729125977
metformin,Dasatinib,UWB1289,-8.2299173561342,-5.625143051147461
Sunitinib,geldanamycin,VCAP,2.60625970962018,1.4448509216308594
Erlotinib,Dasatinib,T-47D,2.726862934921635,3.708307266235352
paclitaxel,Vorinostat,SW837,4.071661498679735,-14.655557632446287
paclitaxel,Lapatinib,RPMI7951,-13.2494383747796,-11.135008811950684
Dasatinib,Sorafenib,NCIH2122,-11.9154244975033,2.575738906860352
dexamethasone,Lapatinib,LOVO,0.9090871567987184,-12.97946548461914
Lapatinib,Sorafenib,VCAP,7.92708077877978,3.0148754119873047
vinblastine,Sunitinib,SKMEL30,-3.119647295186995,-14.674696922302246
