Drug A,Drug B,Cell Line Name,Score,Pred Score
vinblastine,Dasatinib,SW-620,-40.7258600860177,-5.049793243408203
dexamethasone,Vorinostat,A375,-35.3994683825842,-20.83312225341797
dexamethasone,Dasatinib,UACC62,-10.968565079401992,-6.631760597229004
metformin,Sunitinib,T-47D,15.384553292915324,-15.748592376708984
Lapatinib,Erlotinib,RPMI7951,-0.4271227388875901,-6.261094093322754
paclitaxel,Dasatinib,UACC62,-7.69948364751984,-8.075225830078125
metformin,Sorafenib,UWB1289,-26.6822467124322,-9.139799118041992
vinblastine,geldanamycin,SW837,-0.2823200449385875,-10.937591552734377
dexamethasone,Sorafenib,A375,-3.8453528225106623,-9.04615879058838
Lapatinib,Sorafenib,SKMES1,-2.4599041427842496,-3.730597496032715
dexamethasone,Sorafenib,NCI-H460,-12.7315114055493,-8.28271484375
vinblastine,geldanamycin,A2780,1.418014053180695,-10.199691772460938
vinblastine,geldanamycin,OV90,-3.4922781726655696,-10.297754287719728
paclitaxel,Sunitinib,NCI-H460,9.58062385928767,-0.8841550350189209
metformin,Dasatinib,SW837,-17.5801214502402,-6.750766754150391
metformin,Sorafenib,HCT116,-49.5120706514507,-8.30663013458252
Erlotinib,Dasatinib,NCI-H460,-0.4503474699443348,1.5494308471679688
Vorinostat,geldanamycin,SK-OV-3,2.332279780348585,-1.3157066106796265
metformin,Erlotinib,MDAMB436,-42.2483635713802,-12.760540008544922
paclitaxel,Sorafenib,NCIH1650,-5.00028834575103,-1.814178705215454
vinblastine,Vorinostat,A375,-5.14141487663266,-17.652618408203125
paclitaxel,Erlotinib,VCAP,-19.923371510770203,-1.5018656253814695
Lapatinib,geldanamycin,SKMES1,4.28301459624688,-11.000612258911133
paclitaxel,Vorinostat,NCIH1650,0.3224388648416145,-8.0858793258667
Sunitinib,geldanamycin,A2058,6.795393661635613,-8.690771102905273
Dasatinib,Sorafenib,VCAP,6.720388221210122,0.3040738105773926
vinblastine,geldanamycin,VCAP,-20.7558388881914,-10.108272552490234
dexamethasone,Erlotinib,LOVO,-12.5922662394529,-12.612370491027832
Vorinostat,Erlotinib,SW-620,-5.19085420781142,-0.4234874248504638
dexamethasone,Vorinostat,NCIH23,-27.3858072066324,-19.66060447692871
Erlotinib,Dasatinib,PA1,6.488490212037078,-2.0350117683410645
dexamethasone,Lapatinib,MDAMB436,-12.5233171201947,-11.947903633117676
vinblastine,Vorinostat,UACC62,0.996650643215182,-18.5188217163086
Vorinostat,Lapatinib,VCAP,3.27144637329635,-1.518287181854248
vinblastine,Sunitinib,NCIH520,1.203208947199059,-11.50695514678955
Erlotinib,geldanamycin,UACC62,4.5031585012656095,-11.160442352294922
metformin,Vorinostat,SKMEL30,-46.6686841099013,-21.90784072875977
paclitaxel,Vorinostat,NCIH520,3.600655729290548,-16.59174346923828
dexamethasone,geldanamycin,CAOV3,-2.7077151362496297,-10.273555755615234
metformin,Vorinostat,SKMES1,-42.936846127142296,-23.077754974365234
Erlotinib,Sorafenib,UACC62,2.679404112105611,-8.138385772705078
metformin,Sorafenib,A427,-23.975827854410426,-5.570528030395508
metformin,Sorafenib,CAOV3,-24.4869919201538,-8.807905197143555
Vorinostat,Sorafenib,T-47D,-6.22433036882608,-0.2706091403961181
dexamethasone,Lapatinib,RKO,-24.992167376126925,-11.678627014160156
vinblastine,geldanamycin,LOVO,-9.742168339465294,-10.481374740600586
paclitaxel,Erlotinib,T-47D,0.1235817830644999,-0.2779884338378906
vinblastine,Lapatinib,OVCAR3,-11.607028837624,-10.28195095062256
Vorinostat,Dasatinib,T-47D,5.321680837772678,-9.997889518737791
Erlotinib,geldanamycin,A2780,3.3452637215970498,-10.31768035888672
