Drug A,Drug B,Cell Line Name,Score,Pred Score
vinblastine,Dasatinib,SW-620,-40.7258600860177,-10.846052169799805
dexamethasone,Vorinostat,A375,-35.3994683825842,-24.99465560913086
dexamethasone,Dasatinib,UACC62,-10.968565079401992,-9.065354347229004
metformin,Sunitinib,T-47D,15.384553292915324,-24.63245964050293
Lapatinib,Erlotinib,RPMI7951,-0.4271227388875901,-0.3378801345825195
paclitaxel,Dasatinib,UACC62,-7.69948364751984,-2.577312469482422
metformin,Sorafenib,UWB1289,-26.6822467124322,-17.92000389099121
vinblastine,geldanamycin,SW837,-0.2823200449385875,12.494562149047852
dexamethasone,Sorafenib,A375,-3.8453528225106623,-13.48428726196289
Lapatinib,Sorafenib,SKMES1,-2.4599041427842496,5.75086784362793
dexamethasone,Sorafenib,NCI-H460,-12.7315114055493,-3.9686145782470703
vinblastine,geldanamycin,A2780,1.418014053180695,6.088848114013672
vinblastine,geldanamycin,OV90,-3.4922781726655696,-12.136259078979492
paclitaxel,Sunitinib,NCI-H460,9.58062385928767,-6.057767868041992
metformin,Dasatinib,SW837,-17.5801214502402,-31.54396629333496
metformin,Sorafenib,HCT116,-49.5120706514507,-23.99974822998047
Erlotinib,Dasatinib,NCI-H460,-0.4503474699443348,-3.164691925048828
Vorinostat,geldanamycin,SK-OV-3,2.332279780348585,-1.9264326095581048
metformin,Erlotinib,MDAMB436,-42.2483635713802,-26.43377685546875
paclitaxel,Sorafenib,NCIH1650,-5.00028834575103,7.157997131347656
vinblastine,Vorinostat,A375,-5.14141487663266,6.322977066040039
paclitaxel,Erlotinib,VCAP,-19.923371510770203,-2.794227600097656
Lapatinib,geldanamycin,SKMES1,4.28301459624688,0.3806581497192383
paclitaxel,Vorinostat,NCIH1650,0.3224388648416145,7.277863025665283
Sunitinib,geldanamycin,A2058,6.795393661635613,1.2505874633789062
Dasatinib,Sorafenib,VCAP,6.720388221210122,4.293184280395508
vinblastine,geldanamycin,VCAP,-20.7558388881914,-0.246403694152832
dexamethasone,Erlotinib,LOVO,-12.5922662394529,-21.65127182006836
Vorinostat,Erlotinib,SW-620,-5.19085420781142,-0.9391241073608398
dexamethasone,Vorinostat,NCIH23,-27.3858072066324,-19.84932327270508
Erlotinib,Dasatinib,PA1,6.488490212037078,12.01951026916504
dexamethasone,Lapatinib,MDAMB436,-12.5233171201947,-11.901443481445312
vinblastine,Vorinostat,UACC62,0.996650643215182,7.037791252136231
Vorinostat,Lapatinib,VCAP,3.27144637329635,-1.411452293395996
vinblastine,Sunitinib,NCIH520,1.203208947199059,-8.091545104980469
Erlotinib,geldanamycin,UACC62,4.5031585012656095,8.544204711914062
metformin,Vorinostat,SKMEL30,-46.6686841099013,-37.67462158203125
paclitaxel,Vorinostat,NCIH520,3.600655729290548,-7.234376907348633
dexamethasone,geldanamycin,CAOV3,-2.7077151362496297,0.9656214714050292
metformin,Vorinostat,SKMES1,-42.936846127142296,-28.94283103942871
Erlotinib,Sorafenib,UACC62,2.679404112105611,2.0891361236572266
metformin,Sorafenib,A427,-23.975827854410426,-28.691944122314453
metformin,Sorafenib,CAOV3,-24.4869919201538,-30.99020004272461
Vorinostat,Sorafenib,T-47D,-6.22433036882608,-3.010242462158203
dexamethasone,Lapatinib,RKO,-24.992167376126925,-12.651594161987305
vinblastine,geldanamycin,LOVO,-9.742168339465294,5.052117347717285
paclitaxel,Erlotinib,T-47D,0.1235817830644999,-4.469225883483887
vinblastine,Lapatinib,OVCAR3,-11.607028837624,-1.1858882904052734
Vorinostat,Dasatinib,T-47D,5.321680837772678,-3.4809932708740234
Erlotinib,geldanamycin,A2780,3.3452637215970498,0.6371212005615234
